txtStim,stimFile,AI_Resp,ExplanationFile,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Q1_Slider.response,Q1_Slider.rt,Q1_Slider.started,Q1_Slider.stopped,Q2_Slider.response,Q2_Slider.rt,Q2_Slider.started,Q2_Slider.stopped,Q3_Slider.response,Q3_Slider.rt,Q3_Slider.started,Q3_Slider.stopped,Q4_Slider.response,Q4_Slider.rt,Q4_Slider.started,Q4_Slider.stopped,Q5_Slider.response,Q5_Slider.rt,Q5_Slider.started,Q5_Slider.stopped,Q6_Slider.response,Q6_Slider.rt,Q6_Slider.started,Q6_Slider.stopped,Q7_Slider.response,Q7_Slider.rt,Q7_Slider.started,Q7_Slider.stopped,Q8_Slider.response,Q8_Slider.rt,Q8_Slider.started,Q8_Slider.stopped,Q9_Slider.response,Q9_Slider.rt,Q9_Slider.started,Q9_Slider.stopped,Q10_Slider.response,Q10_Slider.rt,Q10_Slider.started,Q10_Slider.stopped,Q11_Slider.response,Q11_Slider.rt,Q11_Slider.started,Q11_Slider.stopped,Q12_Slider.response,Q12_Slider.rt,Q12_Slider.started,Q12_Slider.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,Click_to_Continue_2.started,Click_to_Continue_2.stopped,Q13_Slider.response,Q13_Slider.rt,Q13_Slider.started,Q13_Slider.stopped,Q14_Slider.response,Q14_Slider.rt,Q14_Slider.started,Q14_Slider.stopped,Q15_Slider.response,Q15_Slider.rt,Q15_Slider.started,Q15_Slider.stopped,Q16_Slider.response,Q16_Slider.rt,Q16_Slider.started,Q16_Slider.stopped,Q17_Slider.response,Q17_Slider.rt,Q17_Slider.started,Q17_Slider.stopped,Q18_Slider.response,Q18_Slider.rt,Q18_Slider.started,Q18_Slider.stopped,Q19_Slider.response,Q19_Slider.rt,Q19_Slider.started,Q19_Slider.stopped,Q20_Slider.response,Q20_Slider.rt,Q20_Slider.started,Q20_Slider.stopped,Q21_Slider.response,Q21_Slider.rt,Q21_Slider.started,Q21_Slider.stopped,Q22_Slider.response,Q22_Slider.rt,Q22_Slider.started,Q22_Slider.stopped,Q23_Slider.response,Q23_Slider.rt,Q23_Slider.started,Q23_Slider.stopped,PresstoCont_2.started,PresstoCont_2.stopped,PresstoCont_7.started,PresstoCont_7.stopped,PresstoCont_8.started,PresstoCont_8.stopped,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,trial_start,Choice_2_Intro_Txt.started,Choice_2_Intro_Txt.stopped,Question_Txt_7.started,Question_Txt_7.stopped,Accept_Deny_Button_7.response,Accept_Deny_Button_7.rt,Accept_Deny_Button_7.started,Accept_Deny_Button_7.stopped,ConfidenceSlider_7.response,ConfidenceSlider_7.rt,ConfidenceSlider_7.started,ConfidenceSlider_7.stopped,Experimental_Images_7.started,Experimental_Images_7.stopped,DenySlider_7.response,DenySlider_7.rt,DenySlider_7.started,DenySlider_7.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time,mouse_10.clicked_name,mouse_10.started,mouse_10.stopped,Click_to_Continue_10.started,Click_to_Continue_10.stopped,trial_end,end_Txt.started,end_Txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.478368400014006,79.81226759997662,92.04158879999886,3.0,5.168215799989412,79.81226759997662,92.04158879999886,3.0,6.041222899977583,79.81226759997662,92.04158879999886,3.0,6.7358308999973815,79.81226759997662,92.04158879999886,3.0,7.423511999979382,79.81226759997662,92.04158879999886,3.0,8.36438199999975,79.81226759997662,92.04158879999886,3.0,9.401962800009642,79.81226759997662,92.04158879999886,3.0,9.927610899991123,79.81226759997662,92.04158879999886,3.0,10.451717599993572,79.81226759997662,92.04158879999886,3.0,10.905057700001635,79.81226759997662,92.04158879999886,3.0,11.706675599998562,79.81226759997662,92.04158879999886,3.0,12.242537600017386,79.81226759997662,92.04158879999886,"[-0.45277777, -0.45, -0.4675926, -0.45555556, -0.47037038, -0.4398148, 0.45555556, 0.44722223, 0.45277777, 0.45462963, 0.4601852, 0.4398148, -0.44166666, -0.4611111, -0.45740741, -0.5361111, -0.5462963, -0.4814815, 0.43333334, 0.44351852, 0.47037038, 0.46296296, 0.47592592, 0.4611111, 0.45740741, 0.5564815]","[0.39074075, 0.25092593, 0.09537037, -0.021296296, -0.18425927, -0.35, 0.3935185, 0.25648147, 0.1037037, -0.033333335, -0.21018519, -0.35462964, 0.3824074, 0.2462963, 0.09537037, -0.05648148, -0.18981482, -0.34074074, 0.39814815, 0.2898148, 0.16203703, 0.24814814, 0.08611111, -0.05185185, -0.2037037, -0.43888888]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4.185856199997943, 4.866600300010759, 5.651077400019858, 6.422346800012747, 7.202210000017658, 8.134183599991957, 9.260034500010079, 9.696406000002753, 10.125611800001934, 10.657874500000617, 11.461795200011693, 11.994475100014824, 14.227716499997769, 14.713905400014482, 15.421949500014307, 16.592070600017905, 17.311712399998214, 18.452928700018674, 19.720689500012668, 20.20036600000458, 20.608592000004137, 21.200364499993157, 21.702524799999082, 22.353599900001427, 23.338279200019315, 24.475283600011608]",['Click_to_Continue_2'],0.015352229995187372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.378945299977204,109.40080929998658,126.38609739998356,4.0,12.817261199990753,109.40080929998658,126.38609739998356,4.0,12.823071299993899,109.40080929998658,126.38609739998356,4.0,12.829239200014854,109.40080929998658,126.38609739998356,4.0,12.8350955999922,109.40080929998658,126.38609739998356,4.0,12.841100000019651,109.40080929998658,126.38609739998356,3.0,16.989691399998264,109.40080929998658,126.38609739998356,3.0,16.994661200005794,109.40080929998658,126.38609739998356,3.0,16.99924450000981,109.40080929998658,126.38609739998356,3.0,17.004002700006822,109.40080929998658,126.38609739998356,3.0,17.008542299998226,109.40080929998658,126.38609739998356,3.0,17.013426099991193,109.40080929998658,126.38609739998356,"[-0.44907406, -0.32777777, 0.7092593, -0.4351852, 0.4564815, 0.58518517, 0.5796296]","[0.38333333, 0.27407408, 0.44722223, 0.44814816, 0.4722222, -0.42222223, -0.43425927]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[7.165560900000855, 9.66507869999623, 13.502266099996632, 18.583262000000104, 22.33940789999906, 25.128420199995162, 25.53097190000699]",['Click_to_Continue_2'],0.010523229982936755,None,103.2815068999771,None,3.0,14.465965499985032,92.04158879999886,None,3.0,15.111778200021945,92.04158879999886,None,3.0,15.662194100004854,92.04158879999886,None,2.0,16.84571719999076,92.04158879999886,None,2.0,17.565727700013667,92.04158879999886,None,3.0,18.63789660000475,92.04158879999886,None,3.0,19.892786100012017,92.04158879999886,None,3.0,21.39892969999346,92.04158879999886,None,3.0,21.8864832999825,92.04158879999886,None,3.0,22.545245399989653,92.04158879999886,None,3.0,23.518801500002155,92.04158879999886,None,106.98647819997859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.269145400001435,138.8439362999925,150.71605970000383,3.0,7.27503250000882,138.8439362999925,150.71605970000383,3.0,2.9686449999862816,138.8439362999925,150.71605970000383,3.0,7.283548600011272,138.8439362999925,150.71605970000383,3.0,7.288722099998267,138.8439362999925,150.71605970000383,3.0,7.294475899980171,138.8439362999925,150.71605970000383,3.0,11.859782299987273,138.8439362999925,150.71605970000383,3.0,11.865281500009587,138.8439362999925,150.71605970000383,3.0,11.870168199995533,138.8439362999925,150.71605970000383,3.0,11.875263800000539,138.8439362999925,150.71605970000383,3.0,11.880195600009756,138.8439362999925,150.71605970000383,3.0,11.886028100008843,138.8439362999925,150.71605970000383,"[-0.4888889, -0.43611112, 0.46388888, -0.45925927, 0.4888889, 0.5138889]","[0.45833334, 0.43425927, 0.43796295, 0.49722221, 0.45833334, -0.45925927]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1.9867200000153389, 3.335495000006631, 7.922019299992826, 14.126461400010157, 18.104478699999163, 22.001304000004893]",['Click_to_Continue_2'],0.015791329991770908,None,133.62550149997696,None,4.0,21.19334759999765,126.38609739998356,None,4.0,21.198575699992944,126.38609739998356,None,4.0,21.20513449999271,126.38609739998356,None,4.0,21.212383900012355,126.38609739998356,None,4.0,21.217183400003705,126.38609739998356,None,4.0,21.225092800013954,126.38609739998356,None,3.0,24.226733899995452,126.38609739998356,None,3.0,24.23173090000637,126.38609739998356,None,3.0,24.235937399993418,126.38609739998356,None,3.0,24.24029899999732,126.38609739998356,None,3.0,24.24671559999115,126.38609739998356,None,,,137.1181863999809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.320140000025276,163.5649121000024,171.43837540000095,3.0,4.325400699977763,163.5649121000024,171.43837540000095,3.0,4.330594099999871,163.5649121000024,171.43837540000095,3.0,4.337566000001971,163.5649121000024,171.43837540000095,3.0,4.343263800023124,163.5649121000024,171.43837540000095,3.0,4.2451024999900255,163.5649121000024,171.43837540000095,3.0,7.87198699999135,163.5649121000024,171.43837540000095,3.0,7.878201599989552,163.5649121000024,171.43837540000095,3.0,7.773061999992933,163.5649121000024,171.43837540000095,3.0,7.776711100013927,163.5649121000024,171.43837540000095,3.0,7.780878799996572,163.5649121000024,171.43837540000095,3.0,7.785652200022014,163.5649121000024,171.43837540000095,"[-0.41296297, 0.4722222, -0.40185186, 0.47685185, 0.525]","[0.43333334, 0.45555556, 0.41759259, 0.47037038, -0.4351852]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.6736084999865852, 4.7118990999879315, 8.883982699975604, 12.62039939998067, 16.877673199982382]",['Click_to_Continue_2'],0.006910630007041618,None,159.8725485999894,None,3.0,17.328000000008615,150.71605970000383,None,3.0,17.333833599986974,150.71605970000383,None,3.0,17.339148700004444,150.71605970000383,None,3.0,17.34422229998745,150.71605970000383,None,3.0,17.34965469999588,150.71605970000383,None,3.0,17.35524330000044,150.71605970000383,None,3.0,21.027782299992396,150.71605970000383,None,3.0,21.033195399999386,150.71605970000383,None,3.0,21.038684300001478,150.71605970000383,None,3.0,20.95066680002492,150.71605970000383,None,3.0,20.955441500002053,150.71605970000383,None,,,,,162.36792079999577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.46071439998923,None,3.0,11.964219799992861,171.43837540000095,None,3.0,11.970317400002386,171.43837540000095,None,3.0,11.97546579997288,171.43837540000095,None,3.0,11.981272700009868,171.43837540000095,None,3.0,11.987584899994545,171.43837540000095,None,3.0,11.992913099995349,171.43837540000095,None,3.0,15.891978200001176,171.43837540000095,None,3.0,15.898887600022135,171.43837540000095,None,3.0,15.903520599997137,171.43837540000095,None,3.0,15.909860499989009,171.43837540000095,None,3.0,15.9145488999784,171.43837540000095,None,,,,,,,181.78589009999996,None,2.0,7.448440500011202,181.78589009999996,None,"[-0.1, 0.57685184]","[-0.0046296297, -0.44537038]","[1, 1]","[0, 0]","[0, 0]","[7.326585899980273, 8.97648240000126]",['Click_to_Continue_5'],0.011437890003435314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
Question 1:,stim/Au_art_30303.jpg,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/feature_based_Au_art_30303.jpg.png,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"Friday, July 22, 2022 11:46:00",193.45582159998594,203.51648079999723,203.4886509999924,None,1.0,17.201691199996276,203.4886509999924,None,4.0,18.08073549999972,203.4886509999924,None,203.4886509999924,None,1.0,19.404570799990324,203.4886509999924,None,"[-0.5962963, -0.575, -0.35277778, 0.30648148, 0.52037036]","[-0.12777779, -0.11203704, -0.2898148, -0.19722222, -0.4324074]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[6.495170500013046, 6.996409200015478, 7.876194200012833, 9.223140300018713, 10.18740650001564]",['Click_to_Continue_10'],10.051145370001905,None,212.89152269999613,None,"Friday, July 22, 2022 11:46:20",,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
Question 2:,stim/Tp_D_CRN_M_N_arc00073_arc00072_10267.tif,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_M_N_arc00073_arc00072_10267.tif.png,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:46:20",213.717061000003,223.74156850000145,223.717384699994,None,2.0,17.528659800009336,223.717384699994,None,4.0,18.421109099988826,223.717384699994,None,223.717384699994,None,1.0,19.49929490001523,223.717384699994,None,"[-0.3037037, -0.32037038, -0.35277778, 0.29722223, 0.5148148]","[-0.094444446, -0.108333334, -0.29814816, -0.19814815, -0.45185184]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[6.0994284999906085, 7.360729899985017, 8.257372099993518, 9.384566799999448, 10.240568399982294]",['Click_to_Continue_10'],10.01965066997218,None,233.24523639999097,None,"Friday, July 22, 2022 11:46:40",,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
Question 3:,stim/Tp_D_CRN_M_N_pla00026_pla00038_10147.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_M_N_pla00026_pla00038_10147.tif.png,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:46:40",233.99676369997906,244.02544509997824,244.00076959998114,None,1.0,15.211131899995962,244.00076959998114,None,4.0,16.16092250001384,244.00076959998114,None,244.00076959998114,None,1.0,17.380620999989333,244.00076959998114,None,"[-0.5694444, -0.35740742, 0.30462962, 0.54351854]","[-0.1037037, -0.29074073, -0.2037037, -0.4398148]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5.068395400012378, 5.99006240000017, 7.234941100003198, 8.306683200004045]",['Click_to_Continue_10'],10.02513946997351,None,251.4080496999959,None,"Friday, July 22, 2022 11:46:59",,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
Question 4:,stim/Au_ind_30028.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ind_30028.jpg.png,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:46:59",252.3458027000015,262.3725337999931,262.34854789997917,None,1.0,15.696506000007503,262.34854789997917,None,4.0,17.813238000002457,262.34854789997917,None,262.34854789997917,None,1.0,18.62377090001246,262.34854789997917,None,"[-0.5777778, -0.35462964, 0.2935185, 0.5611111]","[-0.094444446, -0.29444444, -0.18888889, -0.45555556]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5.5303673000016715, 7.614632999990135, 8.505936800007476, 9.509916100010742]",['Click_to_Continue_10'],10.02237546996912,None,270.9983464999823,None,"Friday, July 22, 2022 11:47:18",,,000_1,002,2022-07-22_11h43.30.481,CSVTrial,2022.1.3,60.00740491426483,
