txtStim,stimFile,AI_Resp,ExplanationFile,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial_start,Conversational_Intro_Txt.started,Conversational_Intro_Txt.stopped,Accept_Deny_Button.response,Accept_Deny_Button.rt,Accept_Deny_Button.started,Accept_Deny_Button.stopped,ConfidenceSlider.response,ConfidenceSlider.rt,ConfidenceSlider.started,ConfidenceSlider.stopped,Experimental_Images.started,Experimental_Images.stopped,DenySlider.response,DenySlider.rt,DenySlider.started,DenySlider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Click_to_Continue.started,Click_to_Continue.stopped,trial_end,Q1_Slider.response,Q1_Slider.rt,Q1_Slider.started,Q1_Slider.stopped,Q2_Slider.response,Q2_Slider.rt,Q2_Slider.started,Q2_Slider.stopped,Q3_Slider.response,Q3_Slider.rt,Q3_Slider.started,Q3_Slider.stopped,Q4_Slider.response,Q4_Slider.rt,Q4_Slider.started,Q4_Slider.stopped,Q5_Slider.response,Q5_Slider.rt,Q5_Slider.started,Q5_Slider.stopped,Q6_Slider.response,Q6_Slider.rt,Q6_Slider.started,Q6_Slider.stopped,Q7_Slider.response,Q7_Slider.rt,Q7_Slider.started,Q7_Slider.stopped,Q8_Slider.response,Q8_Slider.rt,Q8_Slider.started,Q8_Slider.stopped,Q9_Slider.response,Q9_Slider.rt,Q9_Slider.started,Q9_Slider.stopped,Q10_Slider.response,Q10_Slider.rt,Q10_Slider.started,Q10_Slider.stopped,Q11_Slider.response,Q11_Slider.rt,Q11_Slider.started,Q11_Slider.stopped,Q12_Slider.response,Q12_Slider.rt,Q12_Slider.started,Q12_Slider.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,Click_to_Continue_2.started,Click_to_Continue_2.stopped,Q13_Slider.response,Q13_Slider.rt,Q13_Slider.started,Q13_Slider.stopped,Q14_Slider.response,Q14_Slider.rt,Q14_Slider.started,Q14_Slider.stopped,Q15_Slider.response,Q15_Slider.rt,Q15_Slider.started,Q15_Slider.stopped,Q16_Slider.response,Q16_Slider.rt,Q16_Slider.started,Q16_Slider.stopped,Q17_Slider.response,Q17_Slider.rt,Q17_Slider.started,Q17_Slider.stopped,Q18_Slider.response,Q18_Slider.rt,Q18_Slider.started,Q18_Slider.stopped,Q19_Slider.response,Q19_Slider.rt,Q19_Slider.started,Q19_Slider.stopped,Q20_Slider.response,Q20_Slider.rt,Q20_Slider.started,Q20_Slider.stopped,Q21_Slider.response,Q21_Slider.rt,Q21_Slider.started,Q21_Slider.stopped,Q22_Slider.response,Q22_Slider.rt,Q22_Slider.started,Q22_Slider.stopped,Q23_Slider.response,Q23_Slider.rt,Q23_Slider.started,Q23_Slider.stopped,Text_Intro_Txt.started,Text_Intro_Txt.stopped,Question_Txt_5.started,Question_Txt_5.stopped,Accept_Deny_Button_5.response,Accept_Deny_Button_5.rt,Accept_Deny_Button_5.started,Accept_Deny_Button_5.stopped,ConfidenceSlider_5.response,ConfidenceSlider_5.rt,ConfidenceSlider_5.started,ConfidenceSlider_5.stopped,DenySlider_5.response,DenySlider_5.rt,DenySlider_5.started,DenySlider_5.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,Click_to_Continue_8.started,Click_to_Continue_8.stopped,PresstoCont_2.started,PresstoCont_2.stopped,Image_Intro_Txt.started,Image_Intro_Txt.stopped,Question_Txt_4.started,Question_Txt_4.stopped,Accept_Deny_Button_4.response,Accept_Deny_Button_4.rt,Accept_Deny_Button_4.started,Accept_Deny_Button_4.stopped,ConfidenceSlider_4.response,ConfidenceSlider_4.rt,ConfidenceSlider_4.started,ConfidenceSlider_4.stopped,Experimental_Images_4.started,Experimental_Images_4.stopped,DenySlider_4.response,DenySlider_4.rt,DenySlider_4.started,DenySlider_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,Click_to_Continue_7.started,Click_to_Continue_7.stopped,PresstoCont_7.started,PresstoCont_7.stopped,Feature_Intro_Txt.started,Feature_Intro_Txt.stopped,Question_Txt_3.started,Question_Txt_3.stopped,Accept_Deny_Button_3.response,Accept_Deny_Button_3.rt,Accept_Deny_Button_3.started,Accept_Deny_Button_3.stopped,ConfidenceSlider_3.response,ConfidenceSlider_3.rt,ConfidenceSlider_3.started,ConfidenceSlider_3.stopped,Experimental_Images_3.started,Experimental_Images_3.stopped,DenySlider_3.response,DenySlider_3.rt,DenySlider_3.started,DenySlider_3.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,mouse_6.started,mouse_6.stopped,Click_to_Continue_6.started,Click_to_Continue_6.stopped,PresstoCont_8.started,PresstoCont_8.stopped,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 1:,stim/Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,"The AI system has determined that the above image is not authentic. 
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_M_N_ani00023_ani00024_10205.tif.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:01:09",189.3851694999903,199.42625999997836,1.0,17.510633700003382,199.42625999997836,None,4.0,19.53735020000022,199.42625999997836,None,199.42625999997836,None,3.0,25.925304700009292,199.42625999997836,None,"[-0.5787037, -0.3611111, 0.51944447, 0.5138889, 0.4888889, 0.5925926]","[-0.11296296, -0.29074073, -0.20833333, -0.20277777, -0.19074073, -0.4425926]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[7.338090400007786, 9.336655599996448, 14.452672799990978, 15.006958099984331, 15.746640900004422, 17.05508560000453]",['Click_to_Continue'],10.051682859979337,None,215.3466999999946,None,"Friday, July 22, 2022 11:01:36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 2:,stim/Tp_D_CNN_S_N_art00007_art00008_01197.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_S_N_art00007_art00008_01197.tif.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:01:36",216.5251892999804,226.5594084999757,2.0,18.40646420000121,226.53489559999434,None,4.0,19.376460899977246,226.53489559999434,None,226.53489559999434,None,1.0,22.409844799985876,226.53489559999434,None,"[-0.3314815, -0.3564815, 0.30185184, 0.5675926]","[-0.09351852, -0.30833334, -0.18888889, -0.4564815]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[8.242815500008874, 9.217090600024676, 12.266333800012944, 13.567718500009505]",['Click_to_Continue'],10.025866060052067,None,238.9675088999793,None,"Friday, July 22, 2022 11:01:59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 3:,stim/Au_pla_20034.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_pla_20034.jpg.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:01:59",240.16670709999744,250.18454309998197,2.0,17.43213630001992,250.18454309998197,None,4.0,18.248087999993004,250.18454309998197,None,250.18454309998197,None,1.0,23.25023589999182,250.18454309998197,None,"[-0.32407406, -0.34537038, 0.29074073, 0.55]","[-0.10555556, -0.29444444, -0.18981482, -0.45462963]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7.245057200023439, 8.079083800024819, 13.073493600008078, 14.051153000007616]",['Click_to_Continue'],10.029126180015737,None,263.44887890000246,None,"Friday, July 22, 2022 11:02:24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 4:,stim/Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:02:24",264.2859292999783,274.3311015999934,1.0,15.129418700002134,274.30547599997954,None,4.0,16.440610399993602,274.30547599997954,None,274.30547599997954,None,3.0,19.69360530000995,274.30547599997954,None,"[-0.575, -0.33888888, 0.50185186, 0.5675926]","[-0.09907407, -0.31203705, -0.18148148, -0.44351852]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[4.953118399978848, 6.233066599990707, 9.548070499993628, 10.517750799976056]",['Click_to_Continue'],10.027258260030067,None,284.01214449998224,None,"Friday, July 22, 2022 11:02:44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 5:,stim/Au_ani_10178.jpg.png,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_ani_10178.jpg.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:02:44",284.8759668999992,294.90400879998924,1.0,17.627161199983675,294.90400879998924,None,4.0,18.969575000024633,294.90400879998924,None,294.90400879998924,None,3.0,23.6993700999883,294.90400879998924,None,"[-0.5972222, -0.575, -0.3361111, 0.4888889, 0.58148146]","[-0.10185185, -0.09907407, -0.29537037, -0.19166666, -0.44537038]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[6.713268599996809, 7.436626100010471, 8.792570899997372, 13.548441199993249, 14.629776200017659]",['Click_to_Continue'],10.03332416000194,None,308.6151398999791,None,"Friday, July 22, 2022 11:03:09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 6:,stim/Tp_D_CNN_S_N_nat00095_ani00017_10219.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_S_N_nat00095_ani00017_10219.tif.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:03:09",309.5807862999791,319.598436100001,1.0,15.322830799996154,319.598436100001,None,4.0,16.24065399999381,319.598436100001,None,319.598436100001,None,3.0,17.969512699986808,319.598436100001,None,"[-0.5787037, -0.3472222, 0.50185186, 0.5324074]","[-0.1, -0.3, -0.2037037, -0.44537038]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5.159258800005773, 6.094442700006766, 7.824894199991832, 9.640785499999765]",['Click_to_Continue'],10.028898160002427,None,327.5836332999752,None,"Friday, July 22, 2022 11:03:29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 7: ,stim/Au_nat_30517.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_nat_30517.jpg.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:03:29",329.2840007999912,339.3264789999812,1.0,15.002248000004329,339.3022753999976,None,5.0,16.581478000007337,339.3022753999976,None,339.3022753999976,None,3.0,19.464640299993334,339.3022753999976,None,"[-0.5861111, -0.24351852, 0.5009259, 0.57592595]","[-0.094444446, -0.29166666, -0.19444445, -0.4611111]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[4.7934420999954455, 6.430078300007153, 9.356492699997034, 11.23538080000435]",['Click_to_Continue'],10.030461560032563,None,348.7835745999764,None,"Friday, July 22, 2022 11:03:50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 8:,stim/Tp_D_CRD_M_N_nat00048_nat00049_11067.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRD_M_N_nat00048_nat00049_11067.jpg.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:03:50",350.58101529997657,360.6055558999942,2.0,21.057178200018825,360.58020349999424,None,3.0,22.497039700014284,360.58020349999424,None,360.58020349999424,None,1.0,25.508865500014508,360.58020349999424,None,"[-0.3287037, -0.44074073, 0.29444444, 0.55]","[-0.08148148, -0.30462962, -0.19074073, -0.44814816]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10.875105299986899, 12.336421399988467, 15.357456099998672, 18.19565030001104]",['Click_to_Continue'],10.014453259995207,None,376.1229836999846,None,"Friday, July 22, 2022 11:04:18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
Question 9:,stim/Au_arc_30794.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_arc_30794.jpg.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,"Friday, July 22, 2022 11:04:18",378.8258884999959,388.8493262999982,1.0,16.36227549999603,388.8493262999982,None,5.0,18.66733430000022,388.8493262999982,None,388.8493262999982,None,3.0,23.943739599984838,388.8493262999982,None,"[-0.6, -0.5842593, -0.24814814, 0.5009259, 0.5787037]","[-0.08888889, -0.108333334, -0.2898148, -0.19444445, -0.45740741]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[5.491838700021617, 6.1799734000233, 8.483692400011932, 13.767818200023612, 14.886704400007147]",['Click_to_Continue'],10.03009635998751,None,402.80910309997853,None,"Friday, July 22, 2022 11:04:43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2022-07-22_11h00.20.625,CSVTrial,2022.1.3,59.91342509714565,
