LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1658841685.524343,1292441.000,10838,2,RD,1,100,TL
1658841685.524343,1292441.000,10838,2,RD,1,100,TU
1658841688.142719,1294995.000,11666,2,RD,1,100,TL
1658841690.761095,1297549.000,11666,2,RD,1,100,TU
1658841693.404076,1300127.000,12511,2,RD,1,100,TL
1658841696.047057,1302705.000,12511,2,RD,1,100,TU
1658841698.665946,1305259.500,13340,2,RD,1,100,TL
1658841701.284834,1307814.000,13340,2,RD,1,100,TU
1658841703.902697,1310367.500,14172,2,RD,1,100,TL
1658841706.520561,1312921.000,14172,2,RD,1,100,TU
1658841709.139449,1315475.500,15000,2,RD,1,100,TL
1658841711.758338,1318030.000,15000,2,RD,1,100,TU
1658841714.376201,1320583.500,15829,2,RD,1,100,TL
1658841716.994065,1323137.000,15829,2,RD,1,100,TU
1658841719.612441,1325691.000,16660,2,RD,1,100,TL
1658841722.230817,1328245.000,16660,2,RD,1,100,TU
1658841724.851243,1330801.000,17490,2,RD,1,100,TL
1658841727.471669,1333357.000,17490,2,RD,1,100,TU
1658841730.089533,1335910.500,18319,2,RD,1,100,TL
1658841732.707396,1338464.000,18319,2,RD,1,100,TU
1658841735.327823,1341020.000,19150,2,RD,1,100,TL
1658841737.948249,1343576.000,19150,2,RD,1,100,TU
1658841740.569188,1346132.500,19978,2,RD,1,100,TL
1658841743.190127,1348689.000,19978,2,RD,1,100,TU
1658841745.807991,1351242.500,20809,2,RD,1,100,TL
1658841748.425854,1353796.000,20809,2,RD,1,100,TU
1658841751.048843,1356354.500,21639,2,RD,1,100,TL
1658841753.671833,1358913.000,21639,2,RD,1,100,TU
1658841756.290721,1361467.500,22468,2,RD,1,100,TL
1658841758.909610,1364022.000,22468,2,RD,1,100,TU
1658841761.534650,1366582.500,23297,2,RD,1,100,TL
1658841764.159690,1369143.000,23297,2,RD,1,100,TU
1658841766.804208,1371722.500,24143,2,RD,1,100,TL
1658841769.448727,1374302.000,24143,2,RD,1,100,TU
1658841772.084532,1376873.000,24972,2,RD,1,100,TL
1658841774.720336,1379444.000,24972,2,RD,1,100,TU
1658841777.338199,1381997.500,25801,2,RD,1,100,TL
1658841779.956063,1384551.000,25801,2,RD,1,100,TU
1658841782.574439,1387105.000,26632,2,RD,1,100,TL
1658841785.192815,1389659.000,26632,2,RD,1,100,TU
1658841787.828107,1392229.500,27462,2,RD,1,100,TL
1658841790.463398,1394800.000,27462,2,RD,1,100,TU
1658841793.080237,1397352.500,28291,2,RD,1,100,TL
1658841795.697075,1399905.000,28291,2,RD,1,100,TU
1658841798.315964,1402459.500,29119,2,RD,1,100,TL
1658841800.934852,1405014.000,29119,2,RD,1,100,TU
1658841803.552716,1407567.500,29932,2,RD,1,100,TL
1658841806.170579,1410121.000,29932,2,RD,1,100,TU
1658841808.785367,1412671.500,30746,2,RD,1,100,TL
1658841811.400154,1415222.000,30746,2,RD,1,100,TU
1658841814.027757,1417785.000,31575,2,RD,1,100,TL
1658841816.655360,1420348.000,31575,2,RD,1,100,TU
1658841819.278862,1422907.000,32404,2,RD,1,100,TL
1658841821.902364,1425466.000,32404,2,RD,1,100,TU
1658841824.517664,1428017.000,33235,2,RD,1,100,TL
1658841827.132965,1430568.000,33235,2,RD,1,100,TU
1658841829.761080,1433131.500,34066,2,RD,1,100,TL
1658841832.389196,1435695.000,34066,2,RD,1,100,TU
1658841835.019361,1438260.500,34895,2,RD,1,100,TL
1658841837.649527,1440826.000,34895,2,RD,1,100,TU
1658841840.286357,1443398.000,35726,2,RD,1,100,TL
1658841842.923187,1445970.000,35726,2,RD,1,100,TU
1658841845.566680,1448548.500,36556,2,RD,1,100,TL
1658841848.210174,1451127.000,36556,2,RD,1,100,TU
1658841850.827012,1453679.500,37368,2,RD,1,100,TL
1658841853.443850,1456232.000,37368,2,RD,1,100,TU
1658841856.060176,1458784.000,38183,2,RD,1,100,TL
1658841858.676501,1461336.000,38183,2,RD,1,100,TU
1658841861.308205,1463903.000,39014,2,RD,1,100,TL
1658841863.939909,1466470.000,39014,2,RD,1,100,TU
1658841866.584427,1469049.500,39844,2,RD,1,100,TL
1658841869.228946,1471629.000,39844,2,RD,1,100,TU
1658841871.865776,1474201.000,40673,2,RD,1,100,TL
