LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1658842240.028509,1833312,32508,1,SR,1,100,0.066667
1658842241.025009,1834284,32677,1,SR,1,100,0.133333
1658842241.759056,1835000,32799,1,SR,1,100,0.066667
1658842241.956921,1835193,32817,1,SR,1,100,0.066667
1658842242.156836,1835388,32853,1,SR,1,100,0.066667
1658842242.358802,1835585,32888,1,SR,1,100,0.133333
1658842242.624330,1835844,32939,1,SR,1,100,0.200000
1658842242.955472,1836167,33022,1,SR,1,100,0.333333
1658842243.420915,1836621,33059,1,SR,1,100,0.066667
1658842243.623906,1836819,33242,1,SR,1,100,1.000000
1658842244.754708,1837922,33277,1,SR,1,100,0.133333
1658842245.152488,1838310,33360,1,SR,1,100,0.200000
1658842245.751208,1838894,33462,1,SR,1,100,0.200000
1658842246.215626,1839347,33515,1,SR,1,100,0.133333
1658842246.482180,1839607,33584,1,SR,1,100,0.266667
1658842247.017338,1840129,33634,1,SR,1,100,0.066667
1658842247.215202,1840322,33674,1,SR,1,100,0.133333
1658842247.480731,1840581,33709,1,SR,1,100,0.066667
1658842247.678595,1840774,33761,1,SR,1,100,0.133333
1658842248.346004,1841425,33862,1,SR,1,100,0.066667
1658842248.676121,1841747,33913,1,SR,1,100,0.066667
1658842248.877061,1841943,33981,1,SR,1,100,0.266667
1658842249.277917,1842334,34016,1,SR,1,100,0.133333
1658842249.542420,1842592,34100,1,SR,1,100,0.400000
1658842250.676297,1843698,34234,1,SR,1,100,0.066667
1658842251.142766,1844153,34368,1,SR,1,100,0.400000
1658842251.675873,1844673,34386,1,SR,1,100,0.066667
1658842252.004964,1844994,34486,1,SR,1,100,0.266667
1658842252.406845,1845386,34528,1,SR,1,100,0.200000
1658842252.739012,1845710,34564,1,SR,1,100,0.066667
1658842253.204455,1846164,34648,1,SR,1,100,0.066667
1658842253.407446,1846362,34699,1,SR,1,100,0.266667
1658842254.068704,1847007,34800,1,SR,1,100,0.200000
1658842254.536198,1847463,34885,1,SR,1,100,0.266667
1658842255.069305,1847983,34953,1,SR,1,100,0.066667
1658842255.271271,1848180,34988,1,SR,1,100,0.133333
1658842255.534749,1848437,35038,1,SR,1,100,0.133333
1658842255.802327,1848698,35092,1,SR,1,100,0.200000
1658842256.135519,1849023,35126,1,SR,1,100,0.066667
1658842256.334409,1849217,35196,1,SR,1,100,0.333333
1658842256.934155,1849802,35311,1,SR,1,100,0.400000
1658842257.464186,1850319,35369,1,SR,1,100,0.266667
1658842257.998318,1850840,35436,1,SR,1,100,0.133333
1658842258.264872,1851100,35553,1,SR,1,100,0.600000
1658842259.793454,1852591,35704,1,SR,1,100,0.066667
1658842259.992344,1852785,35755,1,SR,1,100,0.133333
1658842260.261973,1853048,35788,1,SR,1,100,0.066667
1658842260.461888,1853243,35874,1,SR,1,100,0.400000
1658842261.259499,1854021,35976,1,SR,1,100,0.200000
1658842261.591665,1854345,36011,1,SR,1,100,0.066667
1658842262.056083,1854798,36128,1,SR,1,100,0.333333
1658842262.789106,1855513,36195,1,SR,1,100,0.066667
1658842262.985945,1855705,36236,1,SR,1,100,0.133333
1658842263.254549,1855967,36272,1,SR,1,100,0.133333
1658842263.523153,1856229,36307,1,SR,1,100,0.066667
1658842264.387402,1857072,36473,1,SR,1,100,0.200000
1658842264.721619,1857398,36541,1,SR,1,100,0.266667
1658842265.121449,1857788,36576,1,SR,1,100,0.133333
1658842265.921110,1858568,36696,1,SR,1,100,0.066667
1658842266.118975,1858761,36766,1,SR,1,100,0.266667
1658842266.651057,1859280,36816,1,SR,1,100,0.066667
1658842267.119576,1859737,36916,1,SR,1,100,0.200000
1658842267.582969,1860189,37002,1,SR,1,100,0.200000
1658842267.916161,1860514,37018,1,SR,1,100,0.066667
1658842268.118126,1860711,37060,1,SR,1,100,0.133333
1658842268.514881,1861098,37129,1,SR,1,100,0.200000
1658842268.982375,1861554,37196,1,SR,1,100,0.133333
1658842269.383230,1861945,37363,1,SR,1,100,0.733333
1658842270.513007,1863047,37431,1,SR,1,100,0.066667
1658842270.710872,1863240,37467,1,SR,1,100,0.066667
1658842270.911813,1863436,37517,1,SR,1,100,0.133333
1658842271.179391,1863697,37536,1,SR,1,100,0.133333
1658842271.578196,1864086,37621,1,SR,1,100,0.200000
1658842271.907287,1864407,37674,1,SR,1,100,0.200000
1658842272.376832,1864865,37759,1,SR,1,100,0.266667
1658842272.776662,1865255,37811,1,SR,1,100,0.133333
1658842273.043216,1865515,37861,1,SR,1,100,0.200000
1658842273.374357,1865838,37903,1,SR,1,100,0.133333
1658842273.908489,1866359,37988,1,SR,1,100,0.133333
1658842274.705075,1867136,38122,1,SR,1,100,0.133333
1658842275.239207,1867657,38207,1,SR,1,100,0.133333
1658842275.771289,1868176,38290,1,SR,1,100,0.133333
1658842276.037842,1868436,38326,1,SR,1,100,0.066667
1658842276.234682,1868628,38410,1,SR,1,100,0.400000
1658842276.767789,1869148,38444,1,SR,1,100,0.133333
1658842277.299871,1869667,38530,1,SR,1,100,0.066667
1658842277.633063,1869992,38597,1,SR,1,100,0.133333
1658842278.300472,1870643,38715,1,SR,1,100,0.200000
1658842278.761814,1871093,38836,1,SR,1,100,0.533333
1658842279.829054,1872134,38956,1,SR,1,100,0.200000
1658842280.162246,1872459,39040,1,SR,1,100,0.400000
1658842280.693302,1872977,39076,1,SR,1,100,0.066667
1658842281.025469,1873301,39143,1,SR,1,100,0.133333
1658842281.293048,1873562,39180,1,SR,1,100,0.066667
1658842281.491938,1873756,39247,1,SR,1,100,0.333333
1658842282.223935,1874470,39333,1,SR,1,100,0.133333
1658842282.623765,1874860,39431,1,SR,1,100,0.333333
1658842283.087158,1875312,39483,1,SR,1,100,0.200000
1658842283.421376,1875638,39535,1,SR,1,100,0.200000
1658842283.887844,1876093,39607,1,SR,1,100,0.066667
1658842284.351237,1876545,39678,1,SR,1,100,0.133333
1658842284.754143,1876938,39828,1,SR,1,100,0.666667
1658842285.817282,1877975,39912,1,SR,1,100,0.133333
1658842286.214036,1878362,39962,1,SR,1,100,0.066667
1658842287.082386,1879209,40164,1,SR,1,100,0.466667
1658842287.679056,1879791,40232,1,SR,1,100,0.266667
1658842288.477691,1880570,40351,1,SR,1,100,0.200000
1658842288.810883,1880895,40386,1,SR,1,100,0.066667
1658842289.409603,1881479,40476,1,SR,1,100,0.066667
1658842289.742795,1881804,40594,1,SR,1,100,0.400000
1658842290.277953,1882326,40631,1,SR,1,100,0.133333
1658842290.938185,1882970,40747,1,SR,1,100,0.133333
1658842291.205764,1883231,40782,1,SR,1,100,0.133333
1658842291.739897,1883752,40867,1,SR,1,100,0.066667
1658842292.068988,1884073,40969,1,SR,1,100,0.400000
1658842292.869673,1884854,41053,1,SR,1,100,0.066667
1658842293.337167,1885310,41154,1,SR,1,100,0.266667
1658842293.735972,1885699,41207,1,SR,1,100,0.200000
1658842294.202441,1886154,41290,1,SR,1,100,0.200000
1658842294.804237,1886741,41380,1,SR,1,100,0.200000
1658842295.265580,1887191,41431,1,SR,1,100,0.066667
1658842295.465495,1887386,41466,1,SR,1,100,0.066667
1658842295.666435,1887582,41533,1,SR,1,100,0.266667
1658842296.066266,1887972,41584,1,SR,1,100,0.200000
1658842296.396382,1888294,41653,1,SR,1,100,0.266667
1658842296.799288,1888687,41688,1,SR,1,100,0.066667
1658842297.394933,1889268,41775,1,SR,1,100,0.066667
1658842297.729150,1889594,41891,1,SR,1,100,0.400000
1658842298.263282,1890115,41928,1,SR,1,100,0.066667
1658842298.461147,1890308,41963,1,SR,1,100,0.066667
1658842298.661062,1890503,41997,1,SR,1,100,0.133333
1658842299.195194,1891024,42082,1,SR,1,100,0.066667
1658842299.394084,1891218,42190,1,SR,1,100,0.600000
1658842300.125056,1891931,42245,1,SR,1,100,0.133333
