LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1658855192.620705,146411.000,21778,1,B%,1,100,83
1658855193.617244,147383.000,21948,1,B%,1,100,83
1658855194.616858,148358.000,22096,1,B%,1,100,83
1658855195.615448,149332.000,22261,1,B%,1,100,83
1658855196.613012,150305.000,22426,1,B%,1,100,82
1658855197.609551,151277.000,22575,1,B%,1,100,82
1658855198.610190,152253.000,22740,1,B%,1,100,82
1658855199.605704,153224.000,22893,1,B%,1,100,82
1658855200.608394,154202.000,23058,1,B%,1,100,82
1658855201.606984,155176.000,23207,1,B%,1,100,82
1658855202.602497,156147.000,23372,1,B%,1,100,82
1658855203.601087,157121.000,23521,1,B%,1,100,82
1658855204.600701,158096.000,23691,1,B%,1,100,82
1658855205.598265,159069.000,23841,1,B%,1,100,82
1658855206.595829,160042.000,24004,1,B%,1,100,82
1658855207.593394,161015.000,24169,1,B%,1,100,82
1658855208.594033,161991.000,24317,1,B%,1,100,82
1658855209.592623,162965.000,24487,1,B%,1,100,82
1658855210.592237,163940.000,24636,1,B%,1,100,82
1658855211.589801,164913.000,24801,1,B%,1,100,82
1658855212.588391,165887.000,24949,1,B%,1,100,82
1658855213.583904,166858.000,25114,1,B%,1,100,82
1658855214.580443,167830.000,25268,1,B%,1,100,82
1658855215.581083,168806.000,25433,1,B%,1,100,82
1658855216.580698,169781.000,25581,1,B%,1,100,82
1658855217.577236,170753.000,25730,1,B%,1,100,82
1658855218.576851,171728.000,25879,1,B%,1,100,82
1658855219.573390,172700.000,26044,1,B%,1,100,82
1658855220.574030,173676.000,26197,1,B%,1,100,82
1658855221.571594,174649.000,26362,1,B%,1,100,81
1658855222.570183,175623.000,26527,1,B%,1,100,82
1658855223.567747,176596.000,26676,1,B%,1,100,82
1658855224.567362,177571.000,26824,1,B%,1,100,82
1658855225.562876,178542.000,26994,1,B%,1,100,82
1658855226.559414,179514.000,27143,1,B%,1,100,82
1658855227.558004,180488.000,27308,1,B%,1,100,82
1658855228.558643,181464.000,27457,1,B%,1,100,81
1658855229.555182,182436.000,27606,1,B%,1,100,82
1658855230.554797,183411.000,27759,1,B%,1,100,82
1658855231.552361,184384.000,27925,1,B%,1,100,82
1658855232.549925,185357.000,28094,1,B%,1,100,82
1658855233.547489,186330.000,28215,1,B%,1,100,81
1658855234.544028,187302.000,28380,1,B%,1,100,81
1658855235.543643,188277.000,28531,1,B%,1,100,81
1658855236.542232,189251.000,28703,1,B%,1,100,82
1658855237.537745,190222.000,28851,1,B%,1,100,82
1658855238.538385,191198.000,29016,1,B%,1,100,81
1658855239.536975,192172.000,29166,1,B%,1,100,81
1658855240.537615,193148.000,29336,1,B%,1,100,82
1658855241.534153,194120.000,29506,1,B%,1,100,82
1658855242.531718,195093.000,29654,1,B%,1,100,82
1658855243.529282,196066.000,29819,1,B%,1,100,81
1658855244.527871,197040.000,29967,1,B%,1,100,82
1658855245.525435,198013.000,30135,1,B%,1,100,82
1658855246.522999,198986.000,30288,1,B%,1,100,82
1658855247.521588,199960.000,30453,1,B%,1,100,82
1658855248.521203,200935.000,30602,1,B%,1,100,82
1658855249.516716,201906.000,30767,1,B%,1,100,82
1658855250.518382,202883.000,30932,1,B%,1,100,82
1658855251.516971,203857.000,31085,1,B%,1,100,82
1658855252.514535,204830.000,31234,1,B%,1,100,81
1658855253.511074,205802.000,31384,1,B%,1,100,81
