LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1658874882.093901,190798.000,29069,1,EL,1,100,-16252.849609
1658874882.226151,190927.000,29088,2,EL,1,100,-16259.849609
1658874882.358402,191056.000,29088,2,EL,1,100,-16255.299805
1658874882.426065,191122.000,29104,1,EL,1,100,-16248.700195
1658874882.492191,191186.500,29120,2,EL,1,100,-16249.299805
1658874882.558316,191251.000,29120,2,EL,1,100,-16250.450195
1658874882.625467,191316.500,29136,2,EL,1,100,-16248.700195
1658874882.692617,191382.000,29136,2,EL,1,100,-16246.799805
1658874882.757205,191445.000,29153,1,EL,1,100,-16244.799805
1658874882.822818,191509.000,29169,2,EL,1,100,-16239.000000
1658874882.888430,191573.000,29169,2,EL,1,100,-16244.500000
1658874882.957119,191640.000,29186,1,EL,1,100,-16243.450195
1658874883.023757,191705.000,29204,2,EL,1,100,-16241.849609
1658874883.090395,191770.000,29204,2,EL,1,100,-16239.799805
1658874883.156008,191834.000,29219,1,EL,1,100,-16238.900391
1658874883.223158,191899.500,29242,4,EL,1,100,-16234.150391
1658874883.290309,191965.000,29242,4,EL,1,100,-16228.500000
1658874883.357459,192030.500,29242,4,EL,1,100,-16222.799805
1658874883.424610,192096.000,29242,4,EL,1,100,-16228.000000
1658874883.491248,192161.000,29258,2,EL,1,100,-16224.500000
1658874883.557886,192226.000,29258,2,EL,1,100,-16221.750000
1658874883.624011,192290.500,29276,2,EL,1,100,-16226.450195
1658874883.690137,192355.000,29276,2,EL,1,100,-16232.200195
1658874883.755749,192419.000,29292,2,EL,1,100,-16228.650391
1658874883.821362,192483.000,29292,2,EL,1,100,-16226.700195
1658874883.889025,192549.000,29309,1,EL,1,100,-16226.400391
1658874883.955663,192614.000,29325,2,EL,1,100,-16232.000000
1658874884.022301,192679.000,29325,2,EL,1,100,-16228.500000
1658874884.085864,192741.000,29342,1,EL,1,100,-16228.450195
1658874884.153014,192806.500,29358,2,EL,1,100,-16228.599609
1658874884.220165,192872.000,29358,2,EL,1,100,-16226.299805
1658874884.287828,192938.000,29375,1,EL,1,100,-16227.150391
