LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1658874886.238784,194841,29654,1,HR,1,100,16
1658874887.240404,195818,29776,1,HR,1,100,21
1658874888.861245,197399,30000,1,HR,1,100,23
1658874896.596378,204944,31231,1,HR,1,100,21
1658874923.337691,231028,35403,1,HR,1,100,19
1658874924.152725,231823,35537,1,HR,1,100,26
1658874925.198428,232843,35706,1,HR,1,100,29
1658874930.110161,237634,36479,1,HR,1,100,27
1658874931.712548,239197,36717,1,HR,1,100,29
1658874932.802336,240260,36899,1,HR,1,100,32
1658874934.165851,241590,37117,1,HR,1,100,33
1658874935.388915,242783,37300,1,HR,1,100,35
1658874936.871354,244229,37537,1,HR,1,100,36
1658874938.689033,246002,37820,1,HR,1,100,36
1658874939.403597,246699,37938,1,HR,1,100,41
1658874941.214100,248465,38225,1,HR,1,100,40
1658874946.168891,253298,39002,1,HR,1,100,37
1658874947.383753,254483,39175,1,HR,1,100,38
1658874948.749319,255815,39406,1,HR,1,100,39
1658874949.762217,256803,39556,1,HR,1,100,42
1658874956.160489,263044,40556,1,HR,1,100,38
1658874957.569114,264418,40778,1,HR,1,100,38
1658874960.713402,267485,41258,1,HR,1,100,36
1658874961.488453,268241,41391,1,HR,1,100,41
1658874963.416854,270122,41679,1,HR,1,100,40
1658874976.917710,283291,43785,1,HR,1,100,36
1658874980.409541,286697,44324,1,HR,1,100,34
1658874984.527769,290714,44974,1,HR,1,100,31
1658874998.304404,304152,47133,1,HR,1,100,28
1658875002.164282,307917,47736,1,HR,1,100,27
1658875005.017413,310700,48189,1,HR,1,100,26
1658875005.793489,311457,48306,1,HR,1,100,32
1658875007.479943,313102,48571,1,HR,1,100,33
1658875008.328809,313930,48705,1,HR,1,100,37
1658875009.978355,315539,48979,1,HR,1,100,37
1658875013.112391,318596,49476,1,HR,1,100,35
1658875016.506828,321907,50009,1,HR,1,100,33
1658875026.729095,331878,51606,1,HR,1,100,30
1658875028.177703,333291,51840,1,HR,1,100,31
1658875034.341204,339303,52787,1,HR,1,100,29
1658875036.883700,341783,53181,1,HR,1,100,28
1658875038.544524,343403,53453,1,HR,1,100,29
1658875040.944517,345744,53827,1,HR,1,100,29
1658875041.688812,346470,53865,1,HR,1,100,35
1658875044.142115,348863,54251,1,HR,1,100,34
1658875046.280682,350949,54602,1,HR,1,100,33
1658875047.004473,351655,54710,1,HR,1,100,39
1658875047.763121,352395,54828,1,HR,1,100,44
1658875049.375760,353968,55093,1,HR,1,100,43
1658875050.057518,354633,55195,1,HR,1,100,48
1658875050.905359,355460,55329,1,HR,1,100,51
1658875052.445209,356962,55567,1,HR,1,100,50
1658875053.202831,357701,55686,1,HR,1,100,53
1658875053.924572,358405,55802,1,HR,1,100,57
1658875054.658615,359121,55920,1,HR,1,100,60
1658875055.465447,359908,56056,1,HR,1,100,62
1658875056.221020,360645,56178,1,HR,1,100,64
1658875059.124386,363477,56630,1,HR,1,100,59
1658875062.745392,367009,57217,1,HR,1,100,54
1658875063.635265,367877,57352,1,HR,1,100,55
1658875065.085923,369292,57605,1,HR,1,100,54
1658875065.973746,370158,57744,1,HR,1,100,55
1658875066.747772,370913,57880,1,HR,1,100,58
1658875067.544352,371690,57990,1,HR,1,100,60
1658875068.152296,372283,58094,1,HR,1,100,65
1658875069.598853,373694,58326,1,HR,1,100,62
1658875070.406710,374482,58444,1,HR,1,100,64
