LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1658874882.267159,190967.000,29071,1,TH,1,100,30.021
1658874882.370705,191068.000,29090,1,TH,1,100,30.120
1658874882.481426,191176.000,29105,1,TH,1,100,30.134
1658874882.702869,191392.000,29138,1,TH,1,100,30.099
1658874882.809490,191496.000,29155,1,TH,1,100,30.107
1658874882.912010,191596.000,29171,1,TH,1,100,30.124
1658874883.016580,191698.000,29188,1,TH,1,100,30.131
1658874883.222646,191899.000,29221,1,TH,1,100,30.049
1658874883.361048,192034.000,29244,2,TH,1,100,30.056
1658874883.499449,192169.000,29244,2,TH,1,100,30.073
1658874883.624524,192291.000,29260,1,TH,1,100,30.087
1658874883.728069,192392.000,29278,1,TH,1,100,30.090
1658874883.831614,192493.000,29294,1,TH,1,100,30.097
1658874883.943361,192602.000,29310,1,TH,1,100,30.045
1658874884.143275,192797.000,29344,1,TH,1,100,30.052
1658874884.246820,192898.000,29360,1,TH,1,100,30.105
1658874884.349340,192998.000,29377,1,TH,1,100,30.112
1658874884.600514,193243.000,29409,1,TH,1,100,30.147
1658874884.703034,193343.000,29426,1,TH,1,100,30.154
1658874884.806579,193444.000,29443,1,TH,1,100,30.136
1658874884.911150,193546.000,29459,1,TH,1,100,30.136
1658874885.013670,193646.000,29476,1,TH,1,100,30.066
1658874885.188979,193817.000,29494,1,TH,1,100,30.074
1658874885.291499,193917.000,29511,1,TH,1,100,30.109
1658874885.499614,194120.000,29543,1,TH,1,100,30.116
1658874885.602134,194220.000,29559,1,TH,1,100,30.187
1658874885.775393,194389.000,29577,1,TH,1,100,30.194
1658874885.878938,194490.000,29593,1,TH,1,100,30.245
1658874885.982484,194591.000,29610,1,TH,1,100,30.252
1658874886.086029,194692.000,29627,1,TH,1,100,30.276
1658874886.293119,194894.000,29661,1,TH,1,100,30.283
1658874886.438698,195036.000,29679,1,TH,1,100,30.131
1658874886.541218,195136.000,29695,1,TH,1,100,30.138
1658874886.645788,195238.000,29712,1,TH,1,100,30.224
1658874886.748308,195338.000,29729,1,TH,1,100,30.231
1658874886.874408,195461.000,29745,1,TH,1,100,30.287
1658874887.037927,195620.500,29763,2,TH,1,100,30.287
1658874887.201446,195780.000,29763,2,TH,1,100,30.286
1658874887.323445,195899.000,29784,2,TH,1,100,30.293
1658874887.445444,196018.000,29784,2,TH,1,100,30.330
1658874887.662786,196230.000,29801,1,TH,1,100,30.338
1658874887.792987,196357.000,29818,1,TH,1,100,30.263
1658874887.896532,196458.000,29835,1,TH,1,100,30.271
1658874888.001102,196560.000,29851,1,TH,1,100,30.247
1658874888.103622,196660.000,29869,1,TH,1,100,30.247
1658874888.207167,196761.000,29886,1,TH,1,100,30.295
1658874888.414258,196963.000,29918,1,TH,1,100,30.302
1658874888.517803,197064.000,29935,1,TH,1,100,30.299
1658874888.622373,197166.000,29951,1,TH,1,100,30.306
1658874888.829464,197368.000,29988,1,TH,1,100,30.359
1658874888.931984,197468.000,30007,1,TH,1,100,30.366
1658874889.035529,197569.000,30024,1,TH,1,100,30.265
1658874889.141124,197672.000,30042,1,TH,1,100,30.265
1658874889.347189,197873.000,30073,1,TH,1,100,30.267
1658874889.450735,197974.000,30090,1,TH,1,100,30.274
1658874889.555305,198076.000,30107,1,TH,1,100,30.293
1658874889.761370,198277.000,30139,1,TH,1,100,30.293
1658874889.864915,198378.000,30155,1,TH,1,100,30.368
1658874889.969486,198480.000,30172,1,TH,1,100,30.375
1658874890.074056,198582.000,30189,1,TH,1,100,30.333
1658874890.279096,198782.000,30221,1,TH,1,100,30.340
1658874890.382641,198883.000,30239,1,TH,1,100,30.439
1658874890.486187,198984.000,30255,1,TH,1,100,30.439
1658874890.693277,199186.000,30287,1,TH,1,100,30.378
1658874890.796822,199287.000,30304,1,TH,1,100,30.385
1658874890.901392,199389.000,30320,1,TH,1,100,30.367
1658874891.003912,199489.000,30337,1,TH,1,100,30.367
1658874891.211003,199691.000,30370,1,TH,1,100,30.331
1658874891.314548,199792.000,30386,1,TH,1,100,30.338
1658874891.418093,199893.000,30404,1,TH,1,100,30.312
1658874891.628259,200098.000,30435,1,TH,1,100,30.312
1658874891.732830,200200.000,30452,1,TH,1,100,30.348
1658874891.837400,200302.000,30469,1,TH,1,100,30.355
1658874891.938895,200401.000,30485,1,TH,1,100,30.392
1658874892.145985,200603.000,30518,1,TH,1,100,30.400
1658874892.250556,200705.000,30535,1,TH,1,100,30.415
1658874892.361277,200813.000,30552,1,TH,1,100,30.415
1658874892.465847,200915.000,30568,1,TH,1,100,30.341
1658874892.671913,201116.000,30600,1,TH,1,100,30.348
1658874892.775458,201217.000,30617,1,TH,1,100,30.436
1658874892.879003,201318.000,30634,1,TH,1,100,30.436
1658874893.088144,201522.000,30666,1,TH,1,100,30.347
1658874893.189639,201621.000,30683,1,TH,1,100,30.347
1658874893.293184,201722.000,30700,1,TH,1,100,30.405
1658874893.417233,201843.000,30717,1,TH,1,100,30.412
1658874893.623298,202044.000,30748,1,TH,1,100,30.412
1658874893.726843,202145.000,30766,1,TH,1,100,30.419
1658874893.831414,202247.000,30782,1,TH,1,100,30.434
1658874893.957513,202370.000,30804,1,TH,1,100,30.434
1658874894.063109,202473.000,30821,1,TH,1,100,30.472
1658874894.269174,202674.000,30853,1,TH,1,100,30.472
1658874894.372719,202775.000,30871,1,TH,1,100,30.352
1658874894.476264,202876.000,30887,1,TH,1,100,30.359
1658874894.596213,202993.000,30906,1,TH,1,100,30.446
1658874894.801253,203193.000,30940,1,TH,1,100,30.446
1658874894.904798,203294.000,30956,1,TH,1,100,30.494
1658874895.008343,203395.000,30973,1,TH,1,100,30.501
1658874895.215434,203597.000,31006,1,TH,1,100,30.450
1658874895.318979,203698.000,31022,1,TH,1,100,30.450
1658874895.423549,203800.000,31040,1,TH,1,100,30.414
1658874895.528119,203902.000,31056,1,TH,1,100,30.421
1658874895.733159,204102.000,31088,1,TH,1,100,30.411
1658874895.836704,204203.000,31105,1,TH,1,100,30.411
1658874895.940250,204304.000,31121,1,TH,1,100,30.446
1658874896.147340,204506.000,31154,1,TH,1,100,30.453
1658874896.250885,204607.000,31171,1,TH,1,100,30.468
1658874896.355456,204709.000,31188,1,TH,1,100,30.468
1658874896.459001,204810.000,31205,1,TH,1,100,30.521
1658874896.665066,205011.000,31238,1,TH,1,100,30.521
1658874896.768611,205112.000,31255,1,TH,1,100,30.440
1658874896.872156,205213.000,31272,1,TH,1,100,30.447
1658874897.079247,205415.000,31304,1,TH,1,100,30.490
1658874897.182792,205516.000,31321,1,TH,1,100,30.490
1658874897.286337,205617.000,31338,1,TH,1,100,30.500
1658874897.389882,205718.000,31355,1,TH,1,100,30.500
1658874897.596973,205920.000,31386,1,TH,1,100,30.393
1658874897.700518,206021.000,31404,1,TH,1,100,30.400
1658874897.805088,206123.000,31420,1,TH,1,100,30.464
1658874898.011153,206324.000,31452,1,TH,1,100,30.464
1658874898.114699,206425.000,31470,1,TH,1,100,30.504
1658874898.218244,206526.000,31486,1,TH,1,100,30.511
1658874898.321789,206627.000,31503,1,TH,1,100,30.549
1658874898.528879,206829.000,31535,1,TH,1,100,30.549
1658874898.632425,206930.000,31551,1,TH,1,100,30.568
1658874898.740071,207035.000,31569,1,TH,1,100,30.568
1658874898.945111,207235.000,31600,1,TH,1,100,30.543
1658874899.048656,207336.000,31617,1,TH,1,100,30.550
1658874899.156814,207441.500,31640,2,TH,1,100,30.543
1658874899.264973,207547.000,31640,2,TH,1,100,30.543
1658874899.387997,207667.000,31658,1,TH,1,100,30.565
1658874899.595087,207869.000,31689,1,TH,1,100,30.565
1658874899.699658,207971.000,31706,1,TH,1,100,30.502
1658874899.803203,208072.000,31723,1,TH,1,100,30.502
1658874900.011318,208275.000,31755,1,TH,1,100,30.588
1658874900.114864,208376.000,31772,1,TH,1,100,30.595
1658874900.219434,208478.000,31789,1,TH,1,100,30.572
1658874900.321954,208578.000,31805,1,TH,1,100,30.572
1658874900.529044,208780.000,31837,1,TH,1,100,30.561
1658874900.632590,208881.000,31854,1,TH,1,100,30.569
1658874900.737160,208983.000,31871,1,TH,1,100,30.482
1658874900.943225,209184.000,31902,1,TH,1,100,30.482
1658874901.046770,209285.000,31920,1,TH,1,100,30.627
1658874901.151341,209387.000,31937,1,TH,1,100,30.626
1658874901.256936,209490.000,31954,1,TH,1,100,30.535
1658874901.464027,209692.000,31986,1,TH,1,100,30.535
1658874901.568597,209794.000,32002,1,TH,1,100,30.497
1658874901.672142,209895.000,32020,1,TH,1,100,30.504
1658874901.781838,210002.000,32035,1,TH,1,100,30.529
1658874901.985853,210201.000,32067,1,TH,1,100,30.529
1658874902.089398,210302.000,32088,1,TH,1,100,30.509
1658874902.192944,210403.000,32104,1,TH,1,100,30.509
1658874902.402084,210607.000,32136,1,TH,1,100,30.580
1658874902.503579,210706.000,32153,1,TH,1,100,30.587
1658874902.607124,210807.000,32169,1,TH,1,100,30.632
1658874902.714770,210912.000,32186,1,TH,1,100,30.632
1658874902.935188,211127.000,32218,1,TH,1,100,30.596
1658874903.038733,211228.000,32235,1,TH,1,100,30.596
1658874903.142279,211329.000,32253,1,TH,1,100,30.596
1658874903.246849,211431.000,32268,1,TH,1,100,30.596
1658874903.452914,211632.000,32301,1,TH,1,100,30.626
1658874903.558510,211735.000,32318,1,TH,1,100,30.633
1658874903.661030,211835.000,32334,1,TH,1,100,30.590
1658874903.868120,212037.000,32366,1,TH,1,100,30.590
1658874903.971665,212138.000,32383,1,TH,1,100,30.575
1658874904.075211,212239.000,32400,1,TH,1,100,30.575
1658874904.185932,212347.000,32418,1,TH,1,100,30.552
1658874904.336124,212493.500,32455,2,TH,1,100,30.559
1658874904.486316,212640.000,32455,2,TH,1,100,30.595
1658874904.586785,212738.000,32472,1,TH,1,100,30.595
1658874904.803102,212949.000,32504,1,TH,1,100,30.564
1658874904.906648,213050.000,32520,1,TH,1,100,30.564
1658874905.011218,213152.000,32538,1,TH,1,100,30.647
1658874905.114763,213253.000,32555,1,TH,1,100,30.655
1658874905.321854,213455.000,32586,1,TH,1,100,30.670
1658874905.427449,213558.000,32604,1,TH,1,100,30.670
1658874905.529969,213658.000,32620,1,TH,1,100,30.649
1658874905.640691,213766.000,32636,1,TH,1,100,30.649
1658874905.840605,213961.000,32669,1,TH,1,100,30.606
1658874905.945175,214063.000,32685,1,TH,1,100,30.606
1658874906.047695,214163.000,32703,1,TH,1,100,30.636
1658874906.254786,214365.000,32735,1,TH,1,100,30.644
1658874906.358331,214466.000,32752,1,TH,1,100,30.598
1658874906.461876,214567.000,32769,1,TH,1,100,30.598
1658874906.677168,214777.000,32801,1,TH,1,100,30.659
1658874906.779688,214877.000,32817,1,TH,1,100,30.659
1658874906.883233,214978.000,32834,1,TH,1,100,30.701
1658874906.986778,215079.000,32850,1,TH,1,100,30.701
1658874907.194894,215282.000,32883,1,TH,1,100,30.524
1658874907.297414,215382.000,32900,1,TH,1,100,30.531
1658874907.400959,215483.000,32917,1,TH,1,100,30.638
1658874907.506555,215586.000,32933,1,TH,1,100,30.638
1658874907.711595,215786.000,32966,1,TH,1,100,30.665
1658874907.817190,215889.000,32982,1,TH,1,100,30.665
1658874907.920735,215990.000,32999,1,TH,1,100,30.670
1658874908.127825,216192.000,33032,1,TH,1,100,30.677
1658874908.231371,216293.000,33048,1,TH,1,100,30.598
1658874908.334916,216394.000,33066,1,TH,1,100,30.598
1658874908.446663,216503.000,33082,1,TH,1,100,30.690
1658874908.653753,216705.000,33113,1,TH,1,100,30.689
