LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1659046136.870307,97652.000,11421,1,T1,1,100,28.730
1659046137.160150,97935.000,11445,1,T1,1,100,28.706
1659046137.292269,98064.000,11477,1,T1,1,100,28.802
1659046137.424388,98193.000,11494,1,T1,1,100,28.772
1659046137.558555,98324.000,11511,1,T1,1,100,28.795
1659046137.690674,98453.000,11530,1,T1,1,100,28.770
1659046137.824842,98584.000,11547,1,T1,1,100,28.758
1659046137.959009,98715.000,11580,1,T1,1,100,28.718
1659046138.090104,98843.000,11598,1,T1,1,100,28.594
1659046138.224272,98974.000,11614,1,T1,1,100,28.576
1659046138.356391,99103.000,11647,1,T1,1,100,28.675
1659046138.488510,99232.000,11664,1,T1,1,100,28.576
1659046138.621653,99362.000,11680,1,T1,1,100,28.710
1659046138.755821,99493.000,11698,1,T1,1,100,28.697
1659046138.889988,99624.000,11729,1,T1,1,100,28.656
1659046139.023132,99754.000,11745,1,T1,1,100,28.639
1659046139.157299,99885.000,11763,1,T1,1,100,28.702
1659046139.288394,100013.000,11779,1,T1,1,100,28.729
1659046139.423586,100145.000,11811,1,T1,1,100,28.776
1659046139.555705,100274.000,11829,1,T1,1,100,28.691
1659046139.688848,100404.000,11845,1,T1,1,100,28.724
1659046139.821991,100534.000,11863,1,T1,1,100,28.739
1659046139.955135,100664.000,11894,1,T1,1,100,28.745
1659046140.089302,100795.000,11911,1,T1,1,100,28.748
1659046140.221421,100924.000,11928,1,T1,1,100,28.678
1659046140.355589,101055.000,11944,1,T1,1,100,28.754
1659046140.488732,101185.000,11979,1,T1,1,100,28.716
1659046140.621875,101315.000,11996,1,T1,1,100,28.771
1659046140.755018,101445.000,12013,1,T1,1,100,28.688
1659046140.888162,101575.000,12044,1,T1,1,100,28.688
1659046141.020281,101704.000,12061,1,T1,1,100,28.723
1659046141.153424,101834.000,12078,1,T1,1,100,28.738
1659046141.287592,101965.000,12095,1,T1,1,100,28.780
1659046141.418687,102093.000,12112,1,T1,1,100,28.799
1659046141.552854,102224.000,12145,1,T1,1,100,28.665
1659046141.685997,102354.000,12163,1,T1,1,100,28.642
1659046141.818116,102483.000,12182,1,T1,1,100,28.668
1659046141.952284,102614.000,12199,1,T1,1,100,28.785
1659046142.084403,102743.000,12233,1,T1,1,100,28.765
1659046142.218571,102874.000,12249,1,T1,1,100,28.721
1659046142.350690,103003.000,12271,1,T1,1,100,28.738
1659046142.484857,103134.000,12288,1,T1,1,100,28.780
1659046142.616976,103263.000,12306,1,T1,1,100,28.763
1659046142.751144,103394.000,12338,1,T1,1,100,28.827
1659046142.883263,103523.000,12354,1,T1,1,100,28.783
1659046143.015382,103652.000,12371,1,T1,1,100,28.764
1659046143.148525,103782.000,12403,1,T1,1,100,28.827
1659046143.280644,103911.000,12419,1,T1,1,100,28.783
1659046143.415836,104043.000,12437,1,T1,1,100,28.871
1659046143.546931,104171.000,12454,1,T1,1,100,28.873
1659046143.681098,104302.000,12471,1,T1,1,100,28.874
1659046143.815266,104433.000,12503,1,T1,1,100,28.768
1659046143.946361,104561.000,12519,1,T1,1,100,28.722
1659046144.079504,104691.000,12537,1,T1,1,100,28.738
1659046144.211623,104820.000,12569,1,T1,1,100,28.674
1659046144.344767,104950.000,12584,1,T1,1,100,28.682
1659046144.478934,105081.000,12603,1,T1,1,100,28.791
1659046144.613101,105212.000,12619,1,T1,1,100,28.732
1659046144.745221,105341.000,12653,1,T1,1,100,28.778
1659046144.878364,105471.000,12670,1,T1,1,100,28.833
1659046145.012532,105602.000,12686,1,T1,1,100,28.857
1659046145.143626,105730.000,12704,1,T1,1,100,28.867
1659046145.278818,105862.000,12735,1,T1,1,100,28.801
1659046145.410937,105991.000,12752,1,T1,1,100,28.736
1659046145.546129,106123.000,12770,1,T1,1,100,28.815
1659046145.678248,106252.000,12805,1,T1,1,100,28.778
1659046145.812415,106383.000,12820,1,T1,1,100,28.798
1659046145.945559,106513.000,12837,1,T1,1,100,28.735
1659046146.077678,106642.000,12853,1,T1,1,100,28.850
1659046146.210821,106772.000,12885,1,T1,1,100,28.758
1659046146.343964,106902.000,12904,1,T1,1,100,28.647
1659046146.478132,107033.000,12923,1,T1,1,100,28.705
1659046146.611275,107163.000,12956,1,T1,1,100,28.695
1659046146.745443,107294.000,12973,1,T1,1,100,28.833
1659046146.876538,107422.000,12989,1,T1,1,100,28.892
1659046147.008657,107551.000,13006,1,T1,1,100,28.918
1659046147.143848,107683.000,13038,1,T1,1,100,28.964
1659046147.274943,107811.000,13054,1,T1,1,100,28.843
1659046147.409111,107942.000,13072,1,T1,1,100,28.826
1659046147.542254,108072.000,13112,2,T1,1,100,28.783
1659046147.675397,108202.000,13112,2,T1,1,100,28.693
1659046147.808541,108332.000,13129,1,T1,1,100,28.725
1659046147.941684,108462.000,13161,2,T1,1,100,28.739
1659046148.074827,108592.000,13161,2,T1,1,100,28.745
1659046148.205922,108720.000,13192,1,T1,1,100,28.748
1659046148.341114,108852.000,13209,1,T1,1,100,28.785
1659046148.473233,108981.000,13226,1,T1,1,100,28.800
1659046148.607400,109112.000,13244,1,T1,1,100,28.878
1659046148.739520,109241.000,13276,1,T1,1,100,28.805
1659046148.872663,109371.000,13292,1,T1,1,100,28.845
1659046149.005806,109501.000,13309,1,T1,1,100,28.791
1659046149.138949,109631.000,13341,1,T1,1,100,28.768
1659046149.272093,109761.000,13357,1,T1,1,100,28.864
1659046149.404212,109890.000,13375,1,T1,1,100,28.835
1659046149.538379,110021.000,13392,1,T1,1,100,28.822
1659046149.670498,110150.000,13424,1,T1,1,100,28.781
1659046149.803642,110280.000,13441,1,T1,1,100,28.728
1659046149.936785,110410.000,13457,1,T1,1,100,28.705
1659046150.069928,110540.000,13475,1,T1,1,100,28.872
1659046150.203072,110670.000,13506,1,T1,1,100,28.909
1659046150.336727,110800.500,13524,2,T1,1,100,28.925
1659046150.470382,110931.000,13524,2,T1,1,100,28.861
1659046150.602501,111060.000,13556,1,T1,1,100,28.834
1659046150.735645,111190.000,13573,1,T1,1,100,28.786
1659046150.868788,111320.000,13590,1,T1,1,100,28.766
