txtStim,stimFile,AI_Resp,ExplanationFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,trial_start,Choice_1_Intro_Txt.started,Choice_1_Intro_Txt.stopped,Accept_Deny_Button_6.response,Accept_Deny_Button_6.rt,Accept_Deny_Button_6.started,Accept_Deny_Button_6.stopped,ConfidenceSlider_6.response,ConfidenceSlider_6.rt,ConfidenceSlider_6.started,ConfidenceSlider_6.stopped,Experimental_Images_6.started,Experimental_Images_6.stopped,DenySlider_6.response,DenySlider_6.rt,DenySlider_6.started,DenySlider_6.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time,mouse_9.clicked_name,mouse_9.started,mouse_9.stopped,Click_to_Continue_9.started,Click_to_Continue_9.stopped,trial_end,Q1_Slider.response,Q2_Slider.response,Q3_Slider.response,Q4_Slider.response,Q5_Slider.response,Q6_Slider.response,Q7_Slider.response,Q8_Slider.response,Q9_Slider.response,Q10_Slider.response,Q11_Slider.response,Q12_Slider.response,Q13_Slider.response,Q14_Slider.response,Q15_Slider.response,Q16_Slider.response,Q17_Slider.response,Q18_Slider.response,Q19_Slider.response,Q20_Slider.response,Q21_Slider.response,Q22_Slider.response,Q23_Slider.response,Text_Intro_Txt.started,Text_Intro_Txt.stopped,Question_Txt_5.started,Question_Txt_5.stopped,Accept_Deny_Button_5.response,Accept_Deny_Button_5.rt,Accept_Deny_Button_5.started,Accept_Deny_Button_5.stopped,ConfidenceSlider_5.response,ConfidenceSlider_5.rt,ConfidenceSlider_5.started,ConfidenceSlider_5.stopped,DenySlider_5.response,DenySlider_5.rt,DenySlider_5.started,DenySlider_5.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,Click_to_Continue_8.started,Click_to_Continue_8.stopped,Conversational_Intro_Txt.started,Conversational_Intro_Txt.stopped,Accept_Deny_Button.response,Accept_Deny_Button.rt,Accept_Deny_Button.started,Accept_Deny_Button.stopped,ConfidenceSlider.response,ConfidenceSlider.rt,ConfidenceSlider.started,ConfidenceSlider.stopped,Experimental_Images.started,Experimental_Images.stopped,DenySlider.response,DenySlider.rt,DenySlider.started,DenySlider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Click_to_Continue.started,Click_to_Continue.stopped,Feature_Intro_Txt.started,Feature_Intro_Txt.stopped,Question_Txt_3.started,Question_Txt_3.stopped,Accept_Deny_Button_3.response,Accept_Deny_Button_3.rt,Accept_Deny_Button_3.started,Accept_Deny_Button_3.stopped,ConfidenceSlider_3.response,ConfidenceSlider_3.rt,ConfidenceSlider_3.started,ConfidenceSlider_3.stopped,Experimental_Images_3.started,Experimental_Images_3.stopped,DenySlider_3.response,DenySlider_3.rt,DenySlider_3.started,DenySlider_3.stopped,Click_to_Continue_6.started,Click_to_Continue_6.stopped,PresstoCont_8.started,PresstoCont_8.stopped,Image_Intro_Txt.started,Image_Intro_Txt.stopped,Question_Txt_4.started,Question_Txt_4.stopped,Accept_Deny_Button_4.response,Accept_Deny_Button_4.rt,Accept_Deny_Button_4.started,Accept_Deny_Button_4.stopped,ConfidenceSlider_4.response,ConfidenceSlider_4.rt,ConfidenceSlider_4.started,ConfidenceSlider_4.stopped,Experimental_Images_4.started,Experimental_Images_4.stopped,DenySlider_4.response,DenySlider_4.rt,DenySlider_4.started,DenySlider_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,Click_to_Continue_7.started,Click_to_Continue_7.stopped,PresstoCont_7.started,PresstoCont_7.stopped,end_Txt.started,end_Txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.65704830002505,None,1.0,8.751671100006206,349.65704830002505,None,"[-0.3037037, 0.537963]","[-0.016666668, -0.43888888]","[1, 1]","[0, 0]","[0, 0]","[8.610927000001539, 10.027888899989193]",['Click_to_Continue_5'],0.010693770018406212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 1:,stim/Au_art_30303.jpg,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/feature_based_Au_art_30303.jpg.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"Thursday, July 28, 2022 06:17:47",365.3773738000018,375.4399618000025,2.0,19.04776230000425,375.4135952000215,None,5.0,21.356613899988588,375.4135952000215,None,375.4135952000215,None,1.0,23.204456400009803,375.4135952000215,None,"[-0.3212963, -0.25555557, 0.3074074, 0.5277778]","[-0.11296296, -0.28796297, -0.19722222, -0.44444445]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[8.840472000010777, 11.19135420001112, 13.022885500016855, 14.665664600004675]",['Click_to_Continue_9'],10.053875410027103,None,388.61504720000084,None,"Thursday, July 28, 2022 06:18:11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 2:,stim/Tp_D_CRN_M_N_arc00073_arc00072_10267.tif,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_M_N_arc00073_arc00072_10267.tif.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:18:11",390.1195869000221,400.15376440002,1.0,19.488669200014556,400.1267138000112,None,4.0,27.266791900008684,400.1267138000112,None,400.1267138000112,None,1.0,28.92912410001736,400.1267138000112,None,"[-0.56574076, -0.34074074, 0.32592592, 0.55925924]","[-0.08796296, -0.30092594, -0.20648149, -0.45185184]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[9.307426000013947, 17.06093979999423, 18.75872189999791, 19.825157599989325]",['Click_to_Continue_9'],10.024693510000361,None,419.088413200021,None,"Thursday, July 28, 2022 06:18:41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 3:,stim/Tp_D_CRN_M_N_pla00026_pla00038_10147.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_M_N_pla00026_pla00038_10147.tif.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:18:41",419.994785900024,430.0388614000112,1.0,17.754080700018676,430.01441150001483,None,5.0,19.855122299981304,430.01441150001483,None,430.01441150001483,None,3.0,24.120419300015783,430.01441150001483,None,"[-0.56666666, -0.24444444, 0.49444443, 0.59814817]","[-0.11296296, -0.29907408, -0.2037037, -0.44351852]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7.60234899999341, 9.653854800009867, 14.004752300010296, 15.476529000006849]",['Click_to_Continue_9'],10.034057409997331,None,444.1506464999984,None,"Thursday, July 28, 2022 06:19:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 4:,stim/Au_ind_30028.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ind_30028.jpg.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:19:07",445.5437493000063,455.5807136000076,1.0,24.81635899998946,455.5807136000076,None,4.0,28.449192500003846,455.5807136000076,None,455.5807136000076,None,3.0,53.679661900008796,455.5807136000076,None,"[-0.5574074, -0.34444445, 0.50185186, 0.5833333, 0.58055556]","[-0.09259259, -0.2888889, -0.19074073, -0.42314816, -0.4351852]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[14.61663750000298, 18.289355199987767, 43.55361669999547, 45.03616739998688, 46.159397799987346]",['Click_to_Continue_9'],10.04164961000788,None,499.2572177000111,None,"Thursday, July 28, 2022 06:20:03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 5:,stim/Tp_D_CRN_M_N_txt00017_txt00063_10836.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_M_N_txt00017_txt00063_10836.jpg.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:20:03",501.78881920001004,511.8277716000157,1.0,37.807359900005395,511.80296140001155,None,4.0,42.48136259999592,511.80296140001155,None,511.80296140001155,None,3.0,46.03945229999954,511.80296140001155,None,"[-0.5648148, -0.34444445, 0.40925926, 0.475, 0.57314813]","[-0.11018518, -0.29814816, -0.17314816, -0.19444445, -0.45925927]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[27.619106199999806, 32.31359849998262, 35.01727789998404, 35.89160949998768, 37.50800089997938]",['Click_to_Continue_9'],10.023103109997464,None,547.0030469000048,None,"Thursday, July 28, 2022 06:20:51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 6:,stim/Tp_D_CRN_S_N_ani10205_ani10206_12417.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_S_N_ani10205_ani10206_12417.jpg.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:20:51",549.3776644000027,559.4240488000214,1.0,30.04961029998958,559.4240488000214,None,4.0,32.93632219999563,559.4240488000214,None,559.4240488000214,None,2.0,35.76270039999508,559.4240488000214,None,"[-0.5740741, -0.3398148, 0.425, 0.4148148, 0.5425926]","[-0.11388889, -0.30277777, -0.16851851, -0.18888889, -0.4324074]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[19.851294400024926, 22.672710600018036, 25.272918400005437, 25.606047800014494, 26.563228800019715]",['Click_to_Continue_9'],10.052528079977492,None,584.8694173000113,None,"Thursday, July 28, 2022 06:21:27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 7:,stim/Au_txt_00038.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Au_txt_00038.jpg.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:21:27",586.0379243000061,596.0673727000249,2.0,32.461776700016344,596.0673727000249,None,5.0,46.805446899990784,596.0673727000249,None,596.0673727000249,None,1.0,57.45606609998504,596.0673727000249,None,"[-0.31944445, -0.23518519, 0.31666666, 0.5407407, 0.5388889]","[-0.094444446, -0.29166666, -0.2074074, -0.47777778, -0.4462963]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[22.230817300005583, 36.59727220001514, 47.28587359999074, 49.07928860001266, 49.69431340001756]",['Click_to_Continue_9'],10.033893810003065,None,643.5335726000194,None,"Thursday, July 28, 2022 06:22:27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
Question 8:,stim/Tp_D_CRN_S_N_cha10149_cha10148_12225.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CRN_S_N_cha10149_cha10148_12225.jpg.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thursday, July 28, 2022 06:22:27",645.8132173000195,655.8620336000167,1.0,22.07933849998517,655.836450200004,None,5.0,24.243456600001082,655.836450200004,None,655.836450200004,None,1.0,34.442258299997775,655.836450200004,None,"[-0.5546296, -0.2212963, -0.24722221, 0.3175926, 0.5212963, 0.5212963, 0.5212963, 0.5824074]","[-0.09537037, -0.3037037, -0.3074074, -0.19537038, -0.42407408, -0.42407408, -0.42407408, -0.46203703]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[11.740364400000544, 13.343172099994263, 14.009056799986865, 24.294276700005867, 25.664764899993315, 27.004218799993396, 27.782418399991002, 29.989414299983764]",['Click_to_Continue_9'],10.028435009997338,None,680.2884362000041,None,"Thursday, July 28, 2022 06:23:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2022-07-28_18h16.10.408,CSVTrial4,2022.1.3,None,
