LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1659621767.437483,74984,3242,1,BI,1,100,20600
1659621769.045232,76552,3498,1,BI,1,100,1600
1659621771.939796,79375,3962,1,BI,1,100,2880
1659621793.848458,100742,7443,1,BI,1,100,21760
1659621795.770990,102617,7751,1,BI,1,100,1920
1659621796.619980,103445,7889,1,BI,1,100,840
1659621798.357949,105140,8172,1,BI,1,100,1720
1659621799.396629,106153,8341,1,BI,1,100,1040
1659621800.237417,106973,8477,1,BI,1,100,840
1659621801.220727,107932,8633,1,BI,1,100,960
1659621802.575215,109253,8852,1,BI,1,100,1360
1659621804.870975,111492,9227,1,BI,1,100,2280
1659621806.683794,113260,9519,1,BI,1,100,1800
1659621809.947485,116443,10057,1,BI,1,100,3240
1659621815.070135,121439,10876,1,BI,1,100,5080
1659621818.199505,124491,11363,1,BI,1,100,3120
1659621819.096686,125366,11484,1,BI,1,100,880
1659621819.970285,126218,11636,1,BI,1,100,880
1659621820.860289,127086,11770,1,BI,1,100,880
1659621822.707971,128888,12056,1,BI,1,100,1840
1659621829.688556,135696,13165,1,BI,1,100,6920
1659621830.733388,136715,13339,1,BI,1,100,1040
1659621833.337778,139255,13766,1,BI,1,100,2600
1659621834.188819,140085,13902,1,BI,1,100,840
1659621835.034733,140910,14004,1,BI,1,100,840
1659621837.730379,143539,14411,1,BI,1,100,2680
1659621842.206034,147904,15124,1,BI,1,100,4440
1659621843.138077,148813,15264,1,BI,1,100,920
1659621848.763149,154299,16191,1,BI,1,100,5600
1659621850.011001,155516,16397,1,BI,1,100,1240
1659621851.057884,156537,16565,1,BI,1,100,1040
1659621852.148857,157601,16734,1,BI,1,100,1080
1659621852.914793,158348,16860,1,BI,1,100,760
1659621853.804797,159216,16999,1,BI,1,100,880
1659621855.499702,160869,17270,1,BI,1,100,1680
1659621856.508646,161853,17441,1,BI,1,100,1000
1659621859.976382,165235,18001,1,BI,1,100,3440
1659621862.015804,167224,18335,1,BI,1,100,2040
1659621863.385672,168560,18552,1,BI,1,100,1360
1659621864.193648,169348,18691,1,BI,1,100,800
1659621865.084677,170217,18824,1,BI,1,100,880
1659621866.048506,171157,18992,1,BI,1,100,960
1659621866.929283,172016,19125,1,BI,1,100,880
1659621867.854149,172918,19276,1,BI,1,100,920
1659621868.858992,173898,19448,1,BI,1,100,1000
1659621870.765118,175757,19747,1,BI,1,100,1880
1659621871.688959,176658,19900,1,BI,1,100,920
1659621873.492551,178417,20192,1,BI,1,100,1800
