LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1659621753.211771,61110.000,993,3,EA,1,100,0.030428
1659621753.211771,61110.000,993,3,EA,1,100,0.030428
1659621753.211771,61110.000,993,3,EA,1,100,0.030428
1659621753.277906,61174.500,1010,2,EA,1,100,0.030428
1659621753.344041,61239.000,1010,2,EA,1,100,0.030428
1659621753.410177,61303.500,1025,2,EA,1,100,0.030428
1659621753.476311,61368.000,1025,2,EA,1,100,0.030428
1659621753.541934,61432.000,1043,1,EA,1,100,0.030428
1659621753.607556,61496.000,1059,2,EA,1,100,0.030428
1659621753.673179,61560.000,1059,2,EA,1,100,0.030428
1659621753.741877,61627.000,1076,1,EA,1,100,0.030428
1659621753.808525,61692.000,1092,2,EA,1,100,0.030428
1659621753.875173,61757.000,1092,2,EA,1,100,0.030428
1659621753.941821,61822.000,1109,1,EA,1,100,0.030428
1659621754.008468,61887.000,1125,2,EA,1,100,0.030428
1659621754.075116,61952.000,1125,2,EA,1,100,0.030428
1659621754.141764,62017.000,1142,1,EA,1,100,0.030428
1659621754.207899,62081.500,1159,2,EA,1,100,0.030428
1659621754.274034,62146.000,1159,2,EA,1,100,0.030428
1659621754.341707,62212.000,1174,1,EA,1,100,0.030428
1659621754.408355,62277.000,1190,2,EA,1,100,0.030428
1659621754.475003,62342.000,1190,2,EA,1,100,0.030428
1659621754.541138,62406.500,1208,2,EA,1,100,0.030428
1659621754.607273,62471.000,1208,2,EA,1,100,0.030428
1659621754.674946,62537.000,1224,1,EA,1,100,0.030428
1659621754.741594,62602.000,1240,2,EA,1,100,0.030428
1659621754.808242,62667.000,1240,2,EA,1,100,0.030428
1659621754.871814,62729.000,1256,1,EA,1,100,0.030428
1659621754.939487,62795.000,1274,2,EA,1,100,0.030428
1659621755.007160,62861.000,1274,2,EA,1,100,0.030428
1659621755.072782,62925.000,1290,1,EA,1,100,0.030428
1659621755.138917,62989.500,1308,2,EA,1,100,0.030428
1659621755.205052,63054.000,1308,2,EA,1,100,0.030428
1659621755.272725,63120.000,1322,2,EA,1,100,0.030428
1659621755.340399,63186.000,1322,2,EA,1,100,0.030428
1659621755.407046,63251.000,1339,1,EA,1,100,0.030428
1659621755.472669,63315.000,1356,2,EA,1,100,0.030428
1659621755.538291,63379.000,1356,2,EA,1,100,0.030428
1659621755.606990,63446.000,1373,1,EA,1,100,0.030428
1659621755.673637,63511.000,1388,2,EA,1,100,0.030428
1659621755.740285,63576.000,1388,2,EA,1,100,0.030428
1659621755.803857,63638.000,1404,1,EA,1,100,0.030428
1659621755.870505,63703.000,1422,2,EA,1,100,0.030428
1659621755.937152,63768.000,1422,2,EA,1,100,0.030428
1659621756.004313,63833.500,1439,2,EA,1,100,0.030428
1659621756.071473,63899.000,1439,2,EA,1,100,0.030428
1659621756.137096,63963.000,1455,1,EA,1,100,0.030428
1659621756.204256,64028.500,1471,2,EA,1,100,0.030428
1659621756.271417,64094.000,1471,2,EA,1,100,0.030428
1659621756.338064,64159.000,1487,1,EA,1,100,0.030428
1659621756.404712,64224.000,1504,2,EA,1,100,0.030428
1659621756.471360,64289.000,1504,2,EA,1,100,0.030428
1659621756.539033,64355.000,1521,1,EA,1,100,0.030428
1659621756.605681,64420.000,1538,2,EA,1,100,0.030428
1659621756.672329,64485.000,1538,2,EA,1,100,0.030428
1659621756.735900,64547.000,1552,1,EA,1,100,0.030428
1659621756.802548,64612.000,1570,2,EA,1,100,0.030428
1659621756.869196,64677.000,1570,2,EA,1,100,0.030428
1659621756.934819,64741.000,1587,2,EA,1,100,0.030428
1659621757.000441,64805.000,1587,2,EA,1,100,0.030428
1659621757.068114,64871.000,1604,1,EA,1,100,0.030428
1659621757.134762,64936.000,1619,2,EA,1,100,0.030428
1659621757.201410,65001.000,1619,2,EA,1,100,0.030428
1659621757.269083,65067.000,1636,1,EA,1,100,0.030428
1659621757.335218,65131.500,1652,2,EA,1,100,0.030428
1659621757.401353,65196.000,1652,2,EA,1,100,0.030428
1659621757.469026,65262.000,1669,1,EA,1,100,0.030428
1659621757.535161,65326.500,1686,2,EA,1,100,0.030428
1659621757.601296,65391.000,1686,2,EA,1,100,0.030428
1659621757.668969,65457.000,1701,2,EA,1,100,0.030428
1659621757.736642,65523.000,1701,2,EA,1,100,0.030428
1659621757.801239,65586.000,1717,1,EA,1,100,0.030428
1659621757.866862,65650.000,1735,2,EA,1,100,0.030428
1659621757.932484,65714.000,1735,2,EA,1,100,0.030428
1659621758.000158,65780.000,1752,1,EA,1,100,0.030428
1659621758.066805,65845.000,1769,2,EA,1,100,0.030428
1659621758.133453,65910.000,1769,2,EA,1,100,0.030428
1659621758.198050,65973.000,1784,1,EA,1,100,0.030428
1659621758.265211,66038.500,1801,2,EA,1,100,0.030428
1659621758.332371,66104.000,1801,2,EA,1,100,0.030428
1659621758.399019,66169.000,1823,2,EA,1,100,0.030428
1659621758.465667,66234.000,1823,2,EA,1,100,0.030428
1659621758.532314,66299.000,1841,1,EA,1,100,0.030428
1659621758.599475,66364.500,1856,2,EA,1,100,0.030428
1659621758.666635,66430.000,1856,2,EA,1,100,0.030428
1659621758.734308,66496.000,1872,1,EA,1,100,0.030428
1659621758.799931,66560.000,1889,2,EA,1,100,0.030428
1659621758.865553,66624.000,1889,2,EA,1,100,0.030428
1659621758.933226,66690.000,1907,1,EA,1,100,0.030428
1659621758.999874,66755.000,1923,2,EA,1,100,0.030428
1659621759.066522,66820.000,1923,2,EA,1,100,0.030428
1659621759.132144,66884.000,1939,2,EA,1,100,0.030429
1659621759.197767,66948.000,1939,2,EA,1,100,0.030428
1659621759.262364,67011.000,1955,1,EA,1,100,0.030428
1659621759.330550,67077.500,1972,2,EA,1,100,0.030428
1659621759.398736,67144.000,1972,2,EA,1,100,0.030428
1659621759.464358,67208.000,1988,1,EA,1,100,0.030428
1659621759.531518,67273.500,2005,2,EA,1,100,0.030428
1659621759.598679,67339.000,2005,2,EA,1,100,0.030428
1659621759.666352,67405.000,2020,1,EA,1,100,0.030428
1659621759.732487,67469.500,2037,2,EA,1,100,0.030428
1659621759.798622,67534.000,2037,2,EA,1,100,0.030428
1659621759.865270,67599.000,2054,1,EA,1,100,0.030428
1659621759.932430,67664.500,2072,2,EA,1,100,0.030428
1659621759.999591,67730.000,2072,2,EA,1,100,0.030428
1659621760.065213,67794.000,2086,2,EA,1,100,0.030428
1659621760.130836,67858.000,2086,2,EA,1,100,0.030428
1659621760.196458,67922.000,2104,1,EA,1,100,0.030429
1659621760.263106,67987.000,2120,2,EA,1,100,0.030429
1659621760.329754,68052.000,2120,2,EA,1,100,0.030429
1659621760.396401,68117.000,2137,1,EA,1,100,0.030429
1659621760.463049,68182.000,2153,2,EA,1,100,0.030429
1659621760.529697,68247.000,2153,2,EA,1,100,0.030428
1659621760.597370,68313.000,2169,1,EA,1,100,0.030428
1659621760.663505,68377.500,2185,2,EA,1,100,0.030428
1659621760.729640,68442.000,2185,2,EA,1,100,0.030428
1659621760.796288,68507.000,2203,2,EA,1,100,0.030428
1659621760.862936,68572.000,2203,2,EA,1,100,0.030428
1659621760.929584,68637.000,2220,1,EA,1,100,0.030428
1659621760.996231,68702.000,2236,2,EA,1,100,0.030428
1659621761.062879,68767.000,2236,2,EA,1,100,0.030428
1659621761.128502,68831.000,2251,1,EA,1,100,0.030428
1659621761.194637,68895.500,2269,2,EA,1,100,0.030428
1659621761.260772,68960.000,2269,2,EA,1,100,0.030429
1659621761.328445,69026.000,2285,1,EA,1,100,0.030429
1659621761.395093,69091.000,2302,2,EA,1,100,0.030429
1659621761.461740,69156.000,2302,2,EA,1,100,0.030429
1659621761.527876,69220.500,2317,2,EA,1,100,0.030429
1659621761.594011,69285.000,2317,2,EA,1,100,0.030429
1659621761.660658,69350.000,2334,1,EA,1,100,0.030429
1659621761.727306,69415.000,2350,2,EA,1,100,0.030429
1659621761.793954,69480.000,2350,2,EA,1,100,0.030429
1659621761.860602,69545.000,2368,1,EA,1,100,0.030429
1659621761.926737,69609.500,2384,2,EA,1,100,0.030429
1659621761.992872,69674.000,2384,2,EA,1,100,0.030428
1659621762.060545,69740.000,2400,1,EA,1,100,0.030428
1659621762.126680,69804.500,2417,2,EA,1,100,0.030428
1659621762.192815,69869.000,2417,2,EA,1,100,0.030429
1659621762.260489,69935.000,2434,1,EA,1,100,0.030428
1659621762.327649,70000.500,2450,2,EA,1,100,0.030428
1659621762.394809,70066.000,2450,2,EA,1,100,0.030428
1659621762.460432,70130.000,2466,2,EA,1,100,0.030428
1659621762.526054,70194.000,2466,2,EA,1,100,0.030428
1659621762.589626,70256.000,2482,1,EA,1,100,0.030428
1659621762.657812,70322.500,2499,2,EA,1,100,0.030428
1659621762.725997,70389.000,2499,2,EA,1,100,0.030428
1659621762.791620,70453.000,2515,1,EA,1,100,0.030428
1659621762.858268,70518.000,2532,2,EA,1,100,0.030428
1659621762.924916,70583.000,2532,2,EA,1,100,0.030428
1659621762.992589,70649.000,2548,1,EA,1,100,0.030428
1659621763.059236,70714.000,2565,2,EA,1,100,0.030428
1659621763.125884,70779.000,2565,2,EA,1,100,0.030428
1659621763.191507,70843.000,2582,1,EA,1,100,0.030428
1659621763.259180,70909.000,2599,2,EA,1,100,0.030428
1659621763.326853,70975.000,2599,2,EA,1,100,0.030428
1659621763.392475,71039.000,2614,2,EA,1,100,0.030428
1659621763.458098,71103.000,2614,2,EA,1,100,0.030428
1659621763.522695,71166.000,2631,1,EA,1,100,0.030428
1659621763.589343,71231.000,2652,2,EA,1,100,0.030428
1659621763.655990,71296.000,2652,2,EA,1,100,0.030428
1659621763.721100,71359.500,2669,2,EA,1,100,0.030428
1659621763.786210,71423.000,2669,2,EA,1,100,0.030428
1659621763.853883,71489.000,2686,1,EA,1,100,0.030428
1659621763.921043,71554.500,2704,2,EA,1,100,0.030428
1659621763.988204,71620.000,2704,2,EA,1,100,0.030428
1659621764.054852,71685.000,2718,1,EA,1,100,0.030428
1659621764.121499,71750.000,2736,2,EA,1,100,0.030428
1659621764.188147,71815.000,2736,2,EA,1,100,0.030428
1659621764.255820,71881.000,2752,1,EA,1,100,0.030428
1659621764.322981,71946.500,2769,2,EA,1,100,0.030428
1659621764.390141,72012.000,2769,2,EA,1,100,0.030428
1659621764.456789,72077.000,2784,2,EA,1,100,0.030428
1659621764.523437,72142.000,2784,2,EA,1,100,0.030428
1659621764.588034,72205.000,2801,1,EA,1,100,0.030428
1659621764.653656,72269.000,2817,2,EA,1,100,0.030429
1659621764.719279,72333.000,2817,2,EA,1,100,0.030429
1659621764.787977,72400.000,2834,1,EA,1,100,0.030428
1659621764.854112,72464.500,2852,2,EA,1,100,0.030428
1659621764.920247,72529.000,2852,2,EA,1,100,0.030429
1659621764.986895,72594.000,2867,1,EA,1,100,0.030428
1659621765.053543,72659.000,2883,2,EA,1,100,0.030428
1659621765.120191,72724.000,2883,2,EA,1,100,0.030428
1659621765.187351,72789.500,2901,2,EA,1,100,0.030428
1659621765.254512,72855.000,2901,2,EA,1,100,0.030428
1659621765.320134,72919.000,2917,1,EA,1,100,0.030428
1659621765.387807,72985.000,2933,2,EA,1,100,0.030428
1659621765.455480,73051.000,2933,2,EA,1,100,0.030428
1659621765.521103,73115.000,2949,1,EA,1,100,0.030428
1659621765.587238,73179.500,2966,2,EA,1,100,0.030428
1659621765.653373,73244.000,2966,2,EA,1,100,0.030428
