left eye 1,left eye 2,right eye 1,right eye 2,current time
nan, nan,nan, nan,08:52.8
nan, nan,nan, nan,08:52.9
nan, nan,nan, nan,08:52.9
nan, nan,nan, nan,08:52.9
nan, nan,nan, nan,08:53.0
0.510353506,0.558674753,0.509672999,0.559547067,08:53.0
0.498522729,0.553641558,0.497617662,0.562814295,08:53.1
0.492938638,0.532270491,0.489737958,0.53500855,08:53.1
0.494071484,0.509847939,0.492979854,0.51157099,08:53.2
0.485912681,0.498422414,0.491604537,0.505337,08:53.2
0.483483911,0.496719152,0.492176235,0.498424679,08:53.3
0.483891219,0.491573274,0.489129335,0.486097008,08:53.3
0.475851566,0.519872308,0.481634349,0.510385633,08:53.4
0.461749136,0.558814704,0.443113893,0.623799086,08:53.4
0.377429336,0.729390025,0.405396879,0.705076039,08:53.5
0.37411654,0.720404029,0.392204881,0.727684677,08:53.5
0.375116676,0.716977298,0.391987592,0.726330936,08:53.5
0.382325739,0.723792672,0.391879857,0.722079635,08:53.6
0.380027682,0.723013759,0.39629066,0.712003589,08:53.6
0.372545183,0.726586163,0.394877583,0.724077284,08:53.7
0.373222172,0.725930452,0.381773978,0.739599884,08:53.7
0.377315104,0.724515438,0.382771462,0.744512916,08:53.7
0.377974957,0.72668606,0.386615247,0.736122966,08:53.8
0.38037771,0.732771277,0.382390916,0.734793961,08:53.9
0.377554715,0.731831849,0.385291189,0.731241703,08:53.9
0.378102273,0.732163191,0.387109548,0.725139141,08:54.0
0.379312217,0.736205757,0.388190746,0.725498438,08:54.0
0.380226403,0.735551834,0.391463727,0.724969387,08:54.1
0.380248785,0.725830913,0.397366136,0.7262851,08:54.2
0.375428706,0.712878227,0.39378202,0.731068552,08:54.2
0.376913399,0.712866724,0.394099921,0.731254935,08:54.2
0.37391445,0.715117157,0.396109462,0.724860549,08:54.3
0.374281347,0.719785929,0.3883771,0.728094935,08:54.3
0.376092583,0.719614804,0.384226829,0.729494512,08:54.4
0.373193264,0.720986903,0.387966126,0.729309618,08:54.4
0.372343212,0.728171945,0.389417619,0.71934998,08:54.5
0.372718871,0.724312007,0.391800046,0.713595092,08:54.5
0.375764012,0.719747305,0.39383328,0.712207735,08:54.6
0.378733128,0.720686913,0.392530948,0.714367867,08:54.6
0.377747089,0.724046111,0.393999547,0.711518705,08:54.7
0.376303881,0.723515987,0.394158989,0.710120559,08:54.7
0.376717001,0.728003323,0.391602188,0.714326441,08:54.8
0.377908468,0.726225138,0.389043391,0.71581465,08:54.8
0.382390827,0.712871432,0.392028779,0.715954542,08:54.9
