LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1660659826.991050,235799.000,22496,8,MX,1,100,-12
1660659826.991050,235799.000,22496,8,MX,1,100,-12
1660659826.991050,235799.000,22496,8,MX,1,100,-12
1660659826.991050,235799.000,22496,8,MX,1,100,-13
1660659826.991050,235799.000,22496,8,MX,1,100,-13
1660659826.991050,235799.000,22496,8,MX,1,100,-12
1660659826.991050,235799.000,22496,8,MX,1,100,-11
1660659826.991050,235799.000,22496,8,MX,1,100,-13
1660659827.028625,235835.667,22511,3,MX,1,100,-12
1660659827.066199,235872.333,22511,3,MX,1,100,-12
1660659827.103774,235909.000,22511,3,MX,1,100,-12
1660659827.145790,235950.000,22528,2,MX,1,100,-11
1660659827.187805,235991.000,22528,2,MX,1,100,-11
1660659827.227088,236029.333,22544,3,MX,1,100,-11
1660659827.266371,236067.667,22544,3,MX,1,100,-12
1660659827.305654,236106.000,22544,3,MX,1,100,-12
1660659827.343912,236143.333,22562,3,MX,1,100,-12
1660659827.382170,236180.667,22562,3,MX,1,100,-12
1660659827.420428,236218.000,22562,3,MX,1,100,-12
1660659827.462956,236259.500,22577,2,MX,1,100,-12
1660659827.505484,236301.000,22577,2,MX,1,100,-13
1660659827.544084,236338.667,22593,3,MX,1,100,-13
1660659827.582684,236376.333,22593,3,MX,1,100,-13
1660659827.621284,236414.000,22593,3,MX,1,100,-12
1660659827.661762,236453.500,22610,2,MX,1,100,-12
1660659827.702240,236493.000,22610,2,MX,1,100,-12
1660659827.740840,236530.667,22633,3,MX,1,100,-12
1660659827.779440,236568.333,22633,3,MX,1,100,-13
1660659827.818039,236606.000,22633,3,MX,1,100,-13
1660659827.862446,236649.333,22649,3,MX,1,100,-13
1660659827.906853,236692.667,22649,3,MX,1,100,-14
1660659827.951260,236736.000,22649,3,MX,1,100,-13
1660659827.989859,236773.667,22667,3,MX,1,100,-12
1660659828.028459,236811.333,22667,3,MX,1,100,-13
1660659828.067059,236849.000,22667,3,MX,1,100,-13
1660659828.109587,236890.500,22681,2,MX,1,100,-12
1660659828.152115,236932.000,22681,2,MX,1,100,-12
1660659828.191056,236970.000,22698,3,MX,1,100,-13
1660659828.229997,237008.000,22698,3,MX,1,100,-13
1660659828.268939,237046.000,22698,3,MX,1,100,-12
1660659828.307880,237084.000,22715,3,MX,1,100,-11
1660659828.346821,237122.000,22715,3,MX,1,100,-12
1660659828.385762,237160.000,22715,3,MX,1,100,-12
1660659828.427778,237201.000,22732,2,MX,1,100,-12
1660659828.469794,237242.000,22732,2,MX,1,100,-10
1660659828.509076,237280.333,22747,3,MX,1,100,-12
1660659828.548359,237318.667,22747,3,MX,1,100,-12
1660659828.587642,237357.000,22747,3,MX,1,100,-13
1660659828.628633,237397.000,22763,2,MX,1,100,-13
1660659828.669624,237437.000,22763,2,MX,1,100,-13
1660659828.708565,237475.000,22781,3,MX,1,100,-13
1660659828.747506,237513.000,22781,3,MX,1,100,-13
1660659828.786448,237551.000,22781,3,MX,1,100,-13
1660659828.826926,237590.500,22798,2,MX,1,100,-12
1660659828.867404,237630.000,22798,2,MX,1,100,-13
1660659828.906346,237668.000,22814,3,MX,1,100,-12
1660659828.945287,237706.000,22814,3,MX,1,100,-12
1660659828.984228,237744.000,22814,3,MX,1,100,-13
1660659829.025732,237784.500,22830,2,MX,1,100,-12
1660659829.067235,237825.000,22830,2,MX,1,100,-11
1660659829.111983,237868.667,22846,3,MX,1,100,-13
1660659829.156731,237912.333,22846,3,MX,1,100,-11
1660659829.201480,237956.000,22846,3,MX,1,100,-11
1660659829.240421,237994.000,22863,3,MX,1,100,-11
1660659829.279362,238032.000,22863,3,MX,1,100,-12
1660659829.318304,238070.000,22863,3,MX,1,100,-11
1660659829.360319,238111.000,22880,2,MX,1,100,-12
1660659829.402335,238152.000,22880,2,MX,1,100,-11
1660659829.441276,238190.000,22895,3,MX,1,100,-11
1660659829.480217,238228.000,22895,3,MX,1,100,-12
1660659829.519159,238266.000,22895,3,MX,1,100,-13
1660659829.560662,238306.500,22911,2,MX,1,100,-14
1660659829.602165,238347.000,22911,2,MX,1,100,-13
1660659829.641106,238385.000,22929,3,MX,1,100,-12
1660659829.680048,238423.000,22929,3,MX,1,100,-13
1660659829.718989,238461.000,22929,3,MX,1,100,-12
1660659829.757247,238498.333,22946,3,MX,1,100,-13
1660659829.795505,238535.667,22946,3,MX,1,100,-13
1660659829.833763,238573.000,22946,3,MX,1,100,-11
1660659829.875779,238614.000,22963,2,MX,1,100,-12
1660659829.917794,238655.000,22963,2,MX,1,100,-13
1660659829.956736,238693.000,22977,3,MX,1,100,-14
1660659829.995677,238731.000,22977,3,MX,1,100,-12
1660659830.034618,238769.000,22977,3,MX,1,100,-11
1660659830.075097,238808.500,22995,2,MX,1,100,-12
1660659830.115575,238848.000,22995,2,MX,1,100,-12
1660659830.154516,238886.000,23011,3,MX,1,100,-12
1660659830.193458,238924.000,23011,3,MX,1,100,-10
1660659830.232399,238962.000,23011,3,MX,1,100,-12
1660659830.274927,239003.500,23028,2,MX,1,100,-12
1660659830.317455,239045.000,23028,2,MX,1,100,-11
1660659830.356396,239083.000,23044,3,MX,1,100,-11
1660659830.395338,239121.000,23044,3,MX,1,100,-11
1660659830.434279,239159.000,23044,3,MX,1,100,-12
1660659830.475782,239199.500,23060,2,MX,1,100,-10
1660659830.517285,239240.000,23060,2,MX,1,100,-11
1660659830.556568,239278.333,23076,3,MX,1,100,-11
1660659830.595851,239316.667,23076,3,MX,1,100,-11
1660659830.635134,239355.000,23076,3,MX,1,100,-12
1660659830.678857,239397.667,23094,3,MX,1,100,-13
1660659830.722581,239440.333,23094,3,MX,1,100,-11
1660659830.766304,239483.000,23094,3,MX,1,100,-12
1660659830.808320,239524.000,23111,2,MX,1,100,-11
1660659830.850336,239565.000,23111,2,MX,1,100,-11
1660659830.888935,239602.667,23126,3,MX,1,100,-11
1660659830.927535,239640.333,23126,3,MX,1,100,-12
1660659830.966135,239678.000,23126,3,MX,1,100,-11
1660659831.004393,239715.333,23143,3,MX,1,100,-12
1660659831.042651,239752.667,23143,3,MX,1,100,-12
1660659831.080909,239790.000,23143,3,MX,1,100,-12
1660659831.122412,239830.500,23160,2,MX,1,100,-11
1660659831.163916,239871.000,23160,2,MX,1,100,-11
1660659831.202857,239909.000,23176,3,MX,1,100,-11
1660659831.241798,239947.000,23176,3,MX,1,100,-12
1660659831.280739,239985.000,23176,3,MX,1,100,-11
1660659831.319339,240022.667,23194,3,MX,1,100,-13
1660659831.357939,240060.333,23194,3,MX,1,100,-12
1660659831.396538,240098.000,23194,3,MX,1,100,-13
1660659831.438554,240139.000,23208,2,MX,1,100,-11
1660659831.480570,240180.000,23208,2,MX,1,100,-13
1660659831.519852,240218.333,23225,3,MX,1,100,-13
1660659831.559135,240256.667,23225,3,MX,1,100,-14
1660659831.598418,240295.000,23225,3,MX,1,100,-13
1660659831.639409,240335.000,23241,2,MX,1,100,-11
1660659831.680400,240375.000,23241,2,MX,1,100,-13
1660659831.719341,240413.000,23260,3,MX,1,100,-13
1660659831.758282,240451.000,23260,3,MX,1,100,-13
1660659831.797224,240489.000,23260,3,MX,1,100,-13
1660659831.839752,240530.500,23274,2,MX,1,100,-11
1660659831.882280,240572.000,23274,2,MX,1,100,-13
1660659831.926003,240614.667,23291,3,MX,1,100,-12
1660659831.969727,240657.333,23291,3,MX,1,100,-13
1660659832.013450,240700.000,23291,3,MX,1,100,-13
1660659832.046243,240732.000,23308,2,MX,1,100,-13
1660659832.079036,240764.000,23308,2,MX,1,100,-13
1660659832.123442,240807.333,23325,3,MX,1,100,-13
1660659832.167849,240850.667,23325,3,MX,1,100,-13
1660659832.212256,240894.000,23325,3,MX,1,100,-14
1660659832.250514,240931.333,23341,3,MX,1,100,-13
1660659832.288772,240968.667,23341,3,MX,1,100,-13
