txtStim,stimFile,AI_Resp,ExplanationFile,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trial_start,Text_Intro_Txt.started,Text_Intro_Txt.stopped,Question_Txt_5.started,Question_Txt_5.stopped,Accept_Deny_Button_5.response,Accept_Deny_Button_5.rt,Accept_Deny_Button_5.started,Accept_Deny_Button_5.stopped,ConfidenceSlider_5.response,ConfidenceSlider_5.rt,ConfidenceSlider_5.started,ConfidenceSlider_5.stopped,DenySlider_5.response,DenySlider_5.rt,DenySlider_5.started,DenySlider_5.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,Click_to_Continue_8.started,Click_to_Continue_8.stopped,trial_end,Q1_Slider.response,Q2_Slider.response,Q3_Slider.response,Q4_Slider.response,Q5_Slider.response,Q6_Slider.response,Q7_Slider.response,Q8_Slider.response,Q9_Slider.response,Q10_Slider.response,Q11_Slider.response,Q12_Slider.response,Q13_Slider.response,Q14_Slider.response,Q15_Slider.response,Q16_Slider.response,Q17_Slider.response,Q18_Slider.response,Q19_Slider.response,Q20_Slider.response,Q21_Slider.response,Q22_Slider.response,Q23_Slider.response,Conversational_Intro_Txt.started,Conversational_Intro_Txt.stopped,Accept_Deny_Button.response,Accept_Deny_Button.rt,Accept_Deny_Button.started,Accept_Deny_Button.stopped,ConfidenceSlider.response,ConfidenceSlider.rt,ConfidenceSlider.started,ConfidenceSlider.stopped,Experimental_Images.started,Experimental_Images.stopped,DenySlider.response,DenySlider.rt,DenySlider.started,DenySlider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Click_to_Continue.started,Click_to_Continue.stopped,Feature_Intro_Txt.started,Feature_Intro_Txt.stopped,Question_Txt_3.started,Question_Txt_3.stopped,Accept_Deny_Button_3.response,Accept_Deny_Button_3.rt,Accept_Deny_Button_3.started,Accept_Deny_Button_3.stopped,ConfidenceSlider_3.response,ConfidenceSlider_3.rt,ConfidenceSlider_3.started,ConfidenceSlider_3.stopped,Experimental_Images_3.started,Experimental_Images_3.stopped,DenySlider_3.response,DenySlider_3.rt,DenySlider_3.started,DenySlider_3.stopped,Click_to_Continue_6.started,Click_to_Continue_6.stopped,PresstoCont_8.started,PresstoCont_8.stopped,Image_Intro_Txt.started,Image_Intro_Txt.stopped,Question_Txt_4.started,Question_Txt_4.stopped,Accept_Deny_Button_4.response,Accept_Deny_Button_4.rt,Accept_Deny_Button_4.started,Accept_Deny_Button_4.stopped,ConfidenceSlider_4.response,ConfidenceSlider_4.rt,ConfidenceSlider_4.started,ConfidenceSlider_4.stopped,Experimental_Images_4.started,Experimental_Images_4.stopped,DenySlider_4.response,DenySlider_4.rt,DenySlider_4.started,DenySlider_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,Click_to_Continue_7.started,Click_to_Continue_7.stopped,PresstoCont_7.started,PresstoCont_7.stopped,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,Choice_1_Intro_Txt.started,Choice_1_Intro_Txt.stopped,Accept_Deny_Button_6.response,Accept_Deny_Button_6.rt,Accept_Deny_Button_6.started,Accept_Deny_Button_6.stopped,ConfidenceSlider_6.response,ConfidenceSlider_6.rt,ConfidenceSlider_6.started,ConfidenceSlider_6.stopped,Experimental_Images_6.started,Experimental_Images_6.stopped,DenySlider_6.response,DenySlider_6.rt,DenySlider_6.started,DenySlider_6.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time,mouse_9.clicked_name,mouse_9.started,mouse_9.stopped,Click_to_Continue_9.started,Click_to_Continue_9.stopped,end_Txt.started,end_Txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 1:,stim/Au_ani_00027.jpg.png,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/text_based_Au_ani_00027.jpg.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:27:51",994.586996599799,1004.666283399798,1004.6351969998796,None,2.0,78.51269160001539,1004.6351969998796,None,3.0,80.5652451000642,1004.6351969998796,None,3.0,83.9119330001995,1004.6351969998796,None,"[-0.3212963, -0.44722223, 0.50277776, 0.50277776]","[-0.108333334, -0.29444444, -0.19722222, -0.45185184]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[68.26079249987379, 69.92894069990143, 73.74636049987748, 74.84647380001843]",['Click_to_Continue_8'],10.06317750015296,None,1078.5363473999314,None,"Tuesday, August 16, 2022 10:29:16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 2:,stim/Au_cha_30523.jpg,"The AI system has determined that the above image is not authentic. 
Do you accept or deny this claim?",stim/text_based_Au_cha_30523.jpg.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:29:16",1079.534431599779,1089.5627862999681,1089.5627862999681,None,2.0,51.87667839997448,1089.5627862999681,None,3.0,54.404091499978676,1089.5627862999681,None,3.0,55.904190900037065,1089.5627862999681,None,"[-0.32777777, -0.4537037, 0.50555557, 0.5601852]","[-0.10555556, -0.3074074, -0.21111111, -0.45462963]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[41.608510999940336, 44.16176319983788, 45.70429819985293, 46.615547199966386]",['Click_to_Continue_8'],10.033672980265692,None,1135.4781111998018,None,"Tuesday, August 16, 2022 10:30:12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 3:,stim/Au_ani_00031.jpg.png,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/text_based_Au_ani_00031.jpg.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:30:12",1136.2318942998536,1146.2659198998008,1146.2659198998008,None,1.0,32.18603840004653,1146.2659198998008,None,4.0,33.9358232000377,1146.2659198998008,None,3.0,40.517792199971154,1146.2659198998008,None,"[-0.5685185, -0.35185185, 0.4962963, 0.5453704, 0.5601852]","[-0.09166667, -0.29444444, -0.17870371, -0.42222223, -0.46851853]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[21.90967629989609, 23.716328100068495, 30.298306399956346, 31.082577500026673, 32.13599499990232]",['Click_to_Continue_8'],10.0394828801509,None,1176.793279999867,None,"Tuesday, August 16, 2022 10:30:54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 4:,stim/Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:30:55",1178.497843899997,1188.538437299896,1188.5102374998387,None,2.0,69.47120140003972,1188.5102374998387,None,4.0,76.53976139985025,1188.5102374998387,None,1.0,78.84247209993191,1188.5102374998387,None,"[-0.31666666, -0.34814814, 0.29444444, 0.4861111, 0.5092593]","[-0.08888889, -0.27685186, -0.19537038, -0.47407407, -0.45185184]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[59.04604049981572, 66.16914309980348, 68.6748189998325, 69.52454259991646, 69.92069790000096]",['Click_to_Continue_8'],10.025772860040888,None,1257.385981899919,None,"Tuesday, August 16, 2022 10:32:14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 5:,stim/Tp_D_CNN_S_N_sec00042_ani00078_10495.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CNN_S_N_sec00042_ani00078_10495.tif.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:32:15",1258.5014534997754,1268.551174199907,1268.5189376999624,None,1.0,20.686769100138918,1268.5189376999624,None,4.0,21.75065840012394,1268.5189376999624,None,1.0,25.215700399829075,1268.5189376999624,None,"[-0.55925924, -0.35555556, 0.29907408, 0.52685183]","[-0.11388889, -0.30925927, -0.20925926, -0.475]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10.43892589979805, 11.573278799885884, 15.067306999815628, 15.773756799986586]",['Click_to_Continue_8'],10.03790789982304,None,1283.7591927999165,None,"Tuesday, August 16, 2022 10:32:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 6:,stim/Au_ani_00033.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/text_based_Au_ani_00033.jpg.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:32:40",1284.3707990997937,1294.430591599783,1294.4007844999433,None,1.0,22.339323100168258,1294.4007844999433,None,4.0,23.091654099989682,1294.4007844999433,None,3.0,25.803974699927494,1294.4007844999433,None,"[-0.5601852, -0.35833332, 0.5277778, 0.51574075, 0.5, 0.59074074]","[-0.11481482, -0.31851852, -0.20925926, -0.21481481, -0.19814815, -0.4537037]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[12.113240799866617, 12.909941699821502, 13.974195199785754, 14.34198489994742, 15.669492799788713, 16.299149899976328]",['Click_to_Continue_8'],10.040760200005025,None,1310.2209749999456,None,"Tuesday, August 16, 2022 10:33:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 7:,stim/Tp_D_CRD_S_N_ind00074_cha00049_00474.tif,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CRD_S_N_ind00074_cha00049_00474.tif.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:33:07",1310.7470168999862,1320.7702147997916,1320.7702147997916,None,2.0,18.133333699777722,1320.7702147997916,None,4.0,27.509179099928588,1320.7702147997916,None,1.0,30.419079900020733,1320.7702147997916,None,"[-0.31296295, -0.3537037, 0.28148147, 0.29722223, 0.3, 0.5509259]","[-0.10185185, -0.3074074, -0.19166666, -0.17222223, -0.21388888, -0.4398148]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[7.9188699999358505, 17.341928699985147, 18.751320499926805, 19.429883300093934, 20.26929620001465, 21.18422729987651]",['Click_to_Continue_8'],10.031664879992604,None,1341.2129802999552,None,"Tuesday, August 16, 2022 10:33:38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 8:,stim/Au_cha_30677.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Au_cha_30677.jpg.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:33:38",1342.0158361999784,1352.0504621998407,1352.0504621998407,None,1.0,28.713461899897084,1352.0504621998407,None,3.0,31.54980139993131,1352.0504621998407,None,3.0,33.27805839991197,1352.0504621998407,None,"[-0.5935185, -0.56574076, -0.4462963, 0.4814815, 0.57685184]","[-0.096296296, -0.10277778, -0.30185184, -0.20092593, -0.4611111]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[17.378362400224432, 18.46088460017927, 21.367507200222462, 23.09127670014277, 23.995405900059268]",['Click_to_Continue_8'],10.046121440129355,None,1375.33687489992,None,"Tuesday, August 16, 2022 10:34:12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
Question 9:,stim/Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 10:34:12",1376.1016398998909,1386.1666546999477,1386.133987299865,None,1.0,35.233775599859655,1386.133987299865,None,4.0,35.958632099907845,1386.133987299865,None,3.0,38.5881569001358,1386.133987299865,None,"[-0.57685184, -0.3611111, 0.51296294, 0.48425925, 0.58518517]","[-0.0787037, -0.29074073, -0.18888889, -0.20555556, -0.45277777]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[24.99391709989868, 25.734282199991867, 27.13104569981806, 28.39809549995698, 29.15494369994849]",['Click_to_Continue_8'],10.047154040075839,None,1414.7459487000015,None,"Tuesday, August 16, 2022 10:34:51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022-08-16_10h26.33.262,CSVTrial3,2022.1.3,60.34598769293572,
