LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1660667555.526674,2304557,35477,1,SA,1,100,0.000065
1660667557.057691,2306050,35720,1,SA,1,100,0.000030
1660667987.804671,2726101,38165,1,SA,1,100,0.000013
1660668002.656460,2740584,40505,1,SA,1,100,0.000006
1660668013.901693,2751550,42288,1,SA,1,100,0.000009
1660668016.032606,2753628,42610,1,SA,1,100,0.000009
1660668058.038668,2794591,49263,1,SA,1,100,0.000006
1660668058.306314,2794852,49298,1,SA,1,100,0.000003
1660668066.495666,2802838,50601,1,SA,1,100,0.000005
1660668071.358414,2807580,51404,1,SA,1,100,0.000031
1660668075.350544,2811473,51993,1,SA,1,100,0.000020
1660668077.278415,2813353,52304,1,SA,1,100,0.000012
1660668079.012474,2815044,52580,1,SA,1,100,0.000002
1660668086.799844,2822638,53812,1,SA,1,100,0.000003
1660668094.389299,2830039,55021,1,SA,1,100,0.000013
1660668094.658996,2830302,55057,1,SA,1,100,0.000015
1660668095.653696,2831272,55239,1,SA,1,100,0.000015
1660668097.653350,2833222,55556,1,SA,1,100,0.000020
1660668105.173074,2840555,56750,1,SA,1,100,0.000011
1660668106.839452,2842180,57016,1,SA,1,100,0.000013
1660668108.701694,2843996,57333,1,SA,1,100,0.000027
1660668109.633840,2844905,57456,1,SA,1,100,0.000022
1660668113.229115,2848411,58019,1,SA,1,100,0.000005
1660668114.359176,2849513,58229,1,SA,1,100,0.000012
1660668117.958553,2853023,58810,1,SA,1,100,0.000014
1660668119.152193,2854187,58963,1,SA,1,100,0.000002
1660668120.353011,2855358,59125,1,SA,1,100,0.000003
1660668129.738053,2864510,60624,1,SA,1,100,0.000010
1660668130.337949,2865095,60729,1,SA,1,100,0.000027
1660668132.601147,2867302,61062,1,SA,1,100,0.000011
1660668138.859551,2873405,62065,1,SA,1,100,0.000005
1660668140.058318,2874574,62248,1,SA,1,100,0.000013
1660668145.047198,2879439,63068,1,SA,1,100,0.000021
1660668146.645895,2880998,63309,1,SA,1,100,0.000017
1660668146.911490,2881257,63330,1,SA,1,100,0.000022
1660668149.112135,2883403,63712,1,SA,1,100,0.000007
1660668150.440110,2884698,63912,1,SA,1,100,0.000012
1660668157.101521,2891194,64953,1,SA,1,100,0.000015
1660668177.003718,2910602,2585,1,SA,1,100,0.000026
1660668186.256475,2919625,4059,1,SA,1,100,0.000004
1660668192.781500,2925988,5109,1,SA,1,100,0.000004
1660668196.042474,2929168,5630,1,SA,1,100,0.000007
1660668199.837714,2932869,6233,1,SA,1,100,0.000038
1660668202.832068,2935789,6701,1,SA,1,100,0.000017
1660668213.154384,2945855,8281,1,SA,1,100,0.000010
1660668214.752056,2947413,8569,1,SA,1,100,0.000008
1660668215.814436,2948449,8703,1,SA,1,100,0.000000
1660668218.410910,2950981,9135,1,SA,1,100,0.000028
1660668218.679581,2951243,9153,1,SA,1,100,0.000012
1660668224.203753,2956630,10056,1,SA,1,100,0.000006
1660668229.865337,2962151,10944,1,SA,1,100,0.000011
1660668234.988553,2967147,11768,1,SA,1,100,0.000006
1660668235.255173,2967407,11824,1,SA,1,100,0.000016
1660668237.983932,2970068,12242,1,SA,1,100,0.000004
1660668238.649458,2970717,12328,1,SA,1,100,0.000007
1660668240.980336,2972990,12700,1,SA,1,100,0.000012
1660668242.844629,2974808,13019,1,SA,1,100,0.000014
1660668245.504682,2977402,13437,1,SA,1,100,0.000002
1660668245.836932,2977726,13495,1,SA,1,100,0.000018
1660668246.704474,2978572,13645,1,SA,1,100,0.000033
1660668249.566543,2981363,14092,1,SA,1,100,0.000006
1660668249.900844,2981689,14160,1,SA,1,100,0.000012
1660668252.827517,2984543,14615,1,SA,1,100,0.000035
1660668265.676574,2997073,16634,1,SA,1,100,0.000008
1660668270.670582,3001943,17471,1,SA,1,100,0.000008
1660668273.663910,3004862,17926,1,SA,1,100,0.000003
1660668281.253366,3012263,19149,1,SA,1,100,0.000029
1660668284.317451,3015251,19625,1,SA,1,100,0.000017
1660668298.957993,3029528,21916,1,SA,1,100,0.000011
1660668302.952174,3033423,22545,1,SA,1,100,0.000000
1660668304.019681,3034464,22723,1,SA,1,100,0.000007
1660668320.194318,3050237,25249,1,SA,1,100,0.000016
1660668320.526568,3050561,25284,1,SA,1,100,0.000009
1660668331.042696,3060816,26988,1,SA,1,100,0.000019
1660668340.895350,3070424,28544,1,SA,1,100,0.000020
1660668344.488574,3073928,29142,1,SA,1,100,0.000023
1660668344.955160,3074383,29194,1,SA,1,100,0.000010
1660668351.545814,3080810,30250,1,SA,1,100,0.000018
1660668364.129277,3093081,32248,1,SA,1,100,0.000004
1660668374.845371,3103531,33952,1,SA,1,100,0.000045
1660668383.099327,3111580,35212,1,SA,1,100,0.000013
1660668384.894913,3113331,35529,1,SA,1,100,0.000022
1660668385.230240,3113658,35549,1,SA,1,100,0.000013
1660668401.543314,3129566,38103,1,SA,1,100,0.000008
1660668402.941021,3130929,38322,1,SA,1,100,0.000014
1660668403.140986,3131124,38373,1,SA,1,100,0.000017
1660668409.728564,3137548,39417,1,SA,1,100,0.000039
1660668411.590806,3139364,39702,1,SA,1,100,0.000004
1660668457.995081,3184616,46994,1,SA,1,100,0.000009
1660668478.100319,3204222,50154,1,SA,1,100,0.000016
1660668478.433595,3204547,50189,1,SA,1,100,0.000028
1660668499.204359,3224802,53465,1,SA,1,100,0.000012
1660668501.867487,3227399,53896,1,SA,1,100,0.000023
1660668515.446675,3240641,56038,1,SA,1,100,0.000009
1660668522.042457,3247073,57053,1,SA,1,100,0.000007
1660668524.770190,3249733,57477,1,SA,1,100,0.000020
1660668562.375988,3286405,63370,1,SA,1,100,0.000010
1660668574.358530,3298090,65262,1,SA,1,100,0.000007
1660668581.749045,3305297,902,1,SA,1,100,0.000007
1660668592.863019,3316135,2680,1,SA,1,100,0.000002
1660668595.989657,3319184,3179,1,SA,1,100,0.000021
1660668645.586201,3367549,11019,1,SA,1,100,0.000045
1660668652.041494,3373844,12002,1,SA,1,100,0.000003
1660668712.818666,3433112,21673,1,SA,1,100,0.000003
1660668720.210207,3440320,22829,1,SA,1,100,0.000003
1660668753.423945,3472709,28014,1,SA,1,100,0.000001
1660668951.667580,3666030,59257,1,SA,1,100,0.000010
1660668981.759808,3695375,64009,1,SA,1,100,0.000003
1660668993.546485,3706869,294,1,SA,1,100,0.000009
1660669006.266335,3719273,2322,1,SA,1,100,0.000027
1660669007.930662,3720896,2628,1,SA,1,100,0.000022
1660669039.485201,3751667,7610,1,SA,1,100,0.000006
1660669044.479208,3756537,8432,1,SA,1,100,0.000001
1660669050.868871,3762768,9454,1,SA,1,100,0.000004
1660669051.399036,3763285,9555,1,SA,1,100,0.000009
1660669052.797768,3764649,9756,1,SA,1,100,0.000005
1660669061.381923,3773020,11179,1,SA,1,100,0.000021
1660669068.376610,3779841,12263,1,SA,1,100,0.000010
1660669081.953747,3793081,14435,1,SA,1,100,0.000021
1660669084.217971,3795289,14785,1,SA,1,100,0.000003
1660669090.006712,3800934,15719,1,SA,1,100,0.000001
1660669094.599763,3805413,16454,1,SA,1,100,0.000002
1660669097.263918,3808011,16884,1,SA,1,100,0.000014
1660669106.050089,3816579,18304,1,SA,1,100,0.000009
1660669108.113322,3818591,18627,1,SA,1,100,0.000011
1660669110.911812,3821320,19059,1,SA,1,100,0.000003
1660669131.410828,3841310,22258,1,SA,1,100,0.000014
1660669133.410481,3843260,22574,1,SA,1,100,0.000006
1660669135.542420,3845339,22926,1,SA,1,100,0.000014
1660669137.334930,3847087,23226,1,SA,1,100,0.000008
1660669137.602576,3847348,23246,1,SA,1,100,0.000005
1660669137.802542,3847543,23280,1,SA,1,100,0.000011
1660669139.333559,3849036,23553,1,SA,1,100,0.000010
1660669139.600179,3849296,23572,1,SA,1,100,0.000013
1660669141.730067,3851373,23920,1,SA,1,100,0.000005
1660669146.454378,3855980,24658,1,SA,1,100,0.000011
1660669150.851565,3860268,25362,1,SA,1,100,0.000006
1660669158.643037,3867866,26583,1,SA,1,100,0.000011
1660669159.574158,3868774,26703,1,SA,1,100,0.000004
1660669163.036123,3872150,27259,1,SA,1,100,0.000001
1660669166.364778,3875396,27798,1,SA,1,100,0.000002
1660669166.630373,3875655,27847,1,SA,1,100,0.000024
1660669166.893917,3875912,27886,1,SA,1,100,0.000012
1660669170.025682,3878966,28384,1,SA,1,100,0.000007
1660669170.824518,3879745,28522,1,SA,1,100,0.000017
1660669174.219828,3883056,29055,1,SA,1,100,0.000014
1660669174.419794,3883251,29106,1,SA,1,100,0.000029
1660669177.679742,3886430,29659,1,SA,1,100,0.000056
1660669180.877137,3889548,30125,1,SA,1,100,0.000003
1660669182.943446,3891563,30448,1,SA,1,100,0.000016
1660669183.205965,3891819,30498,1,SA,1,100,0.000041
1660669186.203395,3894742,30983,1,SA,1,100,0.000013
1660669186.537696,3895068,31019,1,SA,1,100,0.000005
1660669186.735610,3895261,31059,1,SA,1,100,0.000009
1660669191.928558,3900325,31895,1,SA,1,100,0.000026
1660669192.727394,3901104,32014,1,SA,1,100,0.000001
1660669194.858307,3903182,32348,1,SA,1,100,0.000001
1660669195.522808,3903830,32501,1,SA,1,100,0.000029
1660669198.118256,3906361,32890,1,SA,1,100,0.000006
1660669198.453582,3906688,32943,1,SA,1,100,0.000017
1660669198.654573,3906884,32979,1,SA,1,100,0.000009
1660669201.780186,3909932,33478,1,SA,1,100,0.000008
1660669202.311376,3910450,33566,1,SA,1,100,0.000002
1660669204.643280,3912724,33938,1,SA,1,100,0.000007
1660669204.909901,3912984,33973,1,SA,1,100,0.000005
1660669205.376487,3913439,34043,1,SA,1,100,0.000002
1660669210.902709,3918828,34928,1,SA,1,100,0.000002
1660669211.100624,3919021,34948,1,SA,1,100,0.000015
1660669211.766150,3919670,35066,1,SA,1,100,0.000007
1660669213.294091,3921160,35307,1,SA,1,100,0.000017
1660669213.495081,3921356,35358,1,SA,1,100,0.000025
1660669217.623597,3925382,36007,1,SA,1,100,0.000016
1660669218.619323,3926353,36145,1,SA,1,100,0.000013
1660669221.619829,3929279,36628,1,SA,1,100,0.000002
1660669225.012062,3932587,37168,1,SA,1,100,0.000016
1660669227.342941,3934860,37567,1,SA,1,100,0.000009
1660669227.677242,3935186,37602,1,SA,1,100,0.000000
1660669229.007268,3936483,37808,1,SA,1,100,0.000019
1660669231.404802,3938821,38191,1,SA,1,100,0.000017
1660669235.199017,3942521,38778,1,SA,1,100,0.000023
1660669236.064508,3943365,38962,1,SA,1,100,0.000014
1660669238.396412,3945639,39297,1,SA,1,100,0.000002
1660669240.529376,3947719,39667,1,SA,1,100,0.000026
1660669243.255058,3950377,40064,1,SA,1,100,0.000009
1660669245.520307,3952586,40419,1,SA,1,100,0.000011
1660669245.718222,3952779,40439,1,SA,1,100,0.000033
1660669248.781281,3955766,40955,1,SA,1,100,0.000011
1660669249.182238,3956157,41005,1,SA,1,100,0.000013
1660669250.843488,3957777,41266,1,SA,1,100,0.000009
1660669253.237946,3960112,41665,1,SA,1,100,0.000019
1660669258.367314,3965114,42467,1,SA,1,100,0.000010
1660669259.299461,3966023,42588,1,SA,1,100,0.000016
1660669261.630339,3968296,42961,1,SA,1,100,0.000001
1660669262.161530,3968814,43044,1,SA,1,100,0.000010
1660669264.490357,3971085,43449,1,SA,1,100,0.000027
1660669269.484365,3975955,44201,1,SA,1,100,0.000012
1660669269.947874,3976407,44303,1,SA,1,100,0.000018
1660669275.874028,3982186,45241,1,SA,1,100,0.000015
1660669276.342664,3982643,45291,1,SA,1,100,0.000024
1660669276.939484,3983225,45428,1,SA,1,100,0.000028
1660669277.540406,3983811,45479,1,SA,1,100,0.000016
1660669280.136880,3986343,45895,1,SA,1,100,0.000015
1660669284.261294,3990365,46562,1,SA,1,100,0.000004
1660669290.256154,3996211,47496,1,SA,1,100,0.000001
1660669290.720689,3996664,47600,1,SA,1,100,0.000005
1660669292.852627,3998743,47905,1,SA,1,100,0.000008
1660669295.848006,4001664,48385,1,SA,1,100,0.000001
1660669296.182307,4001990,48453,1,SA,1,100,0.000018
1660669296.579162,4002377,48505,1,SA,1,100,0.000006
1660669297.775878,4003544,48693,1,SA,1,100,0.000010
1660669300.307747,4006013,49127,1,SA,1,100,0.000021
1660669300.840988,4006533,49179,1,SA,1,100,0.000041
1660669303.368756,4008998,49587,1,SA,1,100,0.000026
1660669304.967453,4010557,49838,1,SA,1,100,0.000001
