RD,TS_received,TS_sent,AK,RoundTrip,
2091158,2091187,2022-08-16_12-28-56-693116,2091190,29,
2096265,2096291,2022-08-16_12-29-01-929907,2096295,26,
2101405,2101430,2022-08-16_12-29-07-197791,2101433,25,
2106519,2106561,2022-08-16_12-29-12-451760,2106564,42,
2111626,2111651,2022-08-16_12-29-17-679006,2111655,25,
2116729,2116755,2022-08-16_12-29-22-910872,2116758,26,
2121852,2121876,2022-08-16_12-29-28-164271,2121879,24,
2126961,2126987,2022-08-16_12-29-33-402295,2126990,26,
2132079,2132127,2022-08-16_12-29-38-673455,2132131,48,
2137188,2137218,2022-08-16_12-29-43-897909,2137222,30,
2142342,2142446,2022-08-16_12-29-49-259778,2142449,104,
2147448,2147504,2022-08-16_12-29-54-442419,2147508,56,
2152580,2152606,2022-08-16_12-29-59-677301,2152610,26,
2157688,2157714,2022-08-16_12-30-04-914323,2157717,26,
2162852,2162880,2022-08-16_12-30-10-214370,2162884,28,
2167954,2167982,2022-08-16_12-30-15-444782,2167985,28,
2173090,2173169,2022-08-16_12-30-20-758973,2173174,79,
2178211,2178253,2022-08-16_12-30-25-982991,2178256,42,
2183323,2183362,2022-08-16_12-30-31-212156,2183368,39,
2188444,2188470,2022-08-16_12-30-36-453666,2188475,26,
2193552,2193637,2022-08-16_12-30-41-753584,2193641,85,
2198688,2198727,2022-08-16_12-30-46-975540,2198731,39,
2203803,2203826,2022-08-16_12-30-52-207828,2203830,23,
2208909,2208953,2022-08-16_12-30-57-444425,2208957,44,
2214016,2214100,2022-08-16_12-31-02-744739,2214104,84,
2219126,2219154,2022-08-16_12-31-07-926509,2219164,28,
2224274,2224299,2022-08-16_12-31-13-200562,2224304,25,
2229379,2229403,2022-08-16_12-31-18-437647,2229406,24,
2234499,2234529,2022-08-16_12-31-23-689424,2234533,30,
2239617,2239663,2022-08-16_12-31-28-960594,2239673,46,
2244716,2244739,2022-08-16_12-31-34-167113,2244743,23,
2249876,2249909,2022-08-16_12-31-39-462660,2249913,33,
2254993,2255018,2022-08-16_12-31-44-703591,2255021,25,
2260108,2260150,2022-08-16_12-31-49-954927,2260156,42,
2265215,2270369,2022-08-16_12-31-55-376710,2270374,5154,
2270374,2270423,2022-08-16_12-32-00-499899,2270427,49,
2275483,2275515,2022-08-16_12-32-05-724483,2275518,32,
2280584,2280610,2022-08-16_12-32-10-947984,2280614,26,
2285690,2285729,2022-08-16_12-32-16-185142,2285732,39,
2290798,2290891,2022-08-16_12-32-21-490273,2290899,93,
2295963,2295992,2022-08-16_12-32-26-721942,2295997,29,
2301112,2301137,2022-08-16_12-32-31-999509,2301141,25,
2306254,2306277,2022-08-16_12-32-37-272181,2306281,23,
2311362,2311461,2022-08-16_12-32-42-587523,2311464,99,
2316478,2316546,2022-08-16_12-32-47-801053,2316549,68,
2321626,2321650,2022-08-16_12-32-53-033709,2321653,24,
2326730,2326756,2022-08-16_12-32-58-271091,2326759,26,
2331846,2331927,2022-08-16_12-33-03-569468,2331931,81,
2336952,
2342041,2342067,2022-08-16_12-33-13-971056,2342072,26,
2347189,2347214,2022-08-16_12-33-19-255492,2347219,25,
2352314,2352339,2022-08-16_12-33-24-510271,2352349,25,
2357476,2357501,2022-08-16_12-33-29-800247,2357504,25,
2362621,2362646,2022-08-16_12-33-35-079547,2362650,25,
2367762,2367787,2022-08-16_12-33-40-352756,2367791,25,
2372903,2372929,2022-08-16_12-33-45-626717,2372932,26,
2378022,2378042,2022-08-16_12-33-50-872861,2378045,20,
2383164,2383189,2022-08-16_12-33-56-148640,2383193,25,
2388271,2388298,2022-08-16_12-34-01-387620,2388302,27,
2393414,2393442,2022-08-16_12-34-06-657623,2393445,28,
2398531,
2403656,2403681,2022-08-16_12-34-17-159717,2403684,25,
2408777,2408802,2022-08-16_12-34-22-409696,2408805,25,
2413898,2413923,2022-08-16_12-34-27-665921,2413926,25,
2419040,2419070,2022-08-16_12-34-32-935622,2419074,30,
2424183,2424211,2022-08-16_12-34-38-214424,2424214,28,
2429338,2429366,2022-08-16_12-34-43-498260,2429370,28,
2434445,2434469,2022-08-16_12-34-48-735072,2434472,24,
2439617,2439641,2022-08-16_12-34-54-036247,2439644,24,
2444744,2444771,2022-08-16_12-34-59-295844,2444774,27,
2449891,2449918,2022-08-16_12-35-04-576454,2449921,27,
2455008,
2460132,2460157,2022-08-16_12-35-15-080879,2460159,25,
2465294,2465319,2022-08-16_12-35-20-374825,2465322,25,
2470450,2470482,2022-08-16_12-35-25-660262,2470486,32,
2475603,2475627,2022-08-16_12-35-30-944002,2475630,24,
2480721,2480747,2022-08-16_12-35-36-192362,2480751,26,
2485853,2485877,2022-08-16_12-35-41-454174,2485880,24,
2490990,2491014,2022-08-16_12-35-46-725171,2491017,24,
2496097,2496121,2022-08-16_12-35-51-959087,2496124,24,
2501205,
2506309,2506334,2022-08-16_12-36-02-433331,2506337,25,
2511430,2511471,2022-08-16_12-36-07-702932,2511474,41,
2516561,2516591,2022-08-16_12-36-12-949130,2516595,30,
2521667,2521691,2022-08-16_12-36-18-185472,2521695,24,
2526775,2526799,2022-08-16_12-36-23-424472,2526802,24,
2531884,2531907,2022-08-16_12-36-28-664767,2531911,23,
2537040,2537065,2022-08-16_12-36-33-951405,2537068,25,
2542145,2542172,2022-08-16_12-36-39-190244,2542176,27,
2547254,2552359,2022-08-16_12-36-44-484636,2552362,5105,
