LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1660673734.107157,8329612.000,23395,2,AK,1,100,22562
1660673734.107157,8329612.000,23395,2,AK,1,100,RD
1660673734.122034,8329626.500,23398,2,AK,1,100,23396
1660673734.136911,8329641.000,23398,2,AK,1,100,RD
1660673736.766562,8332204.000,24245,2,AK,1,100,23396
1660673739.396212,8334767.000,24245,2,AK,1,100,RD
1660673739.412115,8334782.500,24248,2,AK,1,100,24246
1660673739.428018,8334798.000,24248,2,AK,1,100,RD
1660673742.032018,8337336.000,25075,2,AK,1,100,24246
1660673744.636018,8339874.000,25075,2,AK,1,100,RD
1660673744.650382,8339888.000,25078,2,AK,1,100,25076
1660673744.664746,8339902.000,25078,2,AK,1,100,RD
1660673747.270798,8342442.000,25909,2,AK,1,100,25076
1660673749.876850,8344982.000,25909,2,AK,1,100,RD
1660673749.892753,8344997.500,25912,2,AK,1,100,25910
1660673749.908656,8345013.000,25912,2,AK,1,100,RD
1660673752.513169,8347551.500,26742,2,AK,1,100,25910
1660673755.117682,8350090.000,26742,2,AK,1,100,RD
1660673755.131533,8350103.500,26745,2,AK,1,100,26743
1660673755.145384,8350117.000,26745,2,AK,1,100,RD
1660673757.751950,8352657.500,27570,2,AK,1,100,26743
1660673760.358515,8355198.000,27570,2,AK,1,100,RD
1660673760.372879,8355212.000,27573,2,AK,1,100,27571
1660673760.387243,8355226.000,27573,2,AK,1,100,RD
1660673762.993295,8357766.000,28401,2,AK,1,100,27571
1660673765.599347,8360306.000,28401,2,AK,1,100,RD
1660673765.612685,8360319.000,28404,2,AK,1,100,28402
1660673765.626023,8360332.000,28404,2,AK,1,100,RD
1660673768.234127,8362874.000,29233,2,AK,1,100,28402
1660673770.842231,8365416.000,29233,2,AK,1,100,RD
1660673770.857621,8365431.000,29236,2,AK,1,100,29234
1660673770.873011,8365446.000,29236,2,AK,1,100,RD
1660673773.477524,8367984.500,30066,2,AK,1,100,29234
1660673776.082037,8370523.000,30066,2,AK,1,100,RD
1660673776.099992,8370540.500,30069,2,AK,1,100,30067
1660673776.117947,8370558.000,30069,2,AK,1,100,RD
1660673778.720408,8373094.500,30902,2,AK,1,100,30067
1660673781.322869,8375631.000,30902,2,AK,1,100,RD
1660673781.344415,8375652.000,30905,2,AK,1,100,30903
1660673781.365962,8375673.000,30905,2,AK,1,100,RD
1660673783.964832,8378206.000,31736,2,AK,1,100,30903
1660673786.563702,8380739.000,31736,2,AK,1,100,RD
1660673786.578066,8380753.000,31739,2,AK,1,100,31737
1660673786.592430,8380767.000,31739,2,AK,1,100,RD
1660673789.222593,8383330.500,32585,2,AK,1,100,31737
1660673791.852756,8385894.000,32585,2,AK,1,100,RD
1660673791.877380,8385918.000,32588,2,AK,1,100,32586
1660673791.902004,8385942.000,32588,2,AK,1,100,RD
1660673794.497796,8388472.000,33414,2,AK,1,100,32586
1660673797.093588,8391002.000,33414,2,AK,1,100,RD
1660673797.108978,8391017.000,33417,2,AK,1,100,33415
1660673797.124368,8391032.000,33417,2,AK,1,100,RD
1660673799.756584,8393597.500,34245,2,AK,1,100,33415
1660673802.388799,8396163.000,34245,2,AK,1,100,RD
1660673802.403676,8396177.500,34248,2,AK,1,100,34246
1660673802.418553,8396192.000,34248,2,AK,1,100,RD
1660673805.044099,8398751.000,35076,2,AK,1,100,34246
1660673807.669645,8401310.000,35076,2,AK,1,100,RD
1660673807.684009,8401324.000,35079,2,AK,1,100,35077
1660673807.698373,8401338.000,35079,2,AK,1,100,RD
1660673810.315711,8403889.000,35908,2,AK,1,100,35077
1660673812.933049,8406440.000,35908,2,AK,1,100,RD
1660673812.951518,8406458.000,35911,2,AK,1,100,35909
1660673812.969986,8406476.000,35911,2,AK,1,100,RD
1660673815.595532,8409035.000,36741,2,AK,1,100,35909
1660673818.221078,8411594.000,36741,2,AK,1,100,RD
1660673818.238007,8411610.500,36744,2,AK,1,100,36742
1660673818.254936,8411627.000,36744,2,AK,1,100,RD
1660673820.869709,8414175.500,37573,2,AK,1,100,36742
1660673823.484482,8416724.000,37573,2,AK,1,100,RD
1660673823.499872,8416739.000,37576,2,AK,1,100,37574
1660673823.515262,8416754.000,37576,2,AK,1,100,RD
1660673826.154147,8419326.000,38402,2,AK,1,100,37574
1660673828.793031,8421898.000,38402,2,AK,1,100,RD
1660673828.807395,8421912.000,38405,2,AK,1,100,38403
1660673828.821759,8421926.000,38405,2,AK,1,100,RD
1660673831.445253,8424483.000,39234,2,AK,1,100,38403
1660673834.068747,8427040.000,39234,2,AK,1,100,RD
1660673834.083624,8427054.500,39237,2,AK,1,100,39235
1660673834.098501,8427069.000,39237,2,AK,1,100,RD
1660673836.705579,8429610.000,40050,2,AK,1,100,39235
1660673839.312657,8432151.000,40050,2,AK,1,100,RD
1660673839.327534,8432165.500,40053,2,AK,1,100,40051
1660673839.342412,8432180.000,40053,2,AK,1,100,RD
1660673841.968984,8434740.000,40881,2,AK,1,100,40051
1660673844.595556,8437300.000,40881,2,AK,1,100,RD
1660673844.609920,8437314.000,40884,2,AK,1,100,40882
1660673844.624284,8437328.000,40884,2,AK,1,100,RD
1660673847.234953,8439872.500,41693,2,AK,1,100,40882
1660673849.845622,8442417.000,41693,2,AK,1,100,RD
1660673849.859986,8442431.000,41696,2,AK,1,100,41694
1660673849.874350,8442445.000,41696,2,AK,1,100,RD
1660673852.500409,8445004.500,42522,2,AK,1,100,41694
1660673855.126468,8447564.000,42522,2,AK,1,100,RD
1660673855.142884,8447580.000,42525,2,AK,1,100,42523
1660673855.159301,8447596.000,42525,2,AK,1,100,RD
1660673857.779204,8450149.500,43354,2,AK,1,100,42523
1660673860.399107,8452703.000,43354,2,AK,1,100,RD
1660673860.413984,8452717.500,43357,2,AK,1,100,43355
1660673860.428861,8452732.000,43357,2,AK,1,100,RD
1660673863.055433,8455292.000,44185,2,AK,1,100,43355
1660673865.682005,8457852.000,44185,2,AK,1,100,RD
1660673865.696369,8457866.000,44188,2,AK,1,100,44186
1660673865.710733,8457880.000,44188,2,AK,1,100,RD
1660673868.329611,8460432.500,45020,2,AK,1,100,44186
1660673870.948488,8462985.000,45020,2,AK,1,100,RD
1660673870.962339,8462998.500,45023,2,AK,1,100,45021
1660673870.976190,8463012.000,45023,2,AK,1,100,RD
1660673873.606866,8465576.000,45852,2,AK,1,100,45021
1660673876.237542,8468140.000,45852,2,AK,1,100,RD
1660673876.252419,8468154.500,45855,2,AK,1,100,45853
1660673876.267296,8468169.000,45855,2,AK,1,100,RD
1660673878.887199,8470722.500,46684,2,AK,1,100,45853
1660673881.507102,8473276.000,46684,2,AK,1,100,RD
1660673881.523005,8473291.500,46687,2,AK,1,100,46685
1660673881.538909,8473307.000,46687,2,AK,1,100,RD
1660673884.150091,8475852.000,47501,2,AK,1,100,46685
1660673886.761273,8478397.000,47501,2,AK,1,100,RD
1660673886.775637,8478411.000,47504,2,AK,1,100,47502
1660673886.790001,8478425.000,47504,2,AK,1,100,RD
1660673889.391949,8480961.000,48316,2,AK,1,100,47502
1660673891.993897,8483497.000,48316,2,AK,1,100,RD
1660673892.008774,8483511.500,48319,2,AK,1,100,48317
1660673892.023651,8483526.000,48319,2,AK,1,100,RD
1660673894.629190,8486065.500,49132,2,AK,1,100,48317
1660673897.234729,8488605.000,49132,2,AK,1,100,RD
1660673899.881308,8491184.500,49960,2,AK,1,100,49133
1660673902.527888,8493764.000,49960,2,AK,1,100,RD
1660673902.536096,8493772.000,49962,2,AK,1,100,49133
1660673902.544304,8493780.000,49962,2,AK,1,100,RD
1660673907.797448,8498900.000,51608,2,AK,1,100,50776
1660673913.050592,8504020.000,51608,2,AK,1,100,RD
1660673913.062391,8504031.500,51610,2,AK,1,100,50776
1660673913.074190,8504043.000,51610,2,AK,1,100,RD
1660673913.097275,8504065.500,51613,2,AK,1,100,51611
1660673913.120361,8504088.000,51613,2,AK,1,100,RD
1660673915.711023,8506613.000,52430,2,AK,1,100,51611
1660673918.301685,8509138.000,52430,2,AK,1,100,RD
1660673918.321692,8509157.500,52433,2,AK,1,100,52431
1660673918.341699,8509177.000,52433,2,AK,1,100,RD
1660673920.938004,8511707.500,53247,2,AK,1,100,52431
1660673923.534309,8514238.000,53247,2,AK,1,100,RD
1660673923.572271,8514275.000,53250,2,AK,1,100,53248
1660673923.610233,8514312.000,53250,2,AK,1,100,RD
1660673926.192174,8516828.500,54062,2,AK,1,100,53248
1660673928.774115,8519345.000,54062,2,AK,1,100,RD
1660673928.806434,8519376.500,54065,2,AK,1,100,54063
1660673928.838753,8519408.000,54065,2,AK,1,100,RD
1660673931.443779,8521947.000,54893,2,AK,1,100,54063
1660673934.048805,8524486.000,54893,2,AK,1,100,RD
1660673934.066247,8524503.000,54896,2,AK,1,100,54894
1660673934.083689,8524520.000,54896,2,AK,1,100,RD
1660673936.728217,8527097.500,55726,2,AK,1,100,55724
1660673939.372744,8529675.000,55726,2,AK,1,100,RD
1660673941.976744,8532213.000,56555,2,AK,1,100,55724
1660673944.580744,8534751.000,56555,2,AK,1,100,RD
1660673947.225271,8537328.500,57388,2,AK,1,100,56556
1660673949.869798,8539906.000,57388,2,AK,1,100,RD
1660673949.876467,8539912.500,57390,2,AK,1,100,56556
1660673949.883137,8539919.000,57390,2,AK,1,100,RD
1660673952.544593,8542513.000,58203,2,AK,1,100,57391
1660673955.206049,8545107.000,58203,2,AK,1,100,RD
1660673955.212718,8545113.500,58205,2,AK,1,100,57391
1660673955.219387,8545120.000,58205,2,AK,1,100,RD
1660673955.255810,8545155.500,58208,2,AK,1,100,58206
1660673955.292233,8545191.000,58208,2,AK,1,100,RD
1660673957.870070,8547703.500,59023,2,AK,1,100,58206
1660673960.447907,8550216.000,59023,2,AK,1,100,RD
1660673960.464324,8550232.000,59026,2,AK,1,100,59024
1660673960.480740,8550248.000,59026,2,AK,1,100,RD
1660673963.100130,8552801.000,59852,2,AK,1,100,59024
1660673965.719520,8555354.000,59852,2,AK,1,100,RD
1660673965.737475,8555371.500,59855,2,AK,1,100,59853
1660673965.755430,8555389.000,59855,2,AK,1,100,RD
1660673968.376359,8557943.500,60685,2,AK,1,100,59853
1660673970.997288,8560498.000,60685,2,AK,1,100,RD
1660673971.011652,8560512.000,60688,2,AK,1,100,60686
1660673971.026016,8560526.000,60688,2,AK,1,100,RD
1660673973.631555,8563065.500,61509,2,AK,1,100,60686
1660673976.237094,8565605.000,61509,2,AK,1,100,RD
1660673976.252484,8565620.000,61512,2,AK,1,100,61510
1660673976.267874,8565635.000,61512,2,AK,1,100,RD
1660673978.899577,8568200.000,62343,2,AK,1,100,61510
1660673981.531279,8570765.000,62343,2,AK,1,100,RD
1660673981.547695,8570781.000,62346,2,AK,1,100,62344
1660673981.564111,8570797.000,62346,2,AK,1,100,RD
1660673984.181449,8573348.000,63177,2,AK,1,100,62344
1660673986.798787,8575899.000,63177,2,AK,1,100,RD
1660673986.816742,8575916.500,63180,2,AK,1,100,63178
1660673986.834697,8575934.000,63180,2,AK,1,100,RD
1660673989.436645,8578470.000,63993,2,AK,1,100,63178
1660673992.038593,8581006.000,63993,2,AK,1,100,RD
1660673992.054497,8581021.500,63996,2,AK,1,100,63994
1660673992.070400,8581037.000,63996,2,AK,1,100,RD
1660673994.683120,8583583.500,64829,2,AK,1,100,63994
1660673997.295842,8586130.000,64829,2,AK,1,100,RD
1660673999.932674,8588700.000,126,2,AK,1,100,64830
1660674002.569506,8591270.000,126,2,AK,1,100,RD
1660674002.576688,8591277.000,128,2,AK,1,100,64830
1660674002.583870,8591284.000,128,2,AK,1,100,RD
1660674002.600286,8591300.000,131,2,AK,1,100,129
1660674002.616702,8591316.000,131,2,AK,1,100,RD
1660674005.222241,8593855.500,962,2,AK,1,100,960
1660674007.827780,8596395.000,962,2,AK,1,100,RD
1660674010.435884,8598937.000,1790,2,AK,1,100,960
1660674013.043988,8601479.000,1790,2,AK,1,100,RD
1660674015.682360,8604050.500,2624,2,AK,1,100,1791
1660674018.320731,8606622.000,2624,2,AK,1,100,RD
1660674018.327400,8606628.500,2626,2,AK,1,100,1791
1660674018.334069,8606635.000,2626,2,AK,1,100,RD
1660674018.347920,8606648.500,2629,2,AK,1,100,2627
1660674018.361771,8606662.000,2629,2,AK,1,100,RD
1660674020.957050,8609191.500,3459,2,AK,1,100,2627
1660674023.552329,8611721.000,3459,2,AK,1,100,RD
1660674023.567206,8611735.500,3462,2,AK,1,100,3460
1660674023.582083,8611750.000,3462,2,AK,1,100,RD
1660674026.199421,8614301.000,4292,2,AK,1,100,3460
1660674028.816759,8616852.000,4292,2,AK,1,100,RD
1660674028.832662,8616867.500,4295,2,AK,1,100,4293
1660674028.848566,8616883.000,4295,2,AK,1,100,RD
1660674031.452565,8619421.000,5122,2,AK,1,100,4293
1660674034.056566,8621959.000,5122,2,AK,1,100,RD
1660674034.070930,8621973.000,5125,2,AK,1,100,5123
1660674034.085294,8621987.000,5125,2,AK,1,100,RD
1660674036.691346,8624527.000,5956,2,AK,1,100,5123
1660674039.297398,8627067.000,5956,2,AK,1,100,RD
1660674039.312788,8627082.000,5959,2,AK,1,100,5957
1660674039.328178,8627097.000,5959,2,AK,1,100,RD
1660674041.942951,8629645.500,6785,2,AK,1,100,5957
1660674044.557724,8632194.000,6785,2,AK,1,100,RD
1660674044.573627,8632209.500,6788,2,AK,1,100,6786
1660674044.589530,8632225.000,6788,2,AK,1,100,RD
