LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1660673729.023304,8324657.000,22612,1,GZ,1,100,0.397
1660673729.064139,8324696.800,22629,5,GZ,1,100,0.366
1660673729.104974,8324736.600,22629,5,GZ,1,100,0.397
1660673729.145809,8324776.400,22629,5,GZ,1,100,0.214
1660673729.186644,8324816.200,22629,5,GZ,1,100,0.244
1660673729.227479,8324856.000,22629,5,GZ,1,100,-0.153
1660673729.260824,8324888.500,22646,2,GZ,1,100,0.122
1660673729.294169,8324921.000,22646,2,GZ,1,100,0.183
1660673729.338971,8324964.667,22664,3,GZ,1,100,0.092
1660673729.383773,8325008.333,22664,3,GZ,1,100,0.397
1660673729.428576,8325052.000,22664,3,GZ,1,100,0.580
1660673729.461921,8325084.500,22678,2,GZ,1,100,1.038
1660673729.495266,8325117.000,22678,2,GZ,1,100,0.702
1660673729.539384,8325160.000,22696,3,GZ,1,100,1.129
1660673729.583502,8325203.000,22696,3,GZ,1,100,1.404
1660673729.627620,8325246.000,22696,3,GZ,1,100,1.099
1660673729.666951,8325284.333,22712,3,GZ,1,100,0.763
1660673729.706281,8325322.667,22712,3,GZ,1,100,0.732
1660673729.745611,8325361.000,22712,3,GZ,1,100,0.244
1660673729.786651,8325401.000,22729,2,GZ,1,100,0.244
1660673729.827691,8325441.000,22729,2,GZ,1,100,-0.214
1660673729.866338,8325478.667,22745,3,GZ,1,100,-0.488
1660673729.904984,8325516.333,22745,3,GZ,1,100,-0.763
1660673729.943630,8325554.000,22745,3,GZ,1,100,-0.916
1660673729.985183,8325594.500,22761,2,GZ,1,100,-0.793
1660673730.026736,8325635.000,22761,2,GZ,1,100,-0.732
1660673730.065724,8325673.000,22777,3,GZ,1,100,-0.763
1660673730.104713,8325711.000,22777,3,GZ,1,100,-0.702
1660673730.143701,8325749.000,22777,3,GZ,1,100,-1.099
1660673730.182005,8325786.333,22794,3,GZ,1,100,-1.251
1660673730.220309,8325823.667,22794,3,GZ,1,100,-1.312
1660673730.258613,8325861.000,22794,3,GZ,1,100,-0.977
1660673730.301193,8325902.500,22811,2,GZ,1,100,-0.854
1660673730.343772,8325944.000,22811,2,GZ,1,100,-1.099
1660673730.382418,8325981.667,22827,3,GZ,1,100,-0.854
1660673730.421064,8326019.333,22827,3,GZ,1,100,-0.610
1660673730.459710,8326057.000,22827,3,GZ,1,100,-0.458
1660673730.501263,8326097.500,22843,2,GZ,1,100,-0.183
1660673730.542817,8326138.000,22843,2,GZ,1,100,0.214
1660673730.581805,8326176.000,22861,3,GZ,1,100,0.336
1660673730.620793,8326214.000,22861,3,GZ,1,100,0.336
1660673730.659781,8326252.000,22861,3,GZ,1,100,0.488
1660673730.704242,8326295.333,22877,3,GZ,1,100,0.336
1660673730.748702,8326338.667,22877,3,GZ,1,100,0.580
1660673730.793162,8326382.000,22877,3,GZ,1,100,1.129
1660673730.826507,8326414.500,22894,2,GZ,1,100,1.160
1660673730.859852,8326447.000,22894,2,GZ,1,100,1.373
1660673730.904996,8326491.000,22909,3,GZ,1,100,1.190
1660673730.950140,8326535.000,22909,3,GZ,1,100,0.916
