LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1660673729.002784,8324637.000,22602,1,PI,1,100,147215
1660673729.043618,8324676.800,22617,5,PI,1,100,147233
1660673729.084454,8324716.600,22617,5,PI,1,100,147246
1660673729.125288,8324756.400,22617,5,PI,1,100,147245
1660673729.166124,8324796.200,22617,5,PI,1,100,147246
1660673729.206959,8324836.000,22617,5,PI,1,100,147250
1660673729.245947,8324874.000,22634,3,PI,1,100,147264
1660673729.284935,8324912.000,22634,3,PI,1,100,147280
1660673729.323923,8324950.000,22634,3,PI,1,100,147293
1660673729.366502,8324991.500,22652,2,PI,1,100,147285
1660673729.409081,8325033.000,22652,2,PI,1,100,147301
1660673729.447728,8325070.667,22668,3,PI,1,100,147299
1660673729.486374,8325108.333,22668,3,PI,1,100,147287
1660673729.525020,8325146.000,22668,3,PI,1,100,147278
1660673729.566060,8325186.000,22684,2,PI,1,100,147282
1660673729.607100,8325226.000,22684,2,PI,1,100,147284
1660673729.646430,8325264.333,22700,3,PI,1,100,147271
1660673729.685761,8325302.667,22700,3,PI,1,100,147271
1660673729.725091,8325341.000,22700,3,PI,1,100,147289
1660673729.767157,8325382.000,22717,2,PI,1,100,147270
1660673729.809223,8325423.000,22717,2,PI,1,100,147286
1660673729.847528,8325460.333,22733,3,PI,1,100,147294
1660673729.885832,8325497.667,22733,3,PI,1,100,147294
1660673729.924136,8325535.000,22733,3,PI,1,100,147295
1660673729.968596,8325578.333,22751,3,PI,1,100,147295
1660673730.013056,8325621.667,22751,3,PI,1,100,147306
1660673730.057516,8325665.000,22751,3,PI,1,100,147305
1660673730.099070,8325705.500,22765,2,PI,1,100,147307
1660673730.140623,8325746.000,22765,2,PI,1,100,147301
1660673730.178585,8325783.000,22782,3,PI,1,100,147298
1660673730.216547,8325820.000,22782,3,PI,1,100,147314
1660673730.254509,8325857.000,22782,3,PI,1,100,147334
1660673730.297601,8325899.000,22799,2,PI,1,100,147314
1660673730.340694,8325941.000,22799,2,PI,1,100,147294
1660673730.379340,8325978.667,22817,3,PI,1,100,147295
1660673730.417986,8326016.333,22817,3,PI,1,100,147272
1660673730.456632,8326054.000,22817,3,PI,1,100,147274
1660673730.495278,8326091.667,22831,3,PI,1,100,147270
1660673730.533925,8326129.333,22831,3,PI,1,100,147270
1660673730.572571,8326167.000,22831,3,PI,1,100,147257
1660673730.614637,8326208.000,22849,2,PI,1,100,147254
1660673730.656703,8326249.000,22849,2,PI,1,100,147261
1660673730.695349,8326286.667,22865,3,PI,1,100,147244
1660673730.733996,8326324.333,22865,3,PI,1,100,147249
1660673730.772642,8326362.000,22865,3,PI,1,100,147249
1660673730.814195,8326402.500,22882,2,PI,1,100,147259
1660673730.855748,8326443.000,22882,2,PI,1,100,147263
1660673730.895420,8326481.667,22899,3,PI,1,100,147261
1660673730.935092,8326520.333,22899,3,PI,1,100,147258
1660673730.974765,8326559.000,22899,3,PI,1,100,147255
1660673731.015805,8326599.000,22914,2,PI,1,100,147272
1660673731.056845,8326639.000,22914,2,PI,1,100,147266
1660673731.095491,8326676.667,22930,3,PI,1,100,147260
1660673731.134137,8326714.333,22930,3,PI,1,100,147259
1660673731.172784,8326752.000,22930,3,PI,1,100,147263
1660673731.217244,8326795.333,22948,3,PI,1,100,147242
1660673731.261704,8326838.667,22948,3,PI,1,100,147242
1660673731.306164,8326882.000,22948,3,PI,1,100,147235
1660673731.348230,8326923.000,22967,2,PI,1,100,147238
1660673731.390297,8326964.000,22967,2,PI,1,100,147251
1660673731.428259,8327001.000,22983,3,PI,1,100,147250
1660673731.466221,8327038.000,22983,3,PI,1,100,147267
1660673731.504183,8327075.000,22983,3,PI,1,100,147250
1660673731.546762,8327116.500,22998,2,PI,1,100,147270
1660673731.589342,8327158.000,22998,2,PI,1,100,147274
1660673731.627988,8327195.667,23016,3,PI,1,100,147286
1660673731.666634,8327233.333,23016,3,PI,1,100,147298
1660673731.705280,8327271.000,23016,3,PI,1,100,147298
1660673731.743926,8327308.667,23032,3,PI,1,100,147313
1660673731.782573,8327346.333,23032,3,PI,1,100,147318
1660673731.821218,8327384.000,23032,3,PI,1,100,147316
1660673731.864311,8327426.000,23049,2,PI,1,100,147330
1660673731.907403,8327468.000,23049,2,PI,1,100,147332
1660673731.945707,8327505.333,23064,3,PI,1,100,147307
1660673731.984011,8327542.667,23064,3,PI,1,100,147293
1660673732.022316,8327580.000,23064,3,PI,1,100,147289
1660673732.062843,8327619.500,23081,2,PI,1,100,147287
1660673732.103370,8327659.000,23081,2,PI,1,100,147301
1660673732.142700,8327697.333,23097,3,PI,1,100,147313
1660673732.182030,8327735.667,23097,3,PI,1,100,147330
1660673732.221360,8327774.000,23097,3,PI,1,100,147344
1660673732.262914,8327814.500,23115,2,PI,1,100,147347
1660673732.304467,8327855.000,23115,2,PI,1,100,147358
1660673732.343113,8327892.667,23131,3,PI,1,100,147367
1660673732.381759,8327930.333,23131,3,PI,1,100,147394
1660673732.420405,8327968.000,23131,3,PI,1,100,147393
1660673732.461446,8328008.000,23147,2,PI,1,100,147416
1660673732.502486,8328048.000,23147,2,PI,1,100,147425
1660673732.541132,8328085.667,23164,3,PI,1,100,147432
1660673732.579778,8328123.333,23164,3,PI,1,100,147425
1660673732.618424,8328161.000,23164,3,PI,1,100,147431
1660673732.662884,8328204.333,23181,3,PI,1,100,147440
1660673732.707345,8328247.667,23181,3,PI,1,100,147440
1660673732.751805,8328291.000,23181,3,PI,1,100,147447
1660673732.794384,8328332.500,23197,2,PI,1,100,147430
1660673732.836963,8328374.000,23197,2,PI,1,100,147398
1660673732.875609,8328411.667,23213,3,PI,1,100,147398
1660673732.914256,8328449.333,23213,3,PI,1,100,147375
1660673732.952902,8328487.000,23213,3,PI,1,100,147388
1660673732.994455,8328527.500,23229,2,PI,1,100,147397
1660673733.036008,8328568.000,23229,2,PI,1,100,147418
1660673733.075338,8328606.333,23246,3,PI,1,100,147423
1660673733.114669,8328644.667,23246,3,PI,1,100,147434
1660673733.153999,8328683.000,23246,3,PI,1,100,147431
1660673733.192645,8328720.667,23262,3,PI,1,100,147427
1660673733.231291,8328758.333,23262,3,PI,1,100,147430
1660673733.269937,8328796.000,23262,3,PI,1,100,147435
1660673733.310464,8328835.500,23279,2,PI,1,100,147432
1660673733.350992,8328875.000,23279,2,PI,1,100,147424
1660673733.390322,8328913.333,23295,3,PI,1,100,147432
1660673733.429652,8328951.667,23295,3,PI,1,100,147433
1660673733.468982,8328990.000,23295,3,PI,1,100,147425
1660673733.512758,8329032.667,23312,3,PI,1,100,147431
1660673733.556535,8329075.333,23312,3,PI,1,100,147443
1660673733.600311,8329118.000,23312,3,PI,1,100,147435
1660673733.634682,8329151.500,23329,2,PI,1,100,147426
1660673733.669053,8329185.000,23329,2,PI,1,100,147435
1660673733.713513,8329228.333,23346,3,PI,1,100,147427
1660673733.757973,8329271.667,23346,3,PI,1,100,147419
1660673733.802434,8329315.000,23346,3,PI,1,100,147415
1660673733.835266,8329347.000,23362,2,PI,1,100,147427
1660673733.868098,8329379.000,23362,2,PI,1,100,147423
1660673733.912900,8329422.667,23378,3,PI,1,100,147416
1660673733.957702,8329466.333,23378,3,PI,1,100,147436
1660673734.002505,8329510.000,23378,3,PI,1,100,147434
1660673734.041835,8329548.333,23399,3,PI,1,100,147436
1660673734.081165,8329586.667,23399,3,PI,1,100,147435
1660673734.120495,8329625.000,23399,3,PI,1,100,147444
1660673734.158799,8329662.333,23416,3,PI,1,100,147445
1660673734.197104,8329699.667,23416,3,PI,1,100,147456
1660673734.235408,8329737.000,23416,3,PI,1,100,147467
1660673734.277987,8329778.500,23433,2,PI,1,100,147462
1660673734.320566,8329820.000,23433,2,PI,1,100,147473
1660673734.359212,8329857.667,23453,3,PI,1,100,147471
1660673734.397859,8329895.333,23453,3,PI,1,100,147486
1660673734.436505,8329933.000,23453,3,PI,1,100,147493
1660673734.477032,8329972.500,23467,2,PI,1,100,147507
1660673734.517559,8330012.000,23467,2,PI,1,100,147484
1660673734.556547,8330050.000,23485,3,PI,1,100,147448
1660673734.595536,8330088.000,23485,3,PI,1,100,147449
1660673734.634524,8330126.000,23485,3,PI,1,100,147447
1660673734.677103,8330167.500,23501,2,PI,1,100,147438
1660673734.719682,8330209.000,23501,2,PI,1,100,147452
1660673734.757644,8330246.000,23518,3,PI,1,100,147476
1660673734.795606,8330283.000,23518,3,PI,1,100,147477
1660673734.833569,8330320.000,23518,3,PI,1,100,147478
1660673734.878371,8330363.667,23533,3,PI,1,100,147498
1660673734.923173,8330407.333,23533,3,PI,1,100,147509
1660673734.967975,8330451.000,23533,3,PI,1,100,147509
