LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1660673734.104079,8329609.000,23394,1,TL,1,100,2022-08-16_14-15-28-973111
1660673734.133833,8329638.000,23397,1,TL,1,100,2022-08-16_14-15-34-113027
1660673739.393134,8334764.000,24244,1,TL,1,100,2022-08-16_14-15-34-193886
1660673739.423914,8334794.000,24247,1,TL,1,100,2022-08-16_14-15-39-406227
1660673744.632940,8339871.000,25074,1,TL,1,100,2022-08-16_14-15-39-470596
1660673744.661668,8339899.000,25077,1,TL,1,100,2022-08-16_14-15-44-648399
1660673749.873772,8344979.000,25908,1,TL,1,100,2022-08-16_14-15-44-708516
1660673749.903526,8345008.000,25911,1,TL,1,100,2022-08-16_14-15-49-891031
1660673755.114604,8350087.000,26741,1,TL,1,100,2022-08-16_14-15-49-965930
1660673755.142306,8350114.000,26744,1,TL,1,100,2022-08-16_14-15-55-130222
1660673760.355437,8355195.000,27569,1,TL,1,100,2022-08-16_14-15-55-192100
1660673760.383139,8355222.000,27572,1,TL,1,100,2022-08-16_14-16-00-371666
1660673765.596269,8360303.000,28400,1,TL,1,100,2022-08-16_14-16-00-439912
1660673765.622945,8360329.000,28403,1,TL,1,100,2022-08-16_14-16-05-611945
1660673770.837101,8365411.000,29232,1,TL,1,100,2022-08-16_14-16-05-670012
1660673770.868907,8365442.000,29235,1,TL,1,100,2022-08-16_14-16-10-856957
1660673776.078959,8370520.000,30065,1,TL,1,100,2022-08-16_14-16-10-920214
1660673776.113843,8370554.000,30068,1,TL,1,100,2022-08-16_14-16-16-095724
1660673781.318765,8375627.000,30901,1,TL,1,100,2022-08-16_14-16-16-166916
1660673781.361858,8375669.000,30904,1,TL,1,100,2022-08-16_14-16-21-341588
1660673786.560624,8380736.000,31735,1,TL,1,100,2022-08-16_14-16-21-419696
1660673786.589352,8380764.000,31738,1,TL,1,100,2022-08-16_14-16-26-579739
1660673791.848652,8385890.000,32584,1,TL,1,100,2022-08-16_14-16-26-643514
1660673791.898926,8385939.000,32587,1,TL,1,100,2022-08-16_14-16-31-888266
1660673797.090510,8390999.000,33413,1,TL,1,100,2022-08-16_14-16-31-958626
1660673797.121290,8391029.000,33416,1,TL,1,100,2022-08-16_14-16-37-117847
1660673802.385721,8396160.000,34244,1,TL,1,100,2022-08-16_14-16-37-286891
1660673802.415475,8396189.000,34247,1,TL,1,100,2022-08-16_14-16-42-407194
1660673807.666567,8401307.000,35075,1,TL,1,100,2022-08-16_14-16-42-563063
1660673807.695295,8401335.000,35078,1,TL,1,100,2022-08-16_14-16-47-686845
1660673812.927919,8406435.000,35907,1,TL,1,100,2022-08-16_14-16-47-838891
1660673812.965882,8406472.000,35910,1,TL,1,100,2022-08-16_14-16-52-951859
1660673818.216974,8411590.000,36740,1,TL,1,100,2022-08-16_14-16-53-105363
1660673818.249806,8411622.000,36743,1,TL,1,100,2022-08-16_14-16-58-243092
1660673823.481404,8416721.000,37572,1,TL,1,100,2022-08-16_14-16-58-389428
1660673823.512184,8416751.000,37575,1,TL,1,100,2022-08-16_14-17-03-505210
1660673828.789953,8421895.000,38401,1,TL,1,100,2022-08-16_14-17-03-665493
1660673828.818681,8421923.000,38404,1,TL,1,100,2022-08-16_14-17-08-814021
1660673834.065669,8427037.000,39233,1,TL,1,100,2022-08-16_14-17-08-975758
1660673834.095423,8427066.000,39236,1,TL,1,100,2022-08-16_14-17-14-087984
1660673839.309579,8432148.000,40049,1,TL,1,100,2022-08-16_14-17-14-249145
1660673839.338308,8432176.000,40052,1,TL,1,100,2022-08-16_14-17-19-332967
1660673844.592478,8437297.000,40880,1,TL,1,100,2022-08-16_14-17-19-487943
1660673844.621206,8437325.000,40883,1,TL,1,100,2022-08-16_14-17-24-613853
1660673849.842544,8442414.000,41692,1,TL,1,100,2022-08-16_14-17-24-768427
