txtStim,stimFile,AI_Resp,ExplanationFile,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trial_start,Text_Intro_Txt.started,Text_Intro_Txt.stopped,Question_Txt_5.started,Question_Txt_5.stopped,Accept_Deny_Button_5.response,Accept_Deny_Button_5.rt,Accept_Deny_Button_5.started,Accept_Deny_Button_5.stopped,ConfidenceSlider_5.response,ConfidenceSlider_5.rt,ConfidenceSlider_5.started,ConfidenceSlider_5.stopped,DenySlider_5.response,DenySlider_5.rt,DenySlider_5.started,DenySlider_5.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,Click_to_Continue_8.started,Click_to_Continue_8.stopped,trial_end,Q1_Slider.response,Q2_Slider.response,Q3_Slider.response,Q4_Slider.response,Q5_Slider.response,Q6_Slider.response,Q7_Slider.response,Q8_Slider.response,Q9_Slider.response,Q10_Slider.response,Q11_Slider.response,Q12_Slider.response,Q13_Slider.response,Q14_Slider.response,Q15_Slider.response,Q16_Slider.response,Q17_Slider.response,Q18_Slider.response,Q19_Slider.response,Q20_Slider.response,Q21_Slider.response,Q22_Slider.response,Q23_Slider.response,Conversational_Intro_Txt.started,Conversational_Intro_Txt.stopped,Accept_Deny_Button.response,Accept_Deny_Button.rt,Accept_Deny_Button.started,Accept_Deny_Button.stopped,ConfidenceSlider.response,ConfidenceSlider.rt,ConfidenceSlider.started,ConfidenceSlider.stopped,Experimental_Images.started,Experimental_Images.stopped,DenySlider.response,DenySlider.rt,DenySlider.started,DenySlider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Click_to_Continue.started,Click_to_Continue.stopped,Feature_Intro_Txt.started,Feature_Intro_Txt.stopped,Question_Txt_3.started,Question_Txt_3.stopped,Accept_Deny_Button_3.response,Accept_Deny_Button_3.rt,Accept_Deny_Button_3.started,Accept_Deny_Button_3.stopped,ConfidenceSlider_3.response,ConfidenceSlider_3.rt,ConfidenceSlider_3.started,ConfidenceSlider_3.stopped,Experimental_Images_3.started,Experimental_Images_3.stopped,DenySlider_3.response,DenySlider_3.rt,DenySlider_3.started,DenySlider_3.stopped,Click_to_Continue_6.started,Click_to_Continue_6.stopped,PresstoCont_8.started,PresstoCont_8.stopped,Image_Intro_Txt.started,Image_Intro_Txt.stopped,Question_Txt_4.started,Question_Txt_4.stopped,Accept_Deny_Button_4.response,Accept_Deny_Button_4.rt,Accept_Deny_Button_4.started,Accept_Deny_Button_4.stopped,ConfidenceSlider_4.response,ConfidenceSlider_4.rt,ConfidenceSlider_4.started,ConfidenceSlider_4.stopped,Experimental_Images_4.started,Experimental_Images_4.stopped,DenySlider_4.response,DenySlider_4.rt,DenySlider_4.started,DenySlider_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,Click_to_Continue_7.started,Click_to_Continue_7.stopped,PresstoCont_7.started,PresstoCont_7.stopped,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,Choice_4_Intro_Txt.started,Choice_4_Intro_Txt.stopped,Question_Txt_9.started,Question_Txt_9.stopped,Accept_Deny_Button_9.response,Accept_Deny_Button_9.rt,Accept_Deny_Button_9.started,Accept_Deny_Button_9.stopped,ConfidenceSlider_9.response,ConfidenceSlider_9.rt,ConfidenceSlider_9.started,ConfidenceSlider_9.stopped,Experimental_Images_9.started,Experimental_Images_9.stopped,DenySlider_9.response,DenySlider_9.rt,DenySlider_9.started,DenySlider_9.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,mouse_12.clicked_name,mouse_12.started,mouse_12.stopped,Click_to_Continue_12.started,Click_to_Continue_12.stopped,end_Txt.started,end_Txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 1:,stim/Au_ani_00027.jpg.png,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/text_based_Au_ani_00027.jpg.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:17:38",388.3359175999649,398.42280480009504,398.3940294999629,None,2.0,21.727792399935424,398.3940294999629,None,2.0,23.6590326000005,398.3940294999629,None,1.0,65.13276369986124,398.3940294999629,None,"[-0.31574073, -0.55185187, 0.30833334, 0.5861111]","[-0.1, -0.28425926, -0.18240741, -0.46388888]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[11.466802099952474, 13.413155099842697, 54.887333899969235, 56.12171970005147]",['Click_to_Continue_8'],10.06335140997544,None,453.50774509995244,None,"Tuesday, August 16, 2022 02:18:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 2:,stim/Au_cha_30523.jpg,"The AI system has determined that the above image is not authentic. 
Do you accept or deny this claim?",stim/text_based_Au_cha_30523.jpg.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:18:45",454.5673150999937,464.6256967000663,464.5882659999188,None,1.0,29.425072400132194,464.5882659999188,None,5.0,40.08701419993304,464.5882659999188,None,1.0,69.71124960016459,464.5882659999188,None,"[-0.5740741, -0.25185186, 0.29814816, 0.55833334]","[-0.097222224, -0.2888889, -0.2, -0.45]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[19.17169789993204, 29.838260099990293, 59.51243709982373, 64.37510049995035]",['Click_to_Continue_8'],10.026756509905681,None,524.3209164999425,None,"Tuesday, August 16, 2022 02:19:59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 3:,stim/Au_ani_00031.jpg.png,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/text_based_Au_ani_00031.jpg.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:19:59",529.0164034001064,539.0766714001074,539.0415715000127,None,1.0,55.066820999840274,539.0415715000127,None,5.0,59.721225399989635,539.0415715000127,None,2.0,60.884413399966434,539.0415715000127,None,"[-0.5833333, -0.25833333, 0.40925926, 0.56666666]","[-0.10555556, -0.28425926, -0.20555556, -0.4398148]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[44.851029499899596, 49.52159589994699, 50.72900899988599, 51.84594370005652]",['Click_to_Continue_8'],10.030816209735349,None,589.935448900098,None,"Tuesday, August 16, 2022 02:21:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 4:,stim/Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:21:01",590.9858144000173,601.0576381001156,601.0190473999828,None,1.0,37.50770589988679,601.0190473999828,None,4.0,39.893061499809846,601.0190473999828,None,3.0,46.21251969994046,601.0190473999828,None,"[-0.5685185, -0.35462964, 0.40648147, 0.50277776, 0.5509259]","[-0.1, -0.29074073, -0.20277777, -0.2, -0.46388888]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[27.24247070006095, 29.655577199999243, 31.696862899931148, 36.02589779999107, 47.21600800007582]",['Click_to_Continue_8'],10.042733120033517,None,632.8671236999799,None,"Tuesday, August 16, 2022 02:21:58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 5:,stim/Tp_D_CNN_S_N_sec00042_ani00078_10495.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CNN_S_N_sec00042_ani00078_10495.tif.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:21:58",648.3009029999375,658.3373662999365,658.3373662999365,None,2.0,18.23989209998399,658.3373662999365,None,4.0,35.20385620021261,658.3373662999365,None,1.0,31.376187999965623,658.3373662999365,None,"[-0.3351852, 0.3175926, -0.35, 0.5185185]","[-0.09074074, -0.18425927, -0.29907408, -0.44722223]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7.997081900015473, 21.164444399997592, 25.003456300124526, 36.68769920011982]",['Click_to_Continue_8'],10.042519580107182,None,683.5360848000273,None,"Tuesday, August 16, 2022 02:22:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 6:,stim/Au_ani_00033.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/text_based_Au_ani_00033.jpg.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:22:45",695.0924430000596,705.1598737000022,705.1327233000193,None,2.0,14.231519000139087,705.1327233000193,None,4.0,29.45389430015348,705.1327233000193,None,1.0,30.836455800104886,705.1327233000193,None,"[-0.33333334, -0.35185185, 0.30555555, 0.54351854]","[-0.10555556, -0.2962963, -0.19907407, -0.45277777]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3.9981181998737156, 19.247093899874017, 20.608779199887067, 24.584827299928293]",['Click_to_Continue_8'],10.046699980041012,None,725.9757147000637,None,"Tuesday, August 16, 2022 02:23:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 7:,stim/Tp_D_CRD_S_N_ind00074_cha00049_00474.tif,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CRD_S_N_ind00074_cha00049_00474.tif.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:23:20",729.767881500069,739.8149248999543,739.8149248999543,None,1.0,18.901586800115183,739.8149248999543,None,5.0,23.38558609993197,739.8149248999543,None,2.0,24.874900300055742,739.8149248999543,None,"[-0.5601852, -0.24907407, 0.4027778, 0.53425926]","[-0.1037037, -0.30092594, -0.21111111, -0.45185184]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[8.749440900050104, 13.148645000066608, 14.69814689992927, 16.490197299979627]",['Click_to_Continue_8'],10.051923309918493,None,754.6776517000981,None,"Tuesday, August 16, 2022 02:23:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 8:,stim/Au_cha_30677.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Au_cha_30677.jpg.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:23:47",756.3610404999927,766.4183847999666,766.3878615999129,None,1.0,34.008104499895126,766.3878615999129,None,4.0,40.318220200017095,766.3878615999129,None,3.0,44.810803700005636,766.3878615999129,None,"[-0.5712963, -0.35092592, 0.46851853, 0.55277777]","[-0.106481485, -0.29537037, -0.20185184, -0.4611111]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[23.79341089981608, 30.125544199952856, 34.64524029986933, 35.784330799942836]",['Click_to_Continue_8'],10.043532580137253,None,801.2315780001227,None,"Tuesday, August 16, 2022 02:24:32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
Question 9:,stim/Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/text_based_Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, August 16, 2022 02:24:32",802.2359110000543,812.2583000999875,812.2583000999875,None,2.0,20.674113400047645,812.2583000999875,None,4.0,21.68963379994966,812.2583000999875,None,1.0,23.455409300047904,812.2583000999875,None,"[-0.32777777, -0.3564815, 0.27962962, 0.31296295, 0.56203705]","[-0.10277778, -0.2962963, -0.21388888, -0.21018519, -0.4462963]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10.50183660001494, 11.46188269997947, 12.574962799903005, 13.28579490003176, 33.71701899985783]",['Click_to_Continue_8'],10.031783980317414,None,825.7305777000729,None,"Tuesday, August 16, 2022 02:25:16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2022-08-16_14h16.04.369,CSVTrial3,2022.1.3,59.00899122380412,
