EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,left eye 1,left eye 2,right eye 1,right eye 2,Accuracy of AI response,Image authentic?,response
0.973563469,-18103.49755,150162.8742,127295.5151,10117.88926,35.78090556,-0.914809365,-0.414540134,0.346210702,0.997046901,0.632861953,0.120560764,10.82943144,-104.2391304,106.0685619,0.0,0.0,1.035025,32.54545455,2036.363636,0.415873221,0.534162025,0.415205484,0.509977027,1.0,1.0,0
0.865189239,-17923.53647,150498.4005,127511.7366,10039.11425,35.83196889,-0.902034853,-0.414100536,0.376140751,1.019475168,0.560098516,0.070965229,13.0080429,-104.2600536,106.9383378,0.054914,0.8,1.094328889,34.26666667,2032.0,0.274702651,0.445651572,0.267766599,0.414621205,0.0,0.0,1
0.762250877,-17704.96445,150663.0,127761.9381,10051.33901,35.83620408,-0.895395062,-0.419128086,0.387092593,0.917968992,0.613596573,0.117924342,13.14506173,-103.962963,107.1064815,0.0,0.0,1.057980769,43.23529412,1564.705882,0.468831889,0.594278712,0.463203802,0.570233486,1.0,0.0,1
0.64268329,-17356.32963,150839.982,127886.7065,10074.44173,35.83452857,-0.891602297,-0.417963388,0.39633094,0.933286638,0.633375273,0.122523485,13.66834171,-104.0617373,107.4206748,0.0,0.0,0.284079882,34.54545455,2476.363636,0.582027216,0.669508,0.575078604,0.655894601,1.0,1.0,1
0.524196151,-16867.20807,150791.9563,127937.3073,10057.83627,35.84108864,-0.894912207,-0.415285117,0.392102007,0.909400335,0.628810765,0.125373588,13.79765886,-104.2215719,107.3294314,0.0,0.0,0.044098611,33.0625,3015.0,0.44528093,0.43911995,0.445786631,0.417174974,1.0,0.0,1
0.459620811,-16495.81629,150882.7727,128025.2699,10053.48488,35.8461107,-0.894345982,-0.417511161,0.391066964,0.912972098,0.644338583,0.131994069,13.77455357,-104.2488839,107.3582589,0.0,0.0,0.009684259,36.1,3124.0,0.463516275,0.342259737,0.459642859,0.309002892,0.0,0.0,1
0.403717475,-16071.1316,150793.1155,128071.6447,9969.051041,35.84099333,-0.895736772,-0.416640322,0.388048225,0.91566689,0.632923752,0.128874027,13.80843938,-104.3308774,107.3181514,0.0,0.0,0.002028889,37.82758621,2176.551724,0.462900393,0.490889507,0.458085309,0.453200719,0.0,1.0,0
0.366911421,-15728.47506,150572.718,128059.4089,9878.871098,35.82046512,-0.904927711,-0.394688755,0.387006024,0.931042169,0.653399798,0.145151547,14.04116466,-104.6807229,107.1797189,0.001067,0.23333325,3.716419835,45.15,2060.0,0.599604924,0.456285351,0.593703539,0.427630128,1.0,0.0,1
0.345932923,-15497.05921,150708.7638,128111.0122,10007.68604,35.81652322,-0.908157796,-0.395920635,0.378336134,0.89751028,0.623874647,0.136193517,14.4379085,-104.9673203,107.1960784,0.0,0.0,1.628655039,38.06666667,2637.333333,0.402586817,0.435082321,0.394124153,0.393570241,1.0,1.0,1
0.327791555,-15273.73649,150767.5756,128104.4433,9973.105793,35.8042125,-0.908164573,-0.397733668,0.377629397,0.933909434,0.612767383,0.113845745,14.60427136,-104.9698492,107.1432161,0.0,0.0,0.4223375,28.25,4070.0,0.515626285,0.268918138,0.509625051,0.208974842,1.0,0.0,0
0.310667205,-15038.02746,148048.1435,126435.8398,9293.510906,35.77042105,-1.018697071,-0.1129866,0.212917155,1.126082077,1.001120805,0.508525022,21.89456067,-114.4669456,105.5389121,0.0,0.0,0.11131875,24.66666667,4360.0,0.435896955,0.613446197,0.42476155,0.59218705,0.0,1.0,0
0.296886924,-14829.69002,147787.4935,126152.1683,9290.489209,35.77800476,-1.033497848,-0.085159254,0.1811033,0.893033046,0.649900433,0.120944444,23.06025825,-115.6398852,104.4978479,0.0,0.0,0.027414286,21.0,31560.0,0.457430479,0.324106429,0.452167833,0.277890281,1.0,1.0,1
0.287572628,-14677.16279,148026.0351,126224.7139,9235.306892,35.79329614,-1.035006477,-0.096593264,0.169858808,0.982466321,0.610431907,0.11720436,23.38082902,-115.5466321,103.8018135,0.0,0.0,0.009876344,19.5,7620.0,0.668700579,0.390343692,0.65819118,0.374273615,1.0,1.0,1
0.277575025,-14501.84359,149204.7253,127094.9392,9487.730403,35.78672155,-0.980305332,-0.321133674,0.173532505,0.816680789,0.51702346,-0.282617103,19.98392988,-112.641344,103.0978817,0.000117667,0.066667,1.932115758,32.90909091,2572.727273,0.398306452,0.427366337,0.390950932,0.376899741,1.0,0.0,1
0.269497511,-14351.03022,149474.9953,127584.7062,9566.93128,35.75399609,-0.93520922,-0.477892435,0.191106383,0.896560947,0.618547847,0.110008761,16.98108747,-110.5449173,103.4314421,0.0,0.0,1.502931068,40.66666667,1848.888889,0.252547254,0.502819028,0.248664309,0.438781714,1.0,0.0,1
0.264421127,-14251.47544,149633.9489,127740.8602,9578.711022,35.72301778,-0.93453012,-0.480361446,0.189783133,0.916668005,0.614693136,0.133739628,16.99330656,-110.6492637,103.4002677,0.0,0.0,0.482256667,45.72222222,1651.111111,0.552396487,0.567239099,0.544281829,0.542543424,1.0,1.0,1
0.260322101,-14168.18462,149711.3764,127785.9986,9629.226389,35.71540826,-0.934300554,-0.479393352,0.192775623,0.909490305,0.603620306,0.125833087,17.06094183,-110.533241,103.4099723,0.0,0.0,0.171703448,44.66666667,1890.666667,0.381261311,0.43035448,0.375310845,0.379238766,0.0,0.0,1
0.256336247,-14084.61551,149624.7179,127723.4645,9576.708378,35.70252098,-0.934527484,-0.479615222,0.192479915,0.90284778,0.596317073,0.129655793,17.01374207,-110.435518,103.4059197,0.000325,0.1,1.083224561,41.0,1741.818182,0.392627371,0.654876479,0.38163603,0.588973917,0.0,1.0,0
0.247024621,-13878.97826,148140.454,127183.7796,8673.251889,35.72837917,-0.907144382,-0.413895166,0.30798619,0.83593032,0.234472956,0.297121595,17.5304457,-108.0979284,102.3841808,0.000251,0.111111167,7.784672917,63.63793103,1095.862069,0.736905492,0.357691669,0.719956576,0.333318959,1.0,1.0,1
0.248723797,-13917.53416,148447.8079,127378.0195,8593.124055,35.80721206,-0.879015694,-0.377202762,0.452124922,0.899627119,0.607107547,0.122592834,18.51224105,-105.7865662,103.0401758,0.000104286,0.104762,6.791877604,74.4025974,830.1298701,0.65768664,0.352084068,0.645614978,0.321022314,0.0,1.0,1
0.253015996,-14012.98841,149048.8935,127590.12,8636.63255,35.98475069,-0.869727197,-0.377955649,0.470254393,0.918029289,0.595754622,0.117309711,19.05020921,-105.3790795,103.1322176,0.000233571,0.076190714,7.266637931,73.70175439,838.5964912,0.723594783,0.340501969,0.706999868,0.326940097,1.0,1.0,1
0.256353331,-14085.0176,148761.5653,127446.9165,8466.355086,36.1305,-0.866804015,-0.379070746,0.474794455,0.916586998,0.600770335,0.128081712,19.4751434,-105.2552581,103.1739962,0.0001825,0.2,4.152707143,79.0754717,781.1320755,0.553829427,0.578066648,0.539370954,0.561623813,1.0,0.0,0
0.259602871,-14153.30221,148557.2972,127433.9881,8256.054545,36.26003394,-0.864799842,-0.378706068,0.478707644,0.915242711,0.595026025,0.128428804,19.78486998,-105.3443656,103.0669819,0.0002115,0.13333325,4.512043137,78.45454545,769.6969697,0.349545591,0.454755333,0.349685616,0.370442552,1.0,0.0,1
0.263956587,-14242.13606,147654.6713,126915.8841,7805.193098,36.4324375,-0.870845082,-0.121520492,0.279303527,0.913611977,0.596494215,0.195376812,29.98032787,-111.1762295,96.13442623,0.000146429,0.095238286,7.605384354,66.825,1179.0,0.519325765,0.299379629,0.50229407,0.280540824,1.0,1.0,1
0.26762088,-14314.79504,145602.1325,125960.5737,7265.245392,36.52079468,-0.911758028,-0.438308486,0.33131422,0.848688863,0.579492503,0.145435464,20.06307339,-111.5229358,102.5424312,4.13e-05,0.088889,6.360813333,72.65789474,943.1578947,0.550930079,0.342195435,0.538868263,0.316496398,0.0,0.0,1
0.27013094,-14363.3752,145516.8571,125930.6519,7209.958442,36.55674678,-0.909815824,-0.440403372,0.334491569,0.912673152,0.592552219,0.138732591,19.63035019,-111.2101167,102.6964981,3.95e-05,0.1,4.50127766,77.38461538,785.6410256,0.647639226,0.805810652,0.612560973,0.634848738,0.0,1.0,0
0.272489563,-14408.21432,145401.6577,125855.8273,7150.357808,36.58907167,-0.907732235,-0.441808445,0.339126674,0.90269413,0.591578947,0.141065147,19.74665294,-111.1215242,102.7662204,0.00018375,0.0833335,4.520003419,76.81632653,789.3877551,0.394347747,0.486534075,0.398132503,0.412989031,1.0,0.0,0
0.275768936,-14469.21524,145267.9956,125757.6418,7055.586813,36.62788862,-0.906284149,-0.442322863,0.342720234,0.917592403,0.599809211,0.13729362,19.7027027,-111.0496713,102.8699781,0.000102333,0.088889,5.645676364,78.46478873,765.6338028,0.433198943,0.623360795,0.44674151,0.596507004,1.0,0.0,1
0.279206953,-14531.72585,145136.859,125764.0312,6988.605237,36.6562691,-0.908269076,-0.441507028,0.338589357,0.902675703,0.599006024,0.145669841,19.92871486,-111.3634538,102.748996,0.00022325,0.066667,5.37012,78.58823529,781.9607843,0.416563755,0.465575212,0.407550378,0.48083751,1.0,1.0,1
0.282175089,-14584.39953,146102.22,126372.0854,7222.999194,36.67443733,-0.856031325,-0.391806426,0.441911647,0.785960611,0.467306947,0.283152931,20.97991968,-107.5172691,101.6064257,7.55e-05,0.1666665,2.961584667,79.01666667,836.0,0.685168028,0.242480751,0.672087021,0.233237621,1.0,0.0,0
0.285565942,-14643.31227,145214.0789,126167.6873,7008.646057,36.68258284,-0.882610714,-0.428388393,0.402889286,0.866373214,0.730315364,0.159276119,19.27857143,-107.9919643,101.2589286,0.000232,0.066667,2.140626471,80.5,771.7241379,0.459963455,0.517447276,0.444072919,0.482425189,1.0,1.0,1
0.287379016,-14674.24518,144525.7922,125791.9809,6801.559915,36.6589021,-0.902731501,-0.429783298,0.363893235,0.905269556,0.577178112,0.13745172,18.73678647,-108.7061311,100.6744186,5.3e-05,0.066667,1.54837807,84.13461538,723.8461538,0.561941211,0.58633923,0.548117388,0.557088764,1.0,0.0,0
0.288575284,-14694.427,144557.1008,125770.2682,6808.269767,36.63985641,-0.900208655,-0.430613601,0.369599691,0.896578053,0.604979592,0.14145977,18.78825348,-108.5301391,100.763524,6.6e-05,0.066667,0.610794872,79.06060606,770.9090909,0.500301915,0.29870237,0.488597183,0.263333851,1.0,1.0,1
0.28959125,-14711.43247,144468.3223,125662.9451,6753.413004,36.57268882,-0.899221715,-0.429394161,0.37257573,0.921423358,0.59961418,0.13410628,19.26642336,-109.1569343,100.8010949,0.0002075,0.1,3.115534848,79.0,775.4385965,0.626751883,0.530453802,0.501811651,0.499837977,0.0,0.0,1
0.290767979,-14730.98164,145305.9597,126109.6597,6747.454839,36.59641711,-0.92687299,-0.295440514,0.214194534,1.329009646,0.845449111,-0.140897181,27.46302251,-113.7154341,94.67202572,0.000258,0.066667,2.107166667,73.42105263,1303.157895,0.397103301,0.26901219,0.389071052,0.229597701,1.0,0.0,0
0.293089923,-14769.06053,144306.7889,125552.4831,6460.489663,36.6396129,-0.959362649,-0.433435396,0.182218241,0.898369164,0.601514161,0.140264501,24.31487514,-115.4625407,94.81107492,0.0002335,0.1166665,3.873086607,78.46808511,771.0638298,0.576240138,0.460837123,0.557822327,0.437149599,0.0,0.0,1
0.296956184,-14831.17815,144177.5971,125493.3626,6393.399793,36.70067577,-0.958626159,-0.436763131,0.178861998,0.898129763,0.608188211,0.146197802,24.2523172,-115.4057673,94.70545829,0.000255,0.1,4.486022222,80.21153846,751.5384615,0.610098108,0.390241884,0.599529294,0.344807853,0.0,1.0,1
0.315355674,-15106.08916,144327.3547,125519.1026,6290.100671,36.99456013,-0.885053589,-0.409636973,0.344064115,0.848470307,-0.095309179,0.315938614,25.10813397,-110.64689,99.22488038,0.0,0.0,1.798415079,79.83673469,847.3469388,0.256152838,0.548430299,0.25956136,0.489251385,1.0,0.0,1
