File,Accuracy,AUC
subject001,0.75,0.4285714285714285
Every subject but subject001,0.8055555555555556,0.5
subject001(all measurements),0.875,0.5
subject001(all measurements high Conf),0.6666666666666666,0.4
subject002,0.7368421052631579,0.5
Every subject but subject002,0.4945054945054945,0.4422084623323014
subject002(all measurements),0.5789473684210527,0.4571428571428572
subject002(all measurements high Conf),0.6923076923076923,0.5
subject003,0.5263157894736842,0.538888888888889
Every subject but subject003,0.5434782608695652,0.5
subject003(all measurements),0.3684210526315789,0.3722222222222222
subject003(all measurements high Conf),0.6470588235294118,0.6571428571428573
subject004,0.7368421052631579,0.5
Every subject but subject004,0.6086956521739131,0.5379464285714285
subject004(all measurements),0.5789473684210527,0.3928571428571428
subject004(all measurements high Conf),0.7333333333333333,0.5833333333333335
subject005,0.8421052631578947,0.8154761904761905
Every subject but subject005,0.6129032258064516,0.5
subject005(all measurements),0.3684210526315789,0.3214285714285714
subject005(all measurements high Conf),0.7692307692307693,0.75
subject006,0.5789473684210527,0.5340909090909092
Every subject but subject006,0.5604395604395604,0.5
subject006(all measurements),0.4210526315789473,0.4318181818181819
subject006(all measurements high Conf),0.4117647058823529,0.4571428571428572
subject007,0.7222222222222222,0.6230769230769231
Every subject but subject007,0.5666666666666667,0.5
subject007(all measurements),0.4444444444444444,0.4307692307692308
subject007(all measurements high Conf),0.6,0.6
Mean all subjects,0.6990392648287385,0.5628720485863343
Mean every subject but 1 subject,0.5988920594310295,0.49716498441481854
Mean all subjects (all measurements),0.5193191311612363,0.41517688660545804
Mean all subjects (all measurements high Conf),0.6457659987071752,0.5639455782312927
Standard deviation all subjects,0.10051005488575644,0.11636118085840637
Standard Deviation every subject but 1 subject,0.09218501464039582,0.025976726049474146
Standard Deviation all subjects (all measurements),0.16665744065267651,0.054258874065169556
Standard Deviation all subjects (all measurements high Conf),0.10847472246413974,0.11170867587613899
